trace,op_ems,emb_ems
rnaseq-dec-1-15err,565.1001283953157,0.0
rnaseq-dec-1-15err~+00-01-00,565.2225166852932,0.0
rnaseq-dec-1-15err~+00-02-00,573.2426184101163,0.0
rnaseq-dec-1-15err~+00-03-00,591.5268067619509,0.0
rnaseq-dec-1-15err~+00-04-00,616.23402628109,0.0
rnaseq-dec-1-15err~+00-05-00,645.1224292460895,0.0
rnaseq-dec-1-15err~+00-06-00,681.4989778314205,0.0
rnaseq-dec-1-15err~+00-07-00,710.8302467495869,0.0
rnaseq-dec-1-15err~+00-08-00,713.0394235661682,0.0
rnaseq-dec-1-15err~+00-09-00,693.8908549586524,0.0
rnaseq-dec-1-15err~+00-10-00,657.8169645874816,0.0
rnaseq-dec-1-15err~+00-11-00,597.9859453252789,0.0
rnaseq-dec-1-15err~+00-12-00,516.9933625858691,0.0
rnaseq-dec-1-15err~+00-13-00,441.0093482130237,0.0
rnaseq-dec-1-15err~+00-14-00,399.6548082455097,0.0
rnaseq-dec-1-15err~+00-15-00,391.1632969310822,0.0
rnaseq-dec-1-15err~+00-16-00,385.73664042689916,0.0
rnaseq-dec-1-15err~+00-17-00,378.0554196543113,0.0
rnaseq-dec-1-15err~+00-18-00,407.32744514962064,0.0
rnaseq-dec-1-15err~+00-19-00,522.0339679921605,0.0
rnaseq-dec-1-15err~+00-20-00,698.433703460144,0.0
rnaseq-dec-1-15err~+00-21-00,837.182980748752,0.0
rnaseq-dec-1-15err~+00-22-00,857.7136248985794,0.0
rnaseq-dec-1-15err~+00-23-00,819.7997228824829,0.0
rnaseq-dec-1-15err~+01-00-00,787.2132327343368,0.0
rnaseq-dec-1-15err~+01-01-00,786.4162879932314,0.0
rnaseq-dec-1-15err~+01-02-00,793.1782102970147,0.0
rnaseq-dec-1-15err~+01-03-00,806.4339001971231,0.0
rnaseq-dec-1-15err~+01-04-00,828.7823279340603,0.0
rnaseq-dec-1-15err~+01-05-00,855.4211645222985,0.0
rnaseq-dec-1-15err~+01-06-00,879.5813962379474,0.0
