trace,op_ems,emb_ems
rnaseq-mar-2-10err,808.0552051018198,0.0
rnaseq-mar-2-10err~+00-01-00,819.3657569390887,0.0
rnaseq-mar-2-10err~+00-02-00,843.0025089436998,0.0
rnaseq-mar-2-10err~+00-03-00,873.5770824406654,0.0
rnaseq-mar-2-10err~+00-04-00,902.9165657576078,0.0
rnaseq-mar-2-10err~+00-05-00,926.127609388044,0.0
rnaseq-mar-2-10err~+00-06-00,951.9424752853012,0.0
rnaseq-mar-2-10err~+00-07-00,985.7030184950795,0.0
rnaseq-mar-2-10err~+00-08-00,1017.511429747493,0.0
rnaseq-mar-2-10err~+00-09-00,1023.9996610094552,0.0
rnaseq-mar-2-10err~+00-10-00,1002.1542788053414,0.0
rnaseq-mar-2-10err~+00-11-00,964.1144833182084,0.0
rnaseq-mar-2-10err~+00-12-00,900.2783134652885,0.0
rnaseq-mar-2-10err~+00-13-00,826.6114734959374,0.0
rnaseq-mar-2-10err~+00-14-00,771.5229505411257,0.0
rnaseq-mar-2-10err~+00-15-00,750.0702066722332,0.0
rnaseq-mar-2-10err~+00-16-00,739.9034979837916,0.0
rnaseq-mar-2-10err~+00-17-00,733.6228667968388,0.0
rnaseq-mar-2-10err~+00-18-00,752.8415877422028,0.0
rnaseq-mar-2-10err~+00-19-00,798.403687581186,0.0
rnaseq-mar-2-10err~+00-20-00,847.8683611508151,0.0
rnaseq-mar-2-10err~+00-21-00,856.1212460888837,0.0
rnaseq-mar-2-10err~+00-22-00,813.7144174755638,0.0
rnaseq-mar-2-10err~+00-23-00,733.2450797111812,0.0
rnaseq-mar-2-10err~+01-00-00,537.3546291197912,0.0
rnaseq-mar-2-10err~+01-01-00,415.6124504939189,0.0
rnaseq-mar-2-10err~+01-02-00,464.11939907184706,0.0
rnaseq-mar-2-10err~+01-03-00,649.7965992883683,0.0
rnaseq-mar-2-10err~+01-04-00,662.4532845092613,0.0
rnaseq-mar-2-10err~+01-05-00,693.6324468447808,0.0
rnaseq-mar-2-10err~+01-06-00,710.8758084395865,0.0
rnaseq-mar-2-10err~+01-07-00,726.5911511881128,0.0
rnaseq-mar-2-10err~+01-08-00,741.5954024079751,0.0
rnaseq-mar-2-10err~+01-09-00,725.7955366862245,0.0
rnaseq-mar-2-10err~+01-10-00,635.0066585268096,0.0
rnaseq-mar-2-10err~+01-11-00,507.13234304619857,0.0
rnaseq-mar-2-10err~+01-12-00,396.45813511524926,0.0
rnaseq-mar-2-10err~+01-13-00,337.69567132545956,0.0
rnaseq-mar-2-10err~+01-14-00,320.1111844060274,0.0
rnaseq-mar-2-10err~+01-15-00,311.90980700672526,0.0
rnaseq-mar-2-10err~+01-16-00,306.91607876324434,0.0
rnaseq-mar-2-10err~+01-17-00,311.44111779165473,0.0
rnaseq-mar-2-10err~+01-18-00,324.3273633414085,0.0
rnaseq-mar-2-10err~+01-19-00,339.30969896064903,0.0
rnaseq-mar-2-10err~+01-20-00,355.5919301541495,0.0
rnaseq-mar-2-10err~+01-21-00,353.8525891544018,0.0
rnaseq-mar-2-10err~+01-22-00,332.3093752546637,0.0
rnaseq-mar-2-10err~+01-23-00,298.52792275778927,0.0
rnaseq-mar-2-10err~+02-00-00,281.1479147851942,0.0
rnaseq-mar-2-10err~+02-01-00,275.4286010889066,0.0
rnaseq-mar-2-10err~+02-02-00,281.4554447999524,0.0
rnaseq-mar-2-10err~+02-03-00,288.07325508279064,0.0
rnaseq-mar-2-10err~+02-04-00,305.24908751169215,0.0
rnaseq-mar-2-10err~+02-05-00,345.9408123267286,0.0
rnaseq-mar-2-10err~+02-06-00,422.25144815477177,0.0
rnaseq-mar-2-10err~+02-07-00,522.1866060579924,0.0
rnaseq-mar-2-10err~+02-08-00,590.0823840401724,0.0
rnaseq-mar-2-10err~+02-09-00,605.2104976767226,0.0
rnaseq-mar-2-10err~+02-10-00,571.6183403988061,0.0
rnaseq-mar-2-10err~+02-11-00,518.0467956193919,0.0
rnaseq-mar-2-10err~+02-12-00,435.0654972147015,0.0
rnaseq-mar-2-10err~+02-13-00,349.8905059839518,0.0
rnaseq-mar-2-10err~+02-14-00,308.59718289224645,0.0
rnaseq-mar-2-10err~+02-15-00,297.7528300329446,0.0
rnaseq-mar-2-10err~+02-16-00,292.23794105731383,0.0
rnaseq-mar-2-10err~+02-17-00,287.8638023434257,0.0
rnaseq-mar-2-10err~+02-18-00,299.1785884352739,0.0
rnaseq-mar-2-10err~+02-19-00,351.7003076820855,0.0
rnaseq-mar-2-10err~+02-20-00,429.7739671864945,0.0
rnaseq-mar-2-10err~+02-21-00,475.8548874884385,0.0
