trace,op_ems,emb_ems
rnaseq-sep-1-25err,1659.584630420197,0.0
rnaseq-sep-1-25err~+00-01-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+00-02-00,1663.9505712051096,0.0
rnaseq-sep-1-25err~+00-03-00,1692.4548497292913,0.0
rnaseq-sep-1-25err~+00-04-00,1743.3831536576945,0.0
rnaseq-sep-1-25err~+00-05-00,1791.3414228124432,0.0
rnaseq-sep-1-25err~+00-06-00,1796.6502087316753,0.0
rnaseq-sep-1-25err~+00-07-00,1793.598668767104,0.0
rnaseq-sep-1-25err~+00-08-00,1787.0968098719404,0.0
rnaseq-sep-1-25err~+00-09-00,1783.4779584328849,0.0
rnaseq-sep-1-25err~+00-10-00,1786.2662137657912,0.0
rnaseq-sep-1-25err~+00-11-00,1812.7605061071558,0.0
rnaseq-sep-1-25err~+00-12-00,1831.0699873314065,0.0
rnaseq-sep-1-25err~+00-13-00,1827.7271536683818,0.0
rnaseq-sep-1-25err~+00-14-00,1812.1159152554687,0.0
rnaseq-sep-1-25err~+00-15-00,1770.338170939861,0.0
rnaseq-sep-1-25err~+00-16-00,1726.4377509485596,0.0
rnaseq-sep-1-25err~+00-17-00,1659.734753282079,0.0
rnaseq-sep-1-25err~+00-18-00,1708.3570564998338,0.0
rnaseq-sep-1-25err~+00-19-00,1789.3713144393903,0.0
rnaseq-sep-1-25err~+00-20-00,1860.2131861720595,0.0
rnaseq-sep-1-25err~+00-21-00,1864.1023266857092,0.0
rnaseq-sep-1-25err~+00-22-00,1814.6241550402444,0.0
rnaseq-sep-1-25err~+00-23-00,1730.575787271604,0.0
rnaseq-sep-1-25err~+01-00-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-01-00,1692.281499676496,0.0
rnaseq-sep-1-25err~+01-02-00,1778.9675282670673,0.0
rnaseq-sep-1-25err~+01-03-00,1856.4068153450016,0.0
rnaseq-sep-1-25err~+01-04-00,1817.8768108546433,0.0
rnaseq-sep-1-25err~+01-05-00,1731.699017238021,0.0
rnaseq-sep-1-25err~+01-06-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-07-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-08-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-09-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-10-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-11-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+01-12-00,1667.064408925233,0.0
rnaseq-sep-1-25err~+01-13-00,1696.7003531835337,0.0
rnaseq-sep-1-25err~+01-14-00,1746.201162637251,0.0
rnaseq-sep-1-25err~+01-15-00,1790.524797521628,0.0
rnaseq-sep-1-25err~+01-16-00,1823.9934479263552,0.0
rnaseq-sep-1-25err~+01-17-00,1825.0626125751678,0.0
rnaseq-sep-1-25err~+01-18-00,1824.9100150458348,0.0
rnaseq-sep-1-25err~+01-19-00,1826.1397013553817,0.0
rnaseq-sep-1-25err~+01-20-00,1829.5649381423696,0.0
rnaseq-sep-1-25err~+01-21-00,1833.2336016274019,0.0
rnaseq-sep-1-25err~+01-22-00,1834.3876423844208,0.0
rnaseq-sep-1-25err~+01-23-00,1834.4755108333725,0.0
rnaseq-sep-1-25err~+02-00-00,1844.9131598005602,0.0
rnaseq-sep-1-25err~+02-01-00,1861.7750598411208,0.0
rnaseq-sep-1-25err~+02-02-00,1873.1080341631023,0.0
rnaseq-sep-1-25err~+02-03-00,1870.4874143436518,0.0
rnaseq-sep-1-25err~+02-04-00,1831.8361222323156,0.0
rnaseq-sep-1-25err~+02-05-00,1748.061605151346,0.0
rnaseq-sep-1-25err~+02-06-00,1669.969726045826,0.0
rnaseq-sep-1-25err~+02-07-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+02-08-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+02-09-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+02-10-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+02-11-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+02-12-00,1667.0212387874549,0.0
rnaseq-sep-1-25err~+02-13-00,1677.6286099858685,0.0
rnaseq-sep-1-25err~+02-14-00,1714.507286204471,0.0
rnaseq-sep-1-25err~+02-15-00,1759.5888272324205,0.0
rnaseq-sep-1-25err~+02-16-00,1774.2569078716099,0.0
rnaseq-sep-1-25err~+02-17-00,1747.9701724555425,0.0
rnaseq-sep-1-25err~+02-18-00,1718.758311301874,0.0
rnaseq-sep-1-25err~+02-19-00,1748.983209236817,0.0
rnaseq-sep-1-25err~+02-20-00,1724.949862568405,0.0
rnaseq-sep-1-25err~+02-21-00,1754.8618402860488,0.0
rnaseq-sep-1-25err~+02-22-00,1766.1143978682217,0.0
rnaseq-sep-1-25err~+02-23-00,1834.458479246226,0.0
rnaseq-sep-1-25err~+03-00-00,1856.459214284848,0.0
rnaseq-sep-1-25err~+03-01-00,1870.4545610819728,0.0
rnaseq-sep-1-25err~+03-02-00,1863.0383887291387,0.0
rnaseq-sep-1-25err~+03-03-00,1858.2938848728095,0.0
rnaseq-sep-1-25err~+03-04-00,1810.6505467195839,0.0
rnaseq-sep-1-25err~+03-05-00,1730.4110929130707,0.0
rnaseq-sep-1-25err~+03-06-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-07-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-08-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-09-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-10-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-11-00,1659.584630420197,0.0
rnaseq-sep-1-25err~+03-12-00,1671.0603982661246,0.0
rnaseq-sep-1-25err~+03-13-00,1687.2283784891758,0.0
rnaseq-sep-1-25err~+03-14-00,1685.8372374972432,0.0
rnaseq-sep-1-25err~+03-15-00,1698.6042136590663,0.0
rnaseq-sep-1-25err~+03-16-00,1759.4888126227263,0.0
rnaseq-sep-1-25err~+03-17-00,1821.866086839233,0.0
rnaseq-sep-1-25err~+03-18-00,1790.5760001105211,0.0
rnaseq-sep-1-25err~+03-19-00,1728.2274479313164,0.0
rnaseq-sep-1-25err~+03-20-00,1697.9365350369394,0.0
rnaseq-sep-1-25err~+03-21-00,1722.6172104452978,0.0
rnaseq-sep-1-25err~+03-22-00,1712.9302073070796,0.0
rnaseq-sep-1-25err~+03-23-00,1712.932141567932,0.0
rnaseq-sep-1-25err~+04-00-00,1801.088768672752,0.0
