trace,op_ems,emb_ems
sarek-aug-1-15err,3171.3315150879935,0.0
sarek-aug-1-15err~+00-01-00,3161.7300510606474,0.0
sarek-aug-1-15err~+00-02-00,3160.717545143095,0.0
sarek-aug-1-15err~+00-03-00,3167.0125291095355,0.0
sarek-aug-1-15err~+00-04-00,3207.568917127547,0.0
sarek-aug-1-15err~+00-05-00,3283.1435737321044,0.0
sarek-aug-1-15err~+00-06-00,3369.445027393427,0.0
sarek-aug-1-15err~+00-07-00,3456.9159610762135,0.0
sarek-aug-1-15err~+00-08-00,3523.26135262801,0.0
sarek-aug-1-15err~+00-09-00,3533.6060154752104,0.0
sarek-aug-1-15err~+00-10-00,3529.411128751113,0.0
sarek-aug-1-15err~+00-11-00,3495.9906248434577,0.0
sarek-aug-1-15err~+00-12-00,3418.885242883325,0.0
sarek-aug-1-15err~+00-13-00,3368.5996518116035,0.0
sarek-aug-1-15err~+00-14-00,3295.669401024703,0.0
sarek-aug-1-15err~+00-15-00,3209.6017322163643,0.0
sarek-aug-1-15err~+00-16-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-17-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-18-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-19-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-20-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-21-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-22-00,3171.439868248028,0.0
sarek-aug-1-15err~+00-23-00,3171.439868248028,0.0
sarek-aug-1-15err~+01-00-00,3171.457501082638,0.0
sarek-aug-1-15err~+01-01-00,3193.9011573721527,0.0
sarek-aug-1-15err~+01-02-00,3217.8978432990807,0.0
sarek-aug-1-15err~+01-03-00,3228.7318930494603,0.0
sarek-aug-1-15err~+01-04-00,3277.786107541009,0.0
sarek-aug-1-15err~+01-05-00,3351.9856632592196,0.0
sarek-aug-1-15err~+01-06-00,3395.484531270475,0.0
sarek-aug-1-15err~+01-07-00,3432.0367315132016,0.0
sarek-aug-1-15err~+01-08-00,3491.2699991786753,0.0
sarek-aug-1-15err~+01-09-00,3493.144814481966,0.0
sarek-aug-1-15err~+01-10-00,3468.139416603064,0.0
sarek-aug-1-15err~+01-11-00,3417.648201234742,0.0
sarek-aug-1-15err~+01-12-00,3371.822799161582,0.0
sarek-aug-1-15err~+01-13-00,3316.7102074483073,0.0
sarek-aug-1-15err~+01-14-00,3251.39586062574,0.0
sarek-aug-1-15err~+01-15-00,3188.0415063653827,0.0
sarek-aug-1-15err~+01-16-00,3171.439868248028,0.0
sarek-aug-1-15err~+01-17-00,3171.4931876948585,0.0
sarek-aug-1-15err~+01-18-00,3238.913402873202,0.0
sarek-aug-1-15err~+01-19-00,3248.9440469771207,0.0
sarek-aug-1-15err~+01-20-00,3257.205014440097,0.0
sarek-aug-1-15err~+01-21-00,3268.804113903295,0.0
sarek-aug-1-15err~+01-22-00,3259.3343910152357,0.0
sarek-aug-1-15err~+01-23-00,3176.231353983624,0.0
sarek-aug-1-15err~+02-00-00,3180.1245280224466,0.0
sarek-aug-1-15err~+02-01-00,3207.0742520773147,0.0
sarek-aug-1-15err~+02-02-00,3230.1795163604165,0.0
sarek-aug-1-15err~+02-03-00,3238.9985305884893,0.0
sarek-aug-1-15err~+02-04-00,3270.1342174908877,0.0
sarek-aug-1-15err~+02-05-00,3298.8401718479445,0.0
sarek-aug-1-15err~+02-06-00,3322.756659092391,0.0
sarek-aug-1-15err~+02-07-00,3373.6182427111025,0.0
sarek-aug-1-15err~+02-08-00,3455.927044331771,0.0
sarek-aug-1-15err~+02-09-00,3464.1885032161763,0.0
sarek-aug-1-15err~+02-10-00,3465.956943406576,0.0
sarek-aug-1-15err~+02-11-00,3422.6692131246764,0.0
sarek-aug-1-15err~+02-12-00,3340.797260684525,0.0
sarek-aug-1-15err~+02-13-00,3269.2531354523753,0.0
sarek-aug-1-15err~+02-14-00,3228.8534567611714,0.0
sarek-aug-1-15err~+02-15-00,3189.059292995566,0.0
sarek-aug-1-15err~+02-16-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-17-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-18-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-19-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-20-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-21-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-22-00,3171.439868248028,0.0
sarek-aug-1-15err~+02-23-00,3171.439868248028,0.0
sarek-aug-1-15err~+03-00-00,3179.598070116651,0.0
sarek-aug-1-15err~+03-01-00,3182.849483961845,0.0
sarek-aug-1-15err~+03-02-00,3189.977921757796,0.0
sarek-aug-1-15err~+03-03-00,3218.51421212446,0.0
sarek-aug-1-15err~+03-04-00,3257.1444360352307,0.0
sarek-aug-1-15err~+03-05-00,3308.5321449797502,0.0
sarek-aug-1-15err~+03-06-00,3375.075214442616,0.0
sarek-aug-1-15err~+03-07-00,3425.0828063637377,0.0
sarek-aug-1-15err~+03-08-00,3470.088920787417,0.0
sarek-aug-1-15err~+03-09-00,3492.324378750831,0.0
sarek-aug-1-15err~+03-10-00,3469.846172533743,0.0
sarek-aug-1-15err~+03-11-00,3430.6019779110884,0.0
sarek-aug-1-15err~+03-12-00,3374.0789004416797,0.0
sarek-aug-1-15err~+03-13-00,3308.344023261363,0.0
