trace,op_ems,emb_ems
sarek-aug-3-25err,260.81075670922985,0.0
sarek-aug-3-25err~+00-01-00,237.39544678474658,0.0
sarek-aug-3-25err~+00-02-00,233.70029271964853,0.0
sarek-aug-3-25err~+00-03-00,249.1801980722613,0.0
sarek-aug-3-25err~+00-04-00,308.3365826160674,0.0
sarek-aug-3-25err~+00-05-00,402.0014263982132,0.0
sarek-aug-3-25err~+00-06-00,533.6864359337911,0.0
sarek-aug-3-25err~+00-07-00,692.260335312254,0.0
sarek-aug-3-25err~+00-08-00,827.251609972396,0.0
sarek-aug-3-25err~+00-09-00,906.7415955926937,0.0
sarek-aug-3-25err~+00-10-00,898.3917696009762,0.0
sarek-aug-3-25err~+00-11-00,823.4930807763892,0.0
sarek-aug-3-25err~+00-12-00,713.1015771268611,0.0
sarek-aug-3-25err~+00-13-00,608.612398925083,0.0
sarek-aug-3-25err~+00-14-00,525.3300345068081,0.0
sarek-aug-3-25err~+00-15-00,491.99809210278636,0.0
sarek-aug-3-25err~+00-16-00,494.7551738500353,0.0
sarek-aug-3-25err~+00-17-00,513.0754151423184,0.0
sarek-aug-3-25err~+00-18-00,529.004342295096,0.0
sarek-aug-3-25err~+00-19-00,530.7087989475662,0.0
sarek-aug-3-25err~+00-20-00,528.7918208195549,0.0
sarek-aug-3-25err~+00-21-00,501.4229129945672,0.0
sarek-aug-3-25err~+00-22-00,436.77046781123727,0.0
sarek-aug-3-25err~+00-23-00,350.8841158298535,0.0
sarek-aug-3-25err~+01-00-00,279.34886681470147,0.0
sarek-aug-3-25err~+01-01-00,236.43203625388713,0.0
sarek-aug-3-25err~+01-02-00,229.67318817978872,0.0
sarek-aug-3-25err~+01-03-00,262.89935529245076,0.0
sarek-aug-3-25err~+01-04-00,354.45190888985695,0.0
sarek-aug-3-25err~+01-05-00,492.1145985271984,0.0
sarek-aug-3-25err~+01-06-00,660.5594340801811,0.0
sarek-aug-3-25err~+01-07-00,837.2851289452246,0.0
sarek-aug-3-25err~+01-08-00,997.3724829121011,0.0
sarek-aug-3-25err~+01-09-00,1094.3369973829133,0.0
sarek-aug-3-25err~+01-10-00,1102.655169345142,0.0
sarek-aug-3-25err~+01-11-00,1049.7391953116353,0.0
sarek-aug-3-25err~+01-12-00,972.5620745962823,0.0
sarek-aug-3-25err~+01-13-00,875.8596907403498,0.0
sarek-aug-3-25err~+01-14-00,771.9270469300147,0.0
sarek-aug-3-25err~+01-15-00,705.8199439113775,0.0
sarek-aug-3-25err~+01-16-00,669.7154560044269,0.0
sarek-aug-3-25err~+01-17-00,673.5323999869731,0.0
sarek-aug-3-25err~+01-18-00,733.6957787814247,0.0
sarek-aug-3-25err~+01-19-00,823.0689246296699,0.0
sarek-aug-3-25err~+01-20-00,915.8040060808171,0.0
sarek-aug-3-25err~+01-21-00,989.3462042209255,0.0
sarek-aug-3-25err~+01-22-00,982.9772472292827,0.0
sarek-aug-3-25err~+01-23-00,908.7631748774738,0.0
sarek-aug-3-25err~+02-00-00,830.9812088843134,0.0
sarek-aug-3-25err~+02-01-00,780.1577255074249,0.0
sarek-aug-3-25err~+02-02-00,751.3234430560487,0.0
sarek-aug-3-25err~+02-03-00,757.4385283035401,0.0
sarek-aug-3-25err~+02-04-00,797.9218939232982,0.0
sarek-aug-3-25err~+02-05-00,858.7964967129556,0.0
sarek-aug-3-25err~+02-06-00,931.0454865883262,0.0
sarek-aug-3-25err~+02-07-00,1016.1280128813767,0.0
sarek-aug-3-25err~+02-08-00,1102.331128080065,0.0
sarek-aug-3-25err~+02-09-00,1139.7062164067856,0.0
sarek-aug-3-25err~+02-10-00,1116.4132771823306,0.0
sarek-aug-3-25err~+02-11-00,1046.069545947607,0.0
sarek-aug-3-25err~+02-12-00,944.5564815664707,0.0
sarek-aug-3-25err~+02-13-00,816.9538870906974,0.0
sarek-aug-3-25err~+02-14-00,703.6014760527532,0.0
sarek-aug-3-25err~+02-15-00,636.1487558605138,0.0
sarek-aug-3-25err~+02-16-00,586.393633449756,0.0
