trace,op_ems,emb_ems
sarek-dec-1-10err,3289.781350852932,0.0
sarek-dec-1-10err~+00-01-00,3385.183173191894,0.0
sarek-dec-1-10err~+00-02-00,3559.4747501833763,0.0
sarek-dec-1-10err~+00-03-00,3703.0785074198275,0.0
sarek-dec-1-10err~+00-04-00,3787.9487030687765,0.0
sarek-dec-1-10err~+00-05-00,3900.4096114926588,0.0
sarek-dec-1-10err~+00-06-00,4007.857173552661,0.0
sarek-dec-1-10err~+00-07-00,4035.0956885357573,0.0
sarek-dec-1-10err~+00-08-00,4052.7363832443034,0.0
sarek-dec-1-10err~+00-09-00,4066.3628683604243,0.0
sarek-dec-1-10err~+00-10-00,4027.0291834630907,0.0
sarek-dec-1-10err~+00-11-00,3946.6301917543874,0.0
sarek-dec-1-10err~+00-12-00,3876.009420992127,0.0
sarek-dec-1-10err~+00-13-00,3791.266894015739,0.0
sarek-dec-1-10err~+00-14-00,3701.8847554646673,0.0
sarek-dec-1-10err~+00-15-00,3671.4137114650694,0.0
sarek-dec-1-10err~+00-16-00,3676.352821340773,0.0
sarek-dec-1-10err~+00-17-00,3683.267457187747,0.0
sarek-dec-1-10err~+00-18-00,3691.109219698309,0.0
sarek-dec-1-10err~+00-19-00,3680.5821620270963,0.0
sarek-dec-1-10err~+00-20-00,3656.6288944582757,0.0
sarek-dec-1-10err~+00-21-00,3602.395372905724,0.0
sarek-dec-1-10err~+00-22-00,3581.477308369803,0.0
sarek-dec-1-10err~+00-23-00,3568.664799465153,0.0
sarek-dec-1-10err~+01-00-00,3601.934421865727,0.0
sarek-dec-1-10err~+01-01-00,3683.36713980467,0.0
sarek-dec-1-10err~+01-02-00,3734.3244882635445,0.0
sarek-dec-1-10err~+01-03-00,3734.251679873513,0.0
sarek-dec-1-10err~+01-04-00,3723.957659958358,0.0
sarek-dec-1-10err~+01-05-00,3734.1757936679605,0.0
sarek-dec-1-10err~+01-06-00,3729.720141811158,0.0
sarek-dec-1-10err~+01-07-00,3801.4195120176814,0.0
sarek-dec-1-10err~+01-08-00,3879.594716988786,0.0
sarek-dec-1-10err~+01-09-00,3946.1079807518354,0.0
sarek-dec-1-10err~+01-10-00,3905.346345598071,0.0
sarek-dec-1-10err~+01-11-00,3830.396777525365,0.0
sarek-dec-1-10err~+01-12-00,3766.8875687152195,0.0
sarek-dec-1-10err~+01-13-00,3700.191266413355,0.0
sarek-dec-1-10err~+01-14-00,3630.806696825635,0.0
sarek-dec-1-10err~+01-15-00,3635.621382816141,0.0
sarek-dec-1-10err~+01-16-00,3665.7373448615845,0.0
sarek-dec-1-10err~+01-17-00,3675.2644957967455,0.0
sarek-dec-1-10err~+01-18-00,3680.383858299445,0.0
sarek-dec-1-10err~+01-19-00,3689.5141353428508,0.0
sarek-dec-1-10err~+01-20-00,3697.559583207079,0.0
sarek-dec-1-10err~+01-21-00,3702.084076612584,0.0
sarek-dec-1-10err~+01-22-00,3726.3059849115216,0.0
sarek-dec-1-10err~+01-23-00,3729.2081889607334,0.0
sarek-dec-1-10err~+02-00-00,3740.8408952752784,0.0
sarek-dec-1-10err~+02-01-00,3706.6761156253788,0.0
sarek-dec-1-10err~+02-02-00,3674.7515628766096,0.0
sarek-dec-1-10err~+02-03-00,3714.896963606006,0.0
sarek-dec-1-10err~+02-04-00,3677.5596127985273,0.0
sarek-dec-1-10err~+02-05-00,3653.6684356344385,0.0
sarek-dec-1-10err~+02-06-00,3765.549279340549,0.0
sarek-dec-1-10err~+02-07-00,3858.731351769574,0.0
sarek-dec-1-10err~+02-08-00,3885.3271259499816,0.0
sarek-dec-1-10err~+02-09-00,3993.4913363288947,0.0
sarek-dec-1-10err~+02-10-00,3984.402541115094,0.0
sarek-dec-1-10err~+02-11-00,3885.913612915197,0.0
sarek-dec-1-10err~+02-12-00,3796.023424444402,0.0
sarek-dec-1-10err~+02-13-00,3692.5637412386477,0.0
sarek-dec-1-10err~+02-14-00,3621.1860161017994,0.0
sarek-dec-1-10err~+02-15-00,3658.0919450438814,0.0
sarek-dec-1-10err~+02-16-00,3684.511375097341,0.0
sarek-dec-1-10err~+02-17-00,3673.181092011352,0.0
sarek-dec-1-10err~+02-18-00,3663.4520960747436,0.0
sarek-dec-1-10err~+02-19-00,3672.8951730615418,0.0
sarek-dec-1-10err~+02-20-00,3659.5083061510404,0.0
sarek-dec-1-10err~+02-21-00,3636.9793252454,0.0
sarek-dec-1-10err~+02-22-00,3635.1314052032935,0.0
sarek-dec-1-10err~+02-23-00,3651.301969351678,0.0
sarek-dec-1-10err~+03-00-00,3636.133148332205,0.0
sarek-dec-1-10err~+03-01-00,3630.597551570273,0.0
sarek-dec-1-10err~+03-02-00,3625.536545634496,0.0
sarek-dec-1-10err~+03-03-00,3618.392750679005,0.0
sarek-dec-1-10err~+03-04-00,3585.721478307245,0.0
sarek-dec-1-10err~+03-05-00,3562.735215858098,0.0
sarek-dec-1-10err~+03-06-00,3573.9068218808793,0.0
sarek-dec-1-10err~+03-07-00,3588.1557763980745,0.0
sarek-dec-1-10err~+03-08-00,3600.106956238361,0.0
sarek-dec-1-10err~+03-09-00,3689.9846677398345,0.0
sarek-dec-1-10err~+03-10-00,3678.899188492137,0.0
sarek-dec-1-10err~+03-11-00,3703.0392599358183,0.0
sarek-dec-1-10err~+03-12-00,3728.1756849628428,0.0
sarek-dec-1-10err~+03-13-00,3726.3222541508258,0.0
sarek-dec-1-10err~+03-14-00,3643.6981166829137,0.0
sarek-dec-1-10err~+03-15-00,3678.141013159092,0.0
sarek-dec-1-10err~+03-16-00,3684.6265229123524,0.0
sarek-dec-1-10err~+03-17-00,3692.927199179373,0.0
sarek-dec-1-10err~+03-18-00,3670.7945978797416,0.0
sarek-dec-1-10err~+03-19-00,3678.9412363004035,0.0
sarek-dec-1-10err~+03-20-00,3685.868369229058,0.0
sarek-dec-1-10err~+03-21-00,3682.150104089348,0.0
sarek-dec-1-10err~+03-22-00,3649.2609477869028,0.0
sarek-dec-1-10err~+03-23-00,3685.1917971355424,0.0
sarek-dec-1-10err~+04-00-00,3673.784253638378,0.0
