trace,op_ems,emb_ems
sarek-sep-3-25err,482.6373873332841,0.0
sarek-sep-3-25err~+00-01-00,421.45222716522056,0.0
sarek-sep-3-25err~+00-02-00,370.5865869402216,0.0
sarek-sep-3-25err~+00-03-00,384.61220617284636,0.0
sarek-sep-3-25err~+00-04-00,442.9113665677712,0.0
sarek-sep-3-25err~+00-05-00,519.0203313877698,0.0
sarek-sep-3-25err~+00-06-00,604.5162050051035,0.0
sarek-sep-3-25err~+00-07-00,696.5172793494639,0.0
sarek-sep-3-25err~+00-08-00,722.1705925711462,0.0
sarek-sep-3-25err~+00-09-00,685.1109971284454,0.0
sarek-sep-3-25err~+00-10-00,639.8434122833603,0.0
sarek-sep-3-25err~+00-11-00,581.0828472566648,0.0
sarek-sep-3-25err~+00-12-00,510.1930186697963,0.0
sarek-sep-3-25err~+00-13-00,481.3121415466554,0.0
sarek-sep-3-25err~+00-14-00,492.84721005834876,0.0
sarek-sep-3-25err~+00-15-00,498.7592368181414,0.0
sarek-sep-3-25err~+00-16-00,512.5184123507635,0.0
sarek-sep-3-25err~+00-17-00,539.1223602519406,0.0
sarek-sep-3-25err~+00-18-00,579.4337997167609,0.0
sarek-sep-3-25err~+00-19-00,600.2662193781837,0.0
sarek-sep-3-25err~+00-20-00,601.9987776112337,0.0
sarek-sep-3-25err~+00-21-00,578.9149556094073,0.0
sarek-sep-3-25err~+00-22-00,537.6577116923881,0.0
sarek-sep-3-25err~+00-23-00,479.4396223732089,0.0
sarek-sep-3-25err~+01-00-00,441.44715951219086,0.0
sarek-sep-3-25err~+01-01-00,415.6142942453566,0.0
sarek-sep-3-25err~+01-02-00,410.66112067377924,0.0
sarek-sep-3-25err~+01-03-00,424.8968838266755,0.0
sarek-sep-3-25err~+01-04-00,442.6889289017647,0.0
sarek-sep-3-25err~+01-05-00,460.2758770777696,0.0
sarek-sep-3-25err~+01-06-00,487.947095885404,0.0
sarek-sep-3-25err~+01-07-00,512.0768656582138,0.0
sarek-sep-3-25err~+01-08-00,502.21420446528356,0.0
sarek-sep-3-25err~+01-09-00,489.8590833525037,0.0
sarek-sep-3-25err~+01-10-00,458.4026944187464,0.0
sarek-sep-3-25err~+01-11-00,416.6793301020631,0.0
sarek-sep-3-25err~+01-12-00,380.7014218604817,0.0
sarek-sep-3-25err~+01-13-00,366.1356731066128,0.0
sarek-sep-3-25err~+01-14-00,353.02294411361476,0.0
sarek-sep-3-25err~+01-15-00,347.8292249925293,0.0
sarek-sep-3-25err~+01-16-00,344.46148211149966,0.0
sarek-sep-3-25err~+01-17-00,357.6862408718061,0.0
sarek-sep-3-25err~+01-18-00,387.3956330406759,0.0
sarek-sep-3-25err~+01-19-00,407.3837379987173,0.0
sarek-sep-3-25err~+01-20-00,409.05371703745857,0.0
sarek-sep-3-25err~+01-21-00,400.020359833767,0.0
sarek-sep-3-25err~+01-22-00,365.15391027422385,0.0
sarek-sep-3-25err~+01-23-00,307.9174700526428,0.0
sarek-sep-3-25err~+02-00-00,266.80787001891565,0.0
sarek-sep-3-25err~+02-01-00,249.45429621285288,0.0
sarek-sep-3-25err~+02-02-00,232.42356493801884,0.0
sarek-sep-3-25err~+02-03-00,253.22325366420307,0.0
sarek-sep-3-25err~+02-04-00,313.6385912557237,0.0
sarek-sep-3-25err~+02-05-00,411.091023230813,0.0
sarek-sep-3-25err~+02-06-00,538.7834158563844,0.0
sarek-sep-3-25err~+02-07-00,693.8285697677586,0.0
sarek-sep-3-25err~+02-08-00,818.0205498553689,0.0
sarek-sep-3-25err~+02-09-00,867.9717221808937,0.0
sarek-sep-3-25err~+02-10-00,832.3505779926159,0.0
sarek-sep-3-25err~+02-11-00,753.100818957057,0.0
sarek-sep-3-25err~+02-12-00,637.5118973179268,0.0
sarek-sep-3-25err~+02-13-00,521.4993838190543,0.0
sarek-sep-3-25err~+02-14-00,452.3261644837572,0.0
sarek-sep-3-25err~+02-15-00,444.3009688173528,0.0
sarek-sep-3-25err~+02-16-00,477.95854332742266,0.0
sarek-sep-3-25err~+02-17-00,566.6057005422527,0.0
sarek-sep-3-25err~+02-18-00,673.2320904973058,0.0
sarek-sep-3-25err~+02-19-00,765.2138409412423,0.0
sarek-sep-3-25err~+02-20-00,829.4351526044376,0.0
sarek-sep-3-25err~+02-21-00,819.9683008991531,0.0
sarek-sep-3-25err~+02-22-00,727.0304833816858,0.0
sarek-sep-3-25err~+02-23-00,612.3938014978526,0.0
sarek-sep-3-25err~+03-00-00,529.5361437237124,0.0
sarek-sep-3-25err~+03-01-00,474.7477190209288,0.0
