trace,op_ems,emb_ems
chipseq-aug-1,1295.0314400892576,0.0
chipseq-aug-1~+00-01-00,1280.3379811612517,0.0
chipseq-aug-1~+00-02-00,1268.3855334935695,0.0
chipseq-aug-1~+00-03-00,1209.069671600213,0.0
chipseq-aug-1~+00-04-00,1079.0567823462652,0.0
chipseq-aug-1~+00-05-00,917.1981895152803,0.0
chipseq-aug-1~+00-06-00,737.4085683662029,0.0
chipseq-aug-1~+00-07-00,616.7603785552512,0.0
chipseq-aug-1~+00-08-00,582.8722651394598,0.0
chipseq-aug-1~+00-09-00,568.7194238306495,0.0
chipseq-aug-1~+00-10-00,567.0735277339476,0.0
chipseq-aug-1~+00-11-00,573.8163866866478,0.0
chipseq-aug-1~+00-12-00,597.4030027339286,0.0
chipseq-aug-1~+00-13-00,635.7556786529221,0.0
chipseq-aug-1~+00-14-00,733.2472258398959,0.0
chipseq-aug-1~+00-15-00,900.6555818732604,0.0
chipseq-aug-1~+00-16-00,1076.2797378632195,0.0
chipseq-aug-1~+00-17-00,1241.8852705440897,0.0
chipseq-aug-1~+00-18-00,1358.212862898189,0.0
chipseq-aug-1~+00-19-00,1375.9835774722355,0.0
chipseq-aug-1~+00-20-00,1366.3537521287644,0.0
chipseq-aug-1~+00-21-00,1327.3341164963863,0.0
chipseq-aug-1~+00-22-00,1274.7147668285684,0.0
chipseq-aug-1~+00-23-00,1220.3901555664854,0.0
chipseq-aug-1~+01-00-00,1187.67951023071,0.0
