trace,op_ems,emb_ems
chipseq-jul-2,1294.6890178828419,0.0
chipseq-jul-2~+00-01-00,1297.6756752495764,0.0
chipseq-jul-2~+00-02-00,1294.5387578974742,0.0
chipseq-jul-2~+00-03-00,1214.6675716804436,0.0
chipseq-jul-2~+00-04-00,1089.1476305339252,0.0
chipseq-jul-2~+00-05-00,918.1790811472924,0.0
chipseq-jul-2~+00-06-00,772.3677596229857,0.0
chipseq-jul-2~+00-07-00,733.1375170645197,0.0
chipseq-jul-2~+00-08-00,741.8856993527222,0.0
chipseq-jul-2~+00-09-00,768.9691292458639,0.0
chipseq-jul-2~+00-10-00,810.2523777004567,0.0
chipseq-jul-2~+00-11-00,850.5792229560391,0.0
chipseq-jul-2~+00-12-00,894.8234619946265,0.0
chipseq-jul-2~+00-13-00,940.2391447483903,0.0
chipseq-jul-2~+00-14-00,1001.9815636804644,0.0
chipseq-jul-2~+00-15-00,1116.2530442209163,0.0
chipseq-jul-2~+00-16-00,1268.73207713587,0.0
chipseq-jul-2~+00-17-00,1412.1038430510282,0.0
chipseq-jul-2~+00-18-00,1518.8319301624238,0.0
chipseq-jul-2~+00-19-00,1536.5565219882137,0.0
chipseq-jul-2~+00-20-00,1524.4030787897386,0.0
chipseq-jul-2~+00-21-00,1514.7415930924471,0.0
chipseq-jul-2~+00-22-00,1503.9542152994059,0.0
chipseq-jul-2~+00-23-00,1508.8442308864687,0.0
chipseq-jul-2~+01-00-00,1498.8844840909346,0.0
