trace,op_ems,emb_ems
mag-mar-1,3111.7741805479372,0.0
mag-mar-1~+00-01-00,2939.932522706985,0.0
mag-mar-1~+00-02-00,2628.372107736631,0.0
mag-mar-1~+00-03-00,2295.7171367628307,0.0
mag-mar-1~+00-04-00,2351.5428047565783,0.0
mag-mar-1~+00-05-00,2456.7996476411345,0.0
mag-mar-1~+00-06-00,2543.716950691347,0.0
mag-mar-1~+00-07-00,2568.8503645199403,0.0
mag-mar-1~+00-08-00,2737.94951941395,0.0
mag-mar-1~+00-09-00,2924.6575564979075,0.0
mag-mar-1~+00-10-00,3250.93156438776,0.0
mag-mar-1~+00-11-00,3641.4480242168784,0.0
mag-mar-1~+00-12-00,4049.901011870489,0.0
mag-mar-1~+00-13-00,4412.119065921619,0.0
mag-mar-1~+00-14-00,4780.1774374291435,0.0
mag-mar-1~+00-15-00,5202.875987383419,0.0
mag-mar-1~+00-16-00,5280.352864974202,0.0
mag-mar-1~+00-17-00,5268.609966851323,0.0
mag-mar-1~+00-18-00,5274.082135071447,0.0
mag-mar-1~+00-19-00,5289.043185292744,0.0
mag-mar-1~+00-20-00,5233.539374270186,0.0
mag-mar-1~+00-21-00,4856.198212401329,0.0
mag-mar-1~+00-22-00,4432.60172832762,0.0
mag-mar-1~+00-23-00,3957.69628841751,0.0
mag-mar-1~+01-00-00,3519.541425551142,0.0
