trace,op_ems,emb_ems
mag-may-2,1071.8707855381617,0.0
mag-may-2~+00-01-00,965.013226568254,0.0
mag-may-2~+00-02-00,860.505287635704,0.0
mag-may-2~+00-03-00,772.7722843189113,0.0
mag-may-2~+00-04-00,702.2759396507653,0.0
mag-may-2~+00-05-00,667.0299390916489,0.0
mag-may-2~+00-06-00,720.4875222324048,0.0
mag-may-2~+00-07-00,865.0343107791784,0.0
mag-may-2~+00-08-00,1032.9170424185365,0.0
mag-may-2~+00-09-00,1181.7655530755765,0.0
mag-may-2~+00-10-00,1310.0066022401347,0.0
mag-may-2~+00-11-00,1429.0337918216385,0.0
mag-may-2~+00-12-00,1554.4215807026644,0.0
mag-may-2~+00-13-00,1690.8694605388764,0.0
mag-may-2~+00-14-00,1822.6426281453555,0.0
mag-may-2~+00-15-00,1942.3283290347813,0.0
mag-may-2~+00-16-00,2052.0262075888354,0.0
mag-may-2~+00-17-00,2127.447246297945,0.0
mag-may-2~+00-18-00,2116.8533406083993,0.0
mag-may-2~+00-19-00,2002.289676136113,0.0
mag-may-2~+00-20-00,1852.3869216533735,0.0
mag-may-2~+00-21-00,1699.7895054629546,0.0
mag-may-2~+00-22-00,1560.536998024031,0.0
mag-may-2~+00-23-00,1450.5816607286288,0.0
mag-may-2~+01-00-00,1343.7261639186931,0.0
