trace,op_ems,emb_ems
montage-dec-1,141.62704639313574,0.0
montage-dec-1~+00-01-00,139.7709443619331,0.0
montage-dec-1~+00-02-00,138.74832932830859,0.0
montage-dec-1~+00-03-00,139.26569927848757,0.0
montage-dec-1~+00-04-00,140.68471186029808,0.0
montage-dec-1~+00-05-00,141.3545711187207,0.0
montage-dec-1~+00-06-00,141.6725362454746,0.0
montage-dec-1~+00-07-00,140.55249780801628,0.0
montage-dec-1~+00-08-00,140.13907193269765,0.0
montage-dec-1~+00-09-00,141.88375012211293,0.0
montage-dec-1~+00-10-00,141.75916702265081,0.0
montage-dec-1~+00-11-00,143.9195677873652,0.0
montage-dec-1~+00-12-00,144.45329288297137,0.0
montage-dec-1~+00-13-00,150.42089440694969,0.0
montage-dec-1~+00-14-00,144.29708760058853,0.0
montage-dec-1~+00-15-00,143.39655109212882,0.0
montage-dec-1~+00-16-00,145.64947541133552,0.0
montage-dec-1~+00-17-00,144.58312641153336,0.0
montage-dec-1~+00-18-00,142.32402728141014,0.0
montage-dec-1~+00-19-00,141.28796288936127,0.0
montage-dec-1~+00-20-00,141.72756421190854,0.0
montage-dec-1~+00-21-00,141.1499867780044,0.0
montage-dec-1~+00-22-00,141.6804831520005,0.0
montage-dec-1~+00-23-00,140.95114674381338,0.0
montage-dec-1~+01-00-00,141.3050530613747,0.0
