trace,op_ems,emb_ems
mag-jul-2,1913.5444548740288,0.0
mag-jul-2~+00-01-00,1847.7954857823952,0.0
mag-jul-2~+00-02-00,1787.1818938743977,0.0
mag-jul-2~+00-03-00,1734.419938512552,0.0
mag-jul-2~+00-04-00,1686.761605498707,0.0
mag-jul-2~+00-05-00,1650.8175325294192,0.0
mag-jul-2~+00-06-00,1681.7081377407915,0.0
mag-jul-2~+00-07-00,1798.200636093557,0.0
mag-jul-2~+00-08-00,1942.3128183011918,0.0
mag-jul-2~+00-09-00,2080.652453463461,0.0
mag-jul-2~+00-10-00,2196.9258150218425,0.0
mag-jul-2~+00-11-00,2290.2050219995845,0.0
mag-jul-2~+00-12-00,2390.2852831780274,0.0
mag-jul-2~+00-13-00,2491.239643766671,0.0
mag-jul-2~+00-14-00,2587.6806317572896,0.0
mag-jul-2~+00-15-00,2677.905729376136,0.0
mag-jul-2~+00-16-00,2750.263975637692,0.0
mag-jul-2~+00-17-00,2804.0394267844677,0.0
mag-jul-2~+00-18-00,2792.3504811247312,0.0
mag-jul-2~+00-19-00,2687.936999607361,0.0
mag-jul-2~+00-20-00,2547.9646966954087,0.0
mag-jul-2~+00-21-00,2404.356175301935,0.0
mag-jul-2~+00-22-00,2279.3400201202494,0.0
mag-jul-2~+00-23-00,2183.132887975732,0.0
mag-jul-2~+01-00-00,2090.2500991760853,0.0
mag-jul-2~+01-01-00,1997.3387507229468,0.0
mag-jul-2~+01-02-00,1907.389554627858,0.0
mag-jul-2~+01-03-00,1827.0963346339445,0.0
mag-jul-2~+01-04-00,1763.998584208021,0.0
mag-jul-2~+01-05-00,1722.4299357725586,0.0
mag-jul-2~+01-06-00,1744.4139609677954,0.0
mag-jul-2~+01-07-00,1851.5629005302271,0.0
mag-jul-2~+01-08-00,1988.9376693074946,0.0
mag-jul-2~+01-09-00,2123.3467870846866,0.0
mag-jul-2~+01-10-00,2241.9169773915073,0.0
mag-jul-2~+01-11-00,2342.337270855015,0.0
mag-jul-2~+01-12-00,2447.2827551917335,0.0
mag-jul-2~+01-13-00,2549.823757624618,0.0
mag-jul-2~+01-14-00,2643.8779145214808,0.0
mag-jul-2~+01-15-00,2734.3905226079546,0.0
mag-jul-2~+01-16-00,2817.5199062246666,0.0
mag-jul-2~+01-17-00,2895.626726896983,0.0
mag-jul-2~+01-18-00,2913.02706272993,0.0
mag-jul-2~+01-19-00,2841.0820089569884,0.0
mag-jul-2~+01-20-00,2723.5049860567706,0.0
mag-jul-2~+01-21-00,2593.350580949009,0.0
mag-jul-2~+01-22-00,2482.395434509785,0.0
mag-jul-2~+01-23-00,2393.7702642711693,0.0
mag-jul-2~+02-00-00,2302.156084490656,0.0
mag-jul-2~+02-01-00,2210.00590663565,0.0
mag-jul-2~+02-02-00,2122.2855460693727,0.0
mag-jul-2~+02-03-00,2042.1522108233466,0.0
mag-jul-2~+02-04-00,1967.172172741996,0.0
mag-jul-2~+02-05-00,1901.963835927417,0.0
mag-jul-2~+02-06-00,1900.5122374297011,0.0
mag-jul-2~+02-07-00,1980.1180625965771,0.0
mag-jul-2~+02-08-00,2094.516592450388,0.0
mag-jul-2~+02-09-00,2213.919722639764,0.0
mag-jul-2~+02-10-00,2326.1551446953254,0.0
mag-jul-2~+02-11-00,2432.0565754156673,0.0
mag-jul-2~+02-12-00,2544.247447164188,0.0
mag-jul-2~+02-13-00,2656.7820525911156,0.0
mag-jul-2~+02-14-00,2765.7265123673596,0.0
mag-jul-2~+02-15-00,2866.1445205502755,0.0
mag-jul-2~+02-16-00,2956.693731370534,0.0
mag-jul-2~+02-17-00,3025.382959574071,0.0
mag-jul-2~+02-18-00,3026.951967572345,0.0
mag-jul-2~+02-19-00,2952.393274907377,0.0
mag-jul-2~+02-20-00,2837.38103193721,0.0
mag-jul-2~+02-21-00,2710.74798227319,0.0
mag-jul-2~+02-22-00,2587.279341597092,0.0
mag-jul-2~+02-23-00,2482.5360792750157,0.0
mag-jul-2~+03-00-00,2378.3920708195965,0.0
mag-jul-2~+03-01-00,2272.6159274512556,0.0
mag-jul-2~+03-02-00,2171.267638139675,0.0
mag-jul-2~+03-03-00,2076.178350353329,0.0
mag-jul-2~+03-04-00,1997.174480114785,0.0
mag-jul-2~+03-05-00,1938.163166346515,0.0
mag-jul-2~+03-06-00,1940.7143323903101,0.0
mag-jul-2~+03-07-00,2012.6104160435293,0.0
mag-jul-2~+03-08-00,2105.1292088920873,0.0
mag-jul-2~+03-09-00,2206.678279751047,0.0
mag-jul-2~+03-10-00,2306.047588669562,0.0
mag-jul-2~+03-11-00,2391.100697338239,0.0
mag-jul-2~+03-12-00,2480.997721417867,0.0
mag-jul-2~+03-13-00,2567.503931566198,0.0
mag-jul-2~+03-14-00,2642.082225614977,0.0
mag-jul-2~+03-15-00,2709.8448548636125,0.0
mag-jul-2~+03-16-00,2773.446905190567,0.0
mag-jul-2~+03-17-00,2820.705182947734,0.0
mag-jul-2~+03-18-00,2812.215397360838,0.0
mag-jul-2~+03-19-00,2742.065462225161,0.0
mag-jul-2~+03-20-00,2645.207648093908,0.0
mag-jul-2~+03-21-00,2535.8747392632386,0.0
mag-jul-2~+03-22-00,2437.936743775552,0.0
mag-jul-2~+03-23-00,2355.419495297658,0.0
mag-jul-2~+04-00-00,2272.8747017367705,0.0
