trace,op_ems,emb_ems
nanoseq-sep-3,149.40836758569782,0.0
nanoseq-sep-3~+00-01-00,150.4456574853504,0.0
nanoseq-sep-3~+00-02-00,149.9354819738457,0.0
nanoseq-sep-3~+00-03-00,140.07722438267524,0.0
nanoseq-sep-3~+00-04-00,135.00585073345502,0.0
nanoseq-sep-3~+00-05-00,133.23362543684976,0.0
nanoseq-sep-3~+00-06-00,131.25418813537325,0.0
nanoseq-sep-3~+00-07-00,137.01082939296984,0.0
nanoseq-sep-3~+00-08-00,149.2184121998497,0.0
nanoseq-sep-3~+00-09-00,149.13437183450742,0.0
nanoseq-sep-3~+00-10-00,152.1632446092251,0.0
nanoseq-sep-3~+00-11-00,152.43214719456626,0.0
nanoseq-sep-3~+00-12-00,152.90268310312376,0.0
nanoseq-sep-3~+00-13-00,153.58428797129483,0.0
nanoseq-sep-3~+00-14-00,155.57447650395022,0.0
nanoseq-sep-3~+00-15-00,155.37772917121953,0.0
nanoseq-sep-3~+00-16-00,154.22877901973294,0.0
nanoseq-sep-3~+00-17-00,151.98980693904684,0.0
nanoseq-sep-3~+00-18-00,149.42283817355275,0.0
nanoseq-sep-3~+00-19-00,147.62010194874458,0.0
nanoseq-sep-3~+00-20-00,146.39617272066113,0.0
nanoseq-sep-3~+00-21-00,146.18711988973044,0.0
nanoseq-sep-3~+00-22-00,146.79706812397922,0.0
nanoseq-sep-3~+00-23-00,147.92415541402713,0.0
nanoseq-sep-3~+01-00-00,149.26966688361682,0.0
nanoseq-sep-3~+01-01-00,150.613997165188,0.0
nanoseq-sep-3~+01-02-00,151.95995138793376,0.0
nanoseq-sep-3~+01-03-00,140.44724695337015,0.0
nanoseq-sep-3~+01-04-00,116.71189897520108,0.0
nanoseq-sep-3~+01-05-00,107.14516703135908,0.0
nanoseq-sep-3~+01-06-00,107.78276553383753,0.0
nanoseq-sep-3~+01-07-00,107.11871499252673,0.0
nanoseq-sep-3~+01-08-00,127.84368500011242,0.0
nanoseq-sep-3~+01-09-00,152.241023723688,0.0
nanoseq-sep-3~+01-10-00,153.4273742526106,0.0
nanoseq-sep-3~+01-11-00,153.60835283546265,0.0
nanoseq-sep-3~+01-12-00,153.98501172680227,0.0
nanoseq-sep-3~+01-13-00,154.63519956466618,0.0
nanoseq-sep-3~+01-14-00,155.11219831170553,0.0
nanoseq-sep-3~+01-15-00,154.72796909488108,0.0
