trace,op_ems,emb_ems
rangeland-apr-3,2629.64806939521,0.0
rangeland-apr-3~+00-01-00,2336.1982772325,0.0
rangeland-apr-3~+00-02-00,1985.9943777710146,0.0
rangeland-apr-3~+00-03-00,1638.5079453829594,0.0
rangeland-apr-3~+00-04-00,1384.4363964790139,0.0
rangeland-apr-3~+00-05-00,1041.2399049960727,0.0
rangeland-apr-3~+00-06-00,679.2629913325369,0.0
rangeland-apr-3~+00-07-00,375.6017410561256,0.0
rangeland-apr-3~+00-08-00,371.09331070774937,0.0
rangeland-apr-3~+00-09-00,371.99558518264206,0.0
rangeland-apr-3~+00-10-00,368.23958874220205,0.0
rangeland-apr-3~+00-11-00,518.891056535175,0.0
rangeland-apr-3~+00-12-00,893.864013067327,0.0
rangeland-apr-3~+00-13-00,1272.1142071206943,0.0
rangeland-apr-3~+00-14-00,1650.6691101930944,0.0
rangeland-apr-3~+00-15-00,2024.7337220784543,0.0
rangeland-apr-3~+00-16-00,2390.683969147054,0.0
rangeland-apr-3~+00-17-00,2742.3722771886078,0.0
rangeland-apr-3~+00-18-00,2733.5705913517095,0.0
rangeland-apr-3~+00-19-00,2707.6713877600146,0.0
rangeland-apr-3~+00-20-00,2682.477907662913,0.0
rangeland-apr-3~+00-21-00,2659.9105451444325,0.0
rangeland-apr-3~+00-22-00,2638.97042813108,0.0
rangeland-apr-3~+00-23-00,2633.885303496938,0.0
rangeland-apr-3~+01-00-00,2560.4063977397923,0.0
rangeland-apr-3~+01-01-00,2216.9855469659674,0.0
rangeland-apr-3~+01-02-00,1866.4728223430766,0.0
rangeland-apr-3~+01-03-00,1512.4643446834225,0.0
rangeland-apr-3~+01-04-00,1155.5918572970975,0.0
rangeland-apr-3~+01-05-00,805.1886289472648,0.0
rangeland-apr-3~+01-06-00,447.9426990099766,0.0
rangeland-apr-3~+01-07-00,275.15261205838647,0.0
rangeland-apr-3~+01-08-00,274.98155268510294,0.0
rangeland-apr-3~+01-09-00,276.69551641607336,0.0
rangeland-apr-3~+01-10-00,286.1321254760776,0.0
rangeland-apr-3~+01-11-00,601.6616764196403,0.0
rangeland-apr-3~+01-12-00,979.1087401869881,0.0
rangeland-apr-3~+01-13-00,1354.1990431834613,0.0
rangeland-apr-3~+01-14-00,1726.4133567335027,0.0
rangeland-apr-3~+01-15-00,2091.164567857936,0.0
rangeland-apr-3~+01-16-00,2452.740280450734,0.0
rangeland-apr-3~+01-17-00,2726.907784829074,0.0
rangeland-apr-3~+01-18-00,2728.001485029061,0.0
rangeland-apr-3~+01-19-00,2703.5335367632288,0.0
rangeland-apr-3~+01-20-00,2682.243164432585,0.0
rangeland-apr-3~+01-21-00,2664.728072048659,0.0
rangeland-apr-3~+01-22-00,2659.3554612808357,0.0
rangeland-apr-3~+01-23-00,2661.2528643186643,0.0
rangeland-apr-3~+02-00-00,2588.969662152117,0.0
rangeland-apr-3~+02-01-00,2246.1563657315464,0.0
rangeland-apr-3~+02-02-00,1894.240826787861,0.0
rangeland-apr-3~+02-03-00,1542.3742449148763,0.0
rangeland-apr-3~+02-04-00,1190.5468085583545,0.0
rangeland-apr-3~+02-05-00,831.5420907331036,0.0
rangeland-apr-3~+02-06-00,468.9630216406663,0.0
rangeland-apr-3~+02-07-00,288.8638253530989,0.0
rangeland-apr-3~+02-08-00,289.05620425651324,0.0
rangeland-apr-3~+02-09-00,291.3247800960906,0.0
rangeland-apr-3~+02-10-00,303.6148039376263,0.0
rangeland-apr-3~+02-11-00,494.5347421086892,0.0
rangeland-apr-3~+02-12-00,855.0807655156389,0.0
rangeland-apr-3~+02-13-00,1222.4497196061316,0.0
rangeland-apr-3~+02-14-00,1588.7897592871634,0.0
rangeland-apr-3~+02-15-00,1954.0866398931298,0.0
rangeland-apr-3~+02-16-00,2315.003901017586,0.0
rangeland-apr-3~+02-17-00,2662.17787593382,0.0
rangeland-apr-3~+02-18-00,2730.843395786026,0.0
rangeland-apr-3~+02-19-00,2719.915941675643,0.0
rangeland-apr-3~+02-20-00,2713.06994566675,0.0
rangeland-apr-3~+02-21-00,2702.576127481805,0.0
rangeland-apr-3~+02-22-00,2689.047298689171,0.0
rangeland-apr-3~+02-23-00,2686.3624746929395,0.0
