trace,op_ems,emb_ems
rangeland-may-2,2690.4616157728947,0.0
rangeland-may-2~+00-01-00,2385.144812194088,0.0
rangeland-may-2~+00-02-00,2310.925756560184,0.0
rangeland-may-2~+00-03-00,2068.6713188073395,0.0
rangeland-may-2~+00-04-00,1765.4996772399918,0.0
rangeland-may-2~+00-05-00,1461.9915444600733,0.0
rangeland-may-2~+00-06-00,1182.1942780374864,0.0
rangeland-may-2~+00-07-00,1092.870712786351,0.0
rangeland-may-2~+00-08-00,1267.1244171335488,0.0
rangeland-may-2~+00-09-00,1169.4931841882053,0.0
rangeland-may-2~+00-10-00,1163.473110654969,0.0
rangeland-may-2~+00-11-00,1351.9202069572846,0.0
rangeland-may-2~+00-12-00,1592.4112530176615,0.0
rangeland-may-2~+00-13-00,1924.6720689284216,0.0
rangeland-may-2~+00-14-00,2197.802455526063,0.0
rangeland-may-2~+00-15-00,2188.1727704720906,0.0
rangeland-may-2~+00-16-00,2498.3119854220895,0.0
rangeland-may-2~+00-17-00,2650.2719154214783,0.0
rangeland-may-2~+00-18-00,2743.710270134843,0.0
rangeland-may-2~+00-19-00,2731.978950029017,0.0
rangeland-may-2~+00-20-00,2729.013017161813,0.0
rangeland-may-2~+00-21-00,2734.638833154403,0.0
rangeland-may-2~+00-22-00,2741.185294474843,0.0
rangeland-may-2~+00-23-00,2750.8598161000496,0.0
rangeland-may-2~+01-00-00,2688.154625185931,0.0
rangeland-may-2~+01-01-00,2459.5680153146795,0.0
rangeland-may-2~+01-02-00,2136.814722479763,0.0
rangeland-may-2~+01-03-00,1920.9838049488685,0.0
rangeland-may-2~+01-04-00,1648.6666101419721,0.0
rangeland-may-2~+01-05-00,1296.7581260716672,0.0
rangeland-may-2~+01-06-00,1034.6693237298853,0.0
rangeland-may-2~+01-07-00,1105.656754524544,0.0
rangeland-may-2~+01-08-00,1237.9269242682951,0.0
rangeland-may-2~+01-09-00,1561.619080116015,0.0
rangeland-may-2~+01-10-00,1701.3298677601638,0.0
rangeland-may-2~+01-11-00,2074.8947171424225,0.0
rangeland-may-2~+01-12-00,2364.6471755265466,0.0
rangeland-may-2~+01-13-00,2587.326440680341,0.0
rangeland-may-2~+01-14-00,2657.794087746474,0.0
rangeland-may-2~+01-15-00,2761.6501697204267,0.0
rangeland-may-2~+01-16-00,2756.419933420173,0.0
rangeland-may-2~+01-17-00,2755.461462631113,0.0
rangeland-may-2~+01-18-00,2753.6826703804295,0.0
rangeland-may-2~+01-19-00,2738.1016717088264,0.0
rangeland-may-2~+01-20-00,2722.7148346662634,0.0
rangeland-may-2~+01-21-00,2715.7363728361224,0.0
rangeland-may-2~+01-22-00,2719.7483473907696,0.0
rangeland-may-2~+01-23-00,2725.930333892542,0.0
rangeland-may-2~+02-00-00,2735.5691026509157,0.0
rangeland-may-2~+02-01-00,2737.6395200718475,0.0
rangeland-may-2~+02-02-00,2745.721689291237,0.0
rangeland-may-2~+02-03-00,2734.220970795418,0.0
rangeland-may-2~+02-04-00,2547.5507064632507,0.0
rangeland-may-2~+02-05-00,2290.4411800224266,0.0
rangeland-may-2~+02-06-00,2206.3243403616543,0.0
rangeland-may-2~+02-07-00,2067.559909890541,0.0
rangeland-may-2~+02-08-00,2079.1401271049535,0.0
rangeland-may-2~+02-09-00,2081.6283359926397,0.0
rangeland-may-2~+02-10-00,2121.0796270480505,0.0
rangeland-may-2~+02-11-00,2382.3763596392646,0.0
rangeland-may-2~+02-12-00,2636.3681957889767,0.0
rangeland-may-2~+02-13-00,2646.5113221232714,0.0
rangeland-may-2~+02-14-00,2755.7154039280244,0.0
rangeland-may-2~+02-15-00,2743.3100549384358,0.0
rangeland-may-2~+02-16-00,2743.992793182554,0.0
rangeland-may-2~+02-17-00,2743.6432767352926,0.0
rangeland-may-2~+02-18-00,2745.1083240199077,0.0
rangeland-may-2~+02-19-00,2740.488223932847,0.0
rangeland-may-2~+02-20-00,2741.8173426170915,0.0
rangeland-may-2~+02-21-00,2749.245225999263,0.0
rangeland-may-2~+02-22-00,2751.015972978551,0.0
rangeland-may-2~+02-23-00,2761.5061501474197,0.0
rangeland-may-2~+03-00-00,2744.0751223564184,0.0
rangeland-may-2~+03-01-00,2403.46655144391,0.0
rangeland-may-2~+03-02-00,2034.7310140525185,0.0
rangeland-may-2~+03-03-00,1669.4185637141668,0.0
rangeland-may-2~+03-04-00,1330.1281142023859,0.0
rangeland-may-2~+03-05-00,1016.9633001312611,0.0
rangeland-may-2~+03-06-00,637.7061824857936,0.0
rangeland-may-2~+03-07-00,379.50737655299974,0.0
rangeland-may-2~+03-08-00,377.79988666189246,0.0
rangeland-may-2~+03-09-00,378.06719079182494,0.0
rangeland-may-2~+03-10-00,372.2682098264411,0.0
rangeland-may-2~+03-11-00,550.7312654844851,0.0
rangeland-may-2~+03-12-00,859.6028344081835,0.0
rangeland-may-2~+03-13-00,1225.9153629332232,0.0
rangeland-may-2~+03-14-00,1589.0363501170473,0.0
rangeland-may-2~+03-15-00,1955.838940363617,0.0
rangeland-may-2~+03-16-00,2331.2073348581716,0.0
rangeland-may-2~+03-17-00,2682.850744711477,0.0
rangeland-may-2~+03-18-00,2739.1724099088015,0.0
rangeland-may-2~+03-19-00,2745.740772328981,0.0
rangeland-may-2~+03-20-00,2756.933481013843,0.0
rangeland-may-2~+03-21-00,2764.693206288104,0.0
rangeland-may-2~+03-22-00,2764.1747742911416,0.0
rangeland-may-2~+03-23-00,2760.358797075068,0.0
rangeland-may-2~+04-00-00,2515.7141630133856,0.0
