trace,op_ems,emb_ems
rangeland-oct-3,2611.85844410924,0.0
rangeland-oct-3~+00-01-00,2517.2094594432738,0.0
rangeland-oct-3~+00-02-00,2215.4911748363775,0.0
rangeland-oct-3~+00-03-00,1909.7339367175136,0.0
rangeland-oct-3~+00-04-00,1605.5821058784381,0.0
rangeland-oct-3~+00-05-00,1278.8876729114068,0.0
rangeland-oct-3~+00-06-00,944.1880977954352,0.0
rangeland-oct-3~+00-07-00,613.9294849555328,0.0
rangeland-oct-3~+00-08-00,499.9909390150565,0.0
rangeland-oct-3~+00-09-00,501.2670310694718,0.0
rangeland-oct-3~+00-10-00,801.2464555217537,0.0
rangeland-oct-3~+00-11-00,1114.6831221312289,0.0
rangeland-oct-3~+00-12-00,1447.9834109527617,0.0
rangeland-oct-3~+00-13-00,1777.43165836539,0.0
rangeland-oct-3~+00-14-00,2089.3800904839495,0.0
rangeland-oct-3~+00-15-00,2402.542521934618,0.0
rangeland-oct-3~+00-16-00,2628.2620367053532,0.0
rangeland-oct-3~+00-17-00,2613.7566584310925,0.0
rangeland-oct-3~+00-18-00,2612.5501957695215,0.0
rangeland-oct-3~+00-19-00,2603.6376189750495,0.0
rangeland-oct-3~+00-20-00,2598.499305377589,0.0
rangeland-oct-3~+00-21-00,2594.300011007831,0.0
rangeland-oct-3~+00-22-00,2591.638212573492,0.0
rangeland-oct-3~+00-23-00,2596.7991716142774,0.0
rangeland-oct-3~+01-00-00,2611.1448639837413,0.0
rangeland-oct-3~+01-01-00,2618.3386656571206,0.0
rangeland-oct-3~+01-02-00,2585.1285128959803,0.0
rangeland-oct-3~+01-03-00,2486.378857229125,0.0
rangeland-oct-3~+01-04-00,2461.3723944309854,0.0
rangeland-oct-3~+01-05-00,2468.2722698349835,0.0
rangeland-oct-3~+01-06-00,2387.378832620858,0.0
rangeland-oct-3~+01-07-00,2269.5472157698155,0.0
rangeland-oct-3~+01-08-00,2074.50375810976,0.0
rangeland-oct-3~+01-09-00,2006.84961029476,0.0
rangeland-oct-3~+01-10-00,2132.0832922137192,0.0
rangeland-oct-3~+01-11-00,2128.765956742198,0.0
rangeland-oct-3~+01-12-00,2127.255166442442,0.0
rangeland-oct-3~+01-13-00,2247.044305895089,0.0
rangeland-oct-3~+01-14-00,2374.5215303308523,0.0
rangeland-oct-3~+01-15-00,2567.54523796371,0.0
rangeland-oct-3~+01-16-00,2615.396083344372,0.0
rangeland-oct-3~+01-17-00,2609.5989406166545,0.0
rangeland-oct-3~+01-18-00,2600.376162291185,0.0
rangeland-oct-3~+01-19-00,2592.0079458965993,0.0
rangeland-oct-3~+01-20-00,2589.3407190863563,0.0
rangeland-oct-3~+01-21-00,2592.498746906751,0.0
rangeland-oct-3~+01-22-00,2594.934582737164,0.0
rangeland-oct-3~+01-23-00,2599.3175833729947,0.0
rangeland-oct-3~+02-00-00,2612.7935639505886,0.0
rangeland-oct-3~+02-01-00,2616.098030887014,0.0
rangeland-oct-3~+02-02-00,2465.8641242437807,0.0
rangeland-oct-3~+02-03-00,2356.1957734504103,0.0
rangeland-oct-3~+02-04-00,2286.111407771046,0.0
rangeland-oct-3~+02-05-00,2283.2536565263986,0.0
rangeland-oct-3~+02-06-00,2285.4680434739275,0.0
rangeland-oct-3~+02-07-00,2287.4895999034707,0.0
rangeland-oct-3~+02-08-00,2378.9541424047247,0.0
rangeland-oct-3~+02-09-00,2555.5826445766825,0.0
rangeland-oct-3~+02-10-00,2611.146995515238,0.0
rangeland-oct-3~+02-11-00,2680.6497487643946,0.0
rangeland-oct-3~+02-12-00,2675.5736711867876,0.0
rangeland-oct-3~+02-13-00,2666.626341000103,0.0
rangeland-oct-3~+02-14-00,2646.51289502989,0.0
rangeland-oct-3~+02-15-00,2630.1390081737118,0.0
rangeland-oct-3~+02-16-00,2623.247586485832,0.0
rangeland-oct-3~+02-17-00,2615.605576016669,0.0
rangeland-oct-3~+02-18-00,2599.39469509777,0.0
rangeland-oct-3~+02-19-00,2583.237205446764,0.0
rangeland-oct-3~+02-20-00,2574.182620029402,0.0
rangeland-oct-3~+02-21-00,2567.795943446733,0.0
rangeland-oct-3~+02-22-00,2564.797684472077,0.0
rangeland-oct-3~+02-23-00,2564.775894431332,0.0
rangeland-oct-3~+03-00-00,2576.9079480686673,0.0
rangeland-oct-3~+03-01-00,2541.548446795159,0.0
rangeland-oct-3~+03-02-00,2216.122749650058,0.0
rangeland-oct-3~+03-03-00,1881.594470295541,0.0
rangeland-oct-3~+03-04-00,1543.1074109295932,0.0
rangeland-oct-3~+03-05-00,1198.214567655566,0.0
rangeland-oct-3~+03-06-00,851.4232643012667,0.0
rangeland-oct-3~+03-07-00,493.89447449472414,0.0
rangeland-oct-3~+03-08-00,296.17787097482324,0.0
rangeland-oct-3~+03-09-00,299.8520922730128,0.0
rangeland-oct-3~+03-10-00,564.0866823439665,0.0
rangeland-oct-3~+03-11-00,907.787439150446,0.0
rangeland-oct-3~+03-12-00,1250.8427198821487,0.0
rangeland-oct-3~+03-13-00,1597.0808342397756,0.0
rangeland-oct-3~+03-14-00,1943.688141860828,0.0
rangeland-oct-3~+03-15-00,2292.430150280757,0.0
rangeland-oct-3~+03-16-00,2612.0977779119435,0.0
rangeland-oct-3~+03-17-00,2604.003467194413,0.0
rangeland-oct-3~+03-18-00,2599.4497157091646,0.0
rangeland-oct-3~+03-19-00,2586.5735420401816,0.0
rangeland-oct-3~+03-20-00,2578.2374846794005,0.0
rangeland-oct-3~+03-21-00,2572.3765848234953,0.0
rangeland-oct-3~+03-22-00,2568.370342546071,0.0
rangeland-oct-3~+03-23-00,2568.9388602997296,0.0
rangeland-oct-3~+04-00-00,2581.7936778254516,0.0
