trace,op_ems,emb_ems
rnaseq-nov-3,1073.7143751631802,0.0
rnaseq-nov-3~+00-01-00,1085.0556488399293,0.0
rnaseq-nov-3~+00-02-00,1094.371298018812,0.0
rnaseq-nov-3~+00-03-00,1094.9813996294604,0.0
rnaseq-nov-3~+00-04-00,1011.7434760474196,0.0
rnaseq-nov-3~+00-05-00,796.6313821692497,0.0
rnaseq-nov-3~+00-06-00,557.6626614051711,0.0
rnaseq-nov-3~+00-07-00,443.45956000819274,0.0
rnaseq-nov-3~+00-08-00,429.08543120623546,0.0
rnaseq-nov-3~+00-09-00,423.77128350551243,0.0
rnaseq-nov-3~+00-10-00,426.00398435531076,0.0
rnaseq-nov-3~+00-11-00,429.253383278245,0.0
rnaseq-nov-3~+00-12-00,478.09650969794563,0.0
rnaseq-nov-3~+00-13-00,612.4903194529688,0.0
rnaseq-nov-3~+00-14-00,796.9115338356714,0.0
rnaseq-nov-3~+00-15-00,918.8609037456738,0.0
rnaseq-nov-3~+00-16-00,940.2909897266852,0.0
rnaseq-nov-3~+00-17-00,930.4162298705869,0.0
rnaseq-nov-3~+00-18-00,924.4280823754249,0.0
rnaseq-nov-3~+00-19-00,926.9107879959295,0.0
rnaseq-nov-3~+00-20-00,926.4921685581048,0.0
rnaseq-nov-3~+00-21-00,913.4912097280621,0.0
rnaseq-nov-3~+00-22-00,890.9262980450994,0.0
rnaseq-nov-3~+00-23-00,878.9334038911035,0.0
rnaseq-nov-3~+01-00-00,874.9298375962126,0.0
rnaseq-nov-3~+01-01-00,879.5106781518268,0.0
rnaseq-nov-3~+01-02-00,890.3688328798492,0.0
rnaseq-nov-3~+01-03-00,907.752539437691,0.0
rnaseq-nov-3~+01-04-00,853.1790628443189,0.0
rnaseq-nov-3~+01-05-00,681.0795071750154,0.0
rnaseq-nov-3~+01-06-00,472.09242436267436,0.0
rnaseq-nov-3~+01-07-00,376.91446846937015,0.0
rnaseq-nov-3~+01-08-00,363.42930596850084,0.0
rnaseq-nov-3~+01-09-00,350.9434355085475,0.0
rnaseq-nov-3~+01-10-00,344.75802743307486,0.0
rnaseq-nov-3~+01-11-00,364.7541671520378,0.0
rnaseq-nov-3~+01-12-00,435.6407717594474,0.0
rnaseq-nov-3~+01-13-00,627.7666200447751,0.0
rnaseq-nov-3~+01-14-00,879.8775486796428,0.0
rnaseq-nov-3~+01-15-00,1062.2602512272604,0.0
rnaseq-nov-3~+01-16-00,1091.8924376627417,0.0
rnaseq-nov-3~+01-17-00,1084.3874156822003,0.0
rnaseq-nov-3~+01-18-00,1078.9408453707283,0.0
rnaseq-nov-3~+01-19-00,1085.4723073612583,0.0
rnaseq-nov-3~+01-20-00,1094.7778513230169,0.0
rnaseq-nov-3~+01-21-00,1088.9379221940762,0.0
rnaseq-nov-3~+01-22-00,1066.9867972311154,0.0
rnaseq-nov-3~+01-23-00,1045.6025532227206,0.0
rnaseq-nov-3~+02-00-00,1031.5005314290934,0.0
rnaseq-nov-3~+02-01-00,1024.5205036583318,0.0
rnaseq-nov-3~+02-02-00,1030.3708529023406,0.0
rnaseq-nov-3~+02-03-00,1040.7443964591153,0.0
rnaseq-nov-3~+02-04-00,988.250693434418,0.0
rnaseq-nov-3~+02-05-00,806.7152735841253,0.0
rnaseq-nov-3~+02-06-00,572.8684692954836,0.0
rnaseq-nov-3~+02-07-00,433.99723289247027,0.0
rnaseq-nov-3~+02-08-00,408.70349014077186,0.0
rnaseq-nov-3~+02-09-00,399.7379268941782,0.0
rnaseq-nov-3~+02-10-00,391.51951227216585,0.0
rnaseq-nov-3~+02-11-00,395.7194315852517,0.0
rnaseq-nov-3~+02-12-00,451.21584457084185,0.0
rnaseq-nov-3~+02-13-00,615.8155674475959,0.0
rnaseq-nov-3~+02-14-00,836.8145982886604,0.0
rnaseq-nov-3~+02-15-00,994.5864640822713,0.0
rnaseq-nov-3~+02-16-00,1026.3997305127575,0.0
rnaseq-nov-3~+02-17-00,1034.3425949851046,0.0
rnaseq-nov-3~+02-18-00,1041.8492604409714,0.0
rnaseq-nov-3~+02-19-00,1045.7825540239135,0.0
rnaseq-nov-3~+02-20-00,1043.4171446663706,0.0
rnaseq-nov-3~+02-21-00,1041.6864251766906,0.0
rnaseq-nov-3~+02-22-00,1038.3061427192306,0.0
rnaseq-nov-3~+02-23-00,1030.633629578877,0.0
rnaseq-nov-3~+03-00-00,1023.5869082993888,0.0
rnaseq-nov-3~+03-01-00,1028.4865930842514,0.0
rnaseq-nov-3~+03-02-00,1031.5255829049229,0.0
rnaseq-nov-3~+03-03-00,1031.4285355758923,0.0
rnaseq-nov-3~+03-04-00,960.8163093046478,0.0
rnaseq-nov-3~+03-05-00,772.7422586201969,0.0
rnaseq-nov-3~+03-06-00,537.5920198059576,0.0
rnaseq-nov-3~+03-07-00,402.22577943740447,0.0
rnaseq-nov-3~+03-08-00,357.26197041603757,0.0
rnaseq-nov-3~+03-09-00,340.9131028639554,0.0
rnaseq-nov-3~+03-10-00,338.1045383758942,0.0
rnaseq-nov-3~+03-11-00,354.756962176231,0.0
rnaseq-nov-3~+03-12-00,428.53164541434035,0.0
rnaseq-nov-3~+03-13-00,610.6096545271114,0.0
rnaseq-nov-3~+03-14-00,819.7131653378896,0.0
rnaseq-nov-3~+03-15-00,933.0821076964837,0.0
rnaseq-nov-3~+03-16-00,930.4742169601664,0.0
rnaseq-nov-3~+03-17-00,924.0251965220341,0.0
rnaseq-nov-3~+03-18-00,924.1685260672232,0.0
rnaseq-nov-3~+03-19-00,917.0820400564135,0.0
rnaseq-nov-3~+03-20-00,913.4148137529442,0.0
rnaseq-nov-3~+03-21-00,928.0835834638892,0.0
rnaseq-nov-3~+03-22-00,933.0032970864187,0.0
rnaseq-nov-3~+03-23-00,906.7526776692509,0.0
rnaseq-nov-3~+04-00-00,875.0749260341605,0.0
