trace,op_ems,emb_ems
sarek-nov-3,2087.5869868953296,0.0
sarek-nov-3~+00-01-00,2084.6565620764286,0.0
sarek-nov-3~+00-02-00,1959.6669210116459,0.0
sarek-nov-3~+00-03-00,1754.7770754211238,0.0
sarek-nov-3~+00-04-00,1525.1570020340182,0.0
sarek-nov-3~+00-05-00,1239.0505221997316,0.0
sarek-nov-3~+00-06-00,971.1066029631845,0.0
sarek-nov-3~+00-07-00,837.8740949638022,0.0
sarek-nov-3~+00-08-00,825.1112828667215,0.0
sarek-nov-3~+00-09-00,830.4109667773793,0.0
sarek-nov-3~+00-10-00,907.0612367343367,0.0
sarek-nov-3~+00-11-00,1057.3944529884413,0.0
sarek-nov-3~+00-12-00,1239.5148149006466,0.0
sarek-nov-3~+00-13-00,1440.7910413496943,0.0
sarek-nov-3~+00-14-00,1645.7633795353206,0.0
sarek-nov-3~+00-15-00,1775.2657340493179,0.0
sarek-nov-3~+00-16-00,1798.139140285774,0.0
sarek-nov-3~+00-17-00,1791.8105378409814,0.0
sarek-nov-3~+00-18-00,1777.4687146123827,0.0
sarek-nov-3~+00-19-00,1764.8645313467478,0.0
sarek-nov-3~+00-20-00,1749.5188959477937,0.0
sarek-nov-3~+00-21-00,1729.5160460069064,0.0
sarek-nov-3~+00-22-00,1703.8116645060304,0.0
sarek-nov-3~+00-23-00,1697.8401596953818,0.0
sarek-nov-3~+01-00-00,1703.920963530484,0.0
sarek-nov-3~+01-01-00,1714.721564140173,0.0
sarek-nov-3~+01-02-00,1621.2593086817876,0.0
sarek-nov-3~+01-03-00,1466.3793492109455,0.0
sarek-nov-3~+01-04-00,1286.7353221961764,0.0
sarek-nov-3~+01-05-00,1059.9599888499909,0.0
sarek-nov-3~+01-06-00,817.1521493710436,0.0
sarek-nov-3~+01-07-00,701.590940586673,0.0
sarek-nov-3~+01-08-00,688.5690391098749,0.0
sarek-nov-3~+01-09-00,708.1040084656975,0.0
sarek-nov-3~+01-10-00,796.6283028444823,0.0
sarek-nov-3~+01-11-00,1030.9201039833106,0.0
sarek-nov-3~+01-12-00,1286.1666490092612,0.0
sarek-nov-3~+01-13-00,1580.1288403564836,0.0
sarek-nov-3~+01-14-00,1861.2977326332875,0.0
sarek-nov-3~+01-15-00,2059.624381028585,0.0
sarek-nov-3~+01-16-00,2093.846111588702,0.0
sarek-nov-3~+01-17-00,2095.3587347234793,0.0
sarek-nov-3~+01-18-00,2090.5757295257404,0.0
sarek-nov-3~+01-19-00,2084.620636625542,0.0
sarek-nov-3~+01-20-00,2076.945537011476,0.0
sarek-nov-3~+01-21-00,2055.6375866448334,0.0
sarek-nov-3~+01-22-00,2022.9070885663948,0.0
sarek-nov-3~+01-23-00,1997.5539324028632,0.0
sarek-nov-3~+02-00-00,1991.4940336271643,0.0
sarek-nov-3~+02-01-00,1981.3890944364766,0.0
sarek-nov-3~+02-02-00,1888.7191406831935,0.0
sarek-nov-3~+02-03-00,1707.3186161528986,0.0
sarek-nov-3~+02-04-00,1499.3578556723974,0.0
sarek-nov-3~+02-05-00,1237.8692933715788,0.0
sarek-nov-3~+02-06-00,969.8180732181424,0.0
sarek-nov-3~+02-07-00,804.2359521854296,0.0
sarek-nov-3~+02-08-00,772.2482722369803,0.0
sarek-nov-3~+02-09-00,780.3709671332149,0.0
sarek-nov-3~+02-10-00,853.1281319917589,0.0
sarek-nov-3~+02-11-00,1041.7436640067056,0.0
sarek-nov-3~+02-12-00,1256.34656253086,0.0
sarek-nov-3~+02-13-00,1511.0974795045329,0.0
sarek-nov-3~+02-14-00,1766.2676868066828,0.0
sarek-nov-3~+02-15-00,1950.4069594625014,0.0
sarek-nov-3~+02-16-00,1992.0958712871811,0.0
sarek-nov-3~+02-17-00,2000.6834045085834,0.0
sarek-nov-3~+02-18-00,2006.1947530442385,0.0
sarek-nov-3~+02-19-00,2011.7532211649718,0.0
sarek-nov-3~+02-20-00,2001.4663388137715,0.0
sarek-nov-3~+02-21-00,1993.697686639112,0.0
sarek-nov-3~+02-22-00,1989.875607210164,0.0
sarek-nov-3~+02-23-00,1985.0926480666142,0.0
sarek-nov-3~+03-00-00,1977.9963050409938,0.0
sarek-nov-3~+03-01-00,1973.5991570963786,0.0
sarek-nov-3~+03-02-00,1860.0012467594986,0.0
sarek-nov-3~+03-03-00,1671.2667432564854,0.0
sarek-nov-3~+03-04-00,1442.5099807833299,0.0
sarek-nov-3~+03-05-00,1167.124941325701,0.0
sarek-nov-3~+03-06-00,882.3472922566626,0.0
sarek-nov-3~+03-07-00,724.1150366825103,0.0
sarek-nov-3~+03-08-00,675.7904854942631,0.0
sarek-nov-3~+03-09-00,686.9649323097387,0.0
sarek-nov-3~+03-10-00,786.5764766046086,0.0
sarek-nov-3~+03-11-00,990.1632814459028,0.0
sarek-nov-3~+03-12-00,1199.4495779042668,0.0
sarek-nov-3~+03-13-00,1438.3010307382087,0.0
sarek-nov-3~+03-14-00,1662.4858813948285,0.0
sarek-nov-3~+03-15-00,1790.8407690435843,0.0
sarek-nov-3~+03-16-00,1784.6905088956414,0.0
sarek-nov-3~+03-17-00,1770.1744827377554,0.0
sarek-nov-3~+03-18-00,1776.151359985282,0.0
sarek-nov-3~+03-19-00,1783.087678838172,0.0
sarek-nov-3~+03-20-00,1765.177051772739,0.0
sarek-nov-3~+03-21-00,1753.943827463825,0.0
sarek-nov-3~+03-22-00,1747.4460763199274,0.0
sarek-nov-3~+03-23-00,1716.9562741915279,0.0
sarek-nov-3~+04-00-00,1677.442170360846,0.0
