trace,op_ems,emb_ems
mag-aug-1,8606.473136928089,0.0
mag-aug-1~+00-01-00,8607.361278111586,0.0
mag-aug-1~+00-02-00,8669.19794327522,0.0
mag-aug-1~+00-03-00,8724.181309424723,0.0
mag-aug-1~+00-04-00,8726.186401533645,0.0
mag-aug-1~+00-05-00,8953.796167151413,0.0
mag-aug-1~+00-06-00,9198.679111126568,0.0
mag-aug-1~+00-07-00,9192.877998521068,0.0
mag-aug-1~+00-08-00,9208.085212650622,0.0
mag-aug-1~+00-09-00,9218.18920481129,0.0
mag-aug-1~+00-10-00,9253.07981962226,0.0
mag-aug-1~+00-11-00,9304.105091362671,0.0
mag-aug-1~+00-12-00,9283.863294442468,0.0
mag-aug-1~+00-13-00,9180.976436773306,0.0
mag-aug-1~+00-14-00,9105.019762866352,0.0
mag-aug-1~+00-15-00,9068.139495723159,0.0
mag-aug-1~+00-16-00,8826.61929363123,0.0
mag-aug-1~+00-17-00,8845.543158333181,0.0
mag-aug-1~+00-18-00,8858.80464210933,0.0
mag-aug-1~+00-19-00,8758.107982261687,0.0
mag-aug-1~+00-20-00,8776.676728300212,0.0
mag-aug-1~+00-21-00,8831.896887378549,0.0
mag-aug-1~+00-22-00,8728.300848549472,0.0
mag-aug-1~+00-23-00,8654.453714489504,0.0
mag-aug-1~+01-00-00,8679.202797085534,0.0
