trace,op_ems,emb_ems
mag-dec-1,3409.705418438363,0.0
mag-dec-1~+00-01-00,3426.3177725221417,0.0
mag-dec-1~+00-02-00,3447.165412691921,0.0
mag-dec-1~+00-03-00,3468.7156354646527,0.0
mag-dec-1~+00-04-00,3487.8849697419537,0.0
mag-dec-1~+00-05-00,3497.620756767067,0.0
mag-dec-1~+00-06-00,3509.9564641904653,0.0
mag-dec-1~+00-07-00,3528.9728775072053,0.0
mag-dec-1~+00-08-00,3561.106312707711,0.0
mag-dec-1~+00-09-00,3611.9634544280266,0.0
mag-dec-1~+00-10-00,3673.6439983159717,0.0
mag-dec-1~+00-11-00,3733.896591347193,0.0
mag-dec-1~+00-12-00,3788.5123785435458,0.0
mag-dec-1~+00-13-00,3838.798972865923,0.0
mag-dec-1~+00-14-00,3889.9576190725857,0.0
mag-dec-1~+00-15-00,3951.146283063951,0.0
mag-dec-1~+00-16-00,4029.07207520369,0.0
mag-dec-1~+00-17-00,4119.5488648714245,0.0
mag-dec-1~+00-18-00,4212.206670640255,0.0
mag-dec-1~+00-19-00,4306.622750651712,0.0
mag-dec-1~+00-20-00,4403.292262414094,0.0
mag-dec-1~+00-21-00,4494.32393754859,0.0
mag-dec-1~+00-22-00,4579.422972086077,0.0
mag-dec-1~+00-23-00,4671.263474350663,0.0
mag-dec-1~+01-00-00,4773.643094036255,0.0
