trace,op_ems,emb_ems
mag-nov-2,4744.655610958522,0.0
mag-nov-2~+00-01-00,4792.093709348292,0.0
mag-nov-2~+00-02-00,4850.41935882994,0.0
mag-nov-2~+00-03-00,4905.872823322993,0.0
mag-nov-2~+00-04-00,4962.713906354827,0.0
mag-nov-2~+00-05-00,5018.6286957828825,0.0
mag-nov-2~+00-06-00,5076.39169250596,0.0
mag-nov-2~+00-07-00,5141.4078868301785,0.0
mag-nov-2~+00-08-00,5192.810195045098,0.0
mag-nov-2~+00-09-00,5225.1818857967355,0.0
mag-nov-2~+00-10-00,5247.649209638598,0.0
mag-nov-2~+00-11-00,5258.185780889806,0.0
mag-nov-2~+00-12-00,5256.375896862657,0.0
mag-nov-2~+00-13-00,5241.910426630011,0.0
mag-nov-2~+00-14-00,5211.858039457498,0.0
mag-nov-2~+00-15-00,5179.454270918988,0.0
mag-nov-2~+00-16-00,5152.392388430737,0.0
mag-nov-2~+00-17-00,5139.192453160944,0.0
mag-nov-2~+00-18-00,5138.972879061299,0.0
mag-nov-2~+00-19-00,5141.014489397608,0.0
mag-nov-2~+00-20-00,5144.624965562099,0.0
mag-nov-2~+00-21-00,5152.897414982596,0.0
mag-nov-2~+00-22-00,5166.886185677936,0.0
mag-nov-2~+00-23-00,5192.5521285322075,0.0
mag-nov-2~+01-00-00,5236.695110689474,0.0
