trace,op_ems,emb_ems
sarek-dec-2,11845.783525479508,181.81188075481478
sarek-dec-2~+00-01-00,11819.978201122016,181.81188075481478
sarek-dec-2~+00-02-00,11860.225332406235,181.81188075481478
sarek-dec-2~+00-03-00,11941.741155245603,181.81188075481478
sarek-dec-2~+00-04-00,12068.570744461731,181.81188075481478
sarek-dec-2~+00-05-00,12191.269836737369,181.81188075481478
sarek-dec-2~+00-06-00,12325.091097449345,181.81188075481478
sarek-dec-2~+00-07-00,12439.48146818533,181.81188075481478
sarek-dec-2~+00-08-00,12570.217829031595,181.81188075481478
sarek-dec-2~+00-09-00,12698.532413609382,181.81188075481478
sarek-dec-2~+00-10-00,12788.535341663715,181.81188075481478
sarek-dec-2~+00-11-00,12813.454088852339,181.81188075481478
sarek-dec-2~+00-12-00,12784.366027086877,181.81188075481478
sarek-dec-2~+00-13-00,12684.13995968135,181.81188075481478
sarek-dec-2~+00-14-00,12634.573375206024,181.81188075481478
sarek-dec-2~+00-15-00,12681.639543659994,181.81188075481478
sarek-dec-2~+00-16-00,12889.31514104121,181.81188075481478
sarek-dec-2~+00-17-00,13303.629069553539,181.81188075481478
sarek-dec-2~+00-18-00,13836.58621431428,181.81188075481478
sarek-dec-2~+00-19-00,14309.04369581113,181.81188075481478
sarek-dec-2~+00-20-00,14679.2959518012,181.81188075481478
sarek-dec-2~+00-21-00,14999.034057296276,181.81188075481478
sarek-dec-2~+00-22-00,15258.203319864404,181.81188075481478
sarek-dec-2~+00-23-00,15482.722158410703,181.81188075481478
sarek-dec-2~+01-00-00,15732.223909999342,181.81188075481478
