trace,op_ems,emb_ems
nanoseq-jan-2,125.07916364200176,0.0
nanoseq-jan-2~+00-01-00,127.31172173360244,0.0
nanoseq-jan-2~+00-02-00,131.00620863814038,0.0
nanoseq-jan-2~+00-03-00,135.29466534543525,0.0
nanoseq-jan-2~+00-04-00,139.23236824239646,0.0
nanoseq-jan-2~+00-05-00,142.08609146744067,0.0
nanoseq-jan-2~+00-06-00,144.0323013419936,0.0
nanoseq-jan-2~+00-07-00,145.6453759149972,0.0
nanoseq-jan-2~+00-08-00,146.73955355764173,0.0
nanoseq-jan-2~+00-09-00,147.33936852426132,0.0
nanoseq-jan-2~+00-10-00,147.7520785781131,0.0
nanoseq-jan-2~+00-11-00,148.02693454829324,0.0
nanoseq-jan-2~+00-12-00,148.15208163364994,0.0
nanoseq-jan-2~+00-13-00,148.71358190453802,0.0
nanoseq-jan-2~+00-14-00,149.87761550451467,0.0
nanoseq-jan-2~+00-15-00,152.14586082078014,0.0
nanoseq-jan-2~+00-16-00,155.3369246530982,0.0
nanoseq-jan-2~+00-17-00,159.0632386218399,0.0
nanoseq-jan-2~+00-18-00,162.5637030079107,0.0
nanoseq-jan-2~+00-19-00,164.38796348201743,0.0
nanoseq-jan-2~+00-20-00,163.3207611718491,0.0
nanoseq-jan-2~+00-21-00,160.7577997213039,0.0
nanoseq-jan-2~+00-22-00,157.49958442464967,0.0
nanoseq-jan-2~+00-23-00,154.96426449214954,0.0
nanoseq-jan-2~+01-00-00,155.58272107876667,0.0
nanoseq-jan-2~+01-01-00,158.5355794820615,0.0
nanoseq-jan-2~+01-02-00,161.35720447160517,0.0
nanoseq-jan-2~+01-03-00,163.74865019686735,0.0
nanoseq-jan-2~+01-04-00,165.78891387756738,0.0
nanoseq-jan-2~+01-05-00,166.49491910338915,0.0
nanoseq-jan-2~+01-06-00,167.66235229591007,0.0
nanoseq-jan-2~+01-07-00,170.23637593652614,0.0
nanoseq-jan-2~+01-08-00,172.48093526417176,0.0
nanoseq-jan-2~+01-09-00,173.776862469239,0.0
nanoseq-jan-2~+01-10-00,174.23884963859484,0.0
nanoseq-jan-2~+01-11-00,173.88915393650706,0.0
nanoseq-jan-2~+01-12-00,173.4237573963012,0.0
nanoseq-jan-2~+01-13-00,173.1511354731312,0.0
nanoseq-jan-2~+01-14-00,173.15529860032598,0.0
nanoseq-jan-2~+01-15-00,173.41393622322084,0.0
nanoseq-jan-2~+01-16-00,173.57593410539255,0.0
nanoseq-jan-2~+01-17-00,173.39481563500175,0.0
nanoseq-jan-2~+01-18-00,173.15371247201938,0.0
nanoseq-jan-2~+01-19-00,172.19782441289806,0.0
nanoseq-jan-2~+01-20-00,169.98759136605952,0.0
nanoseq-jan-2~+01-21-00,167.8579490894678,0.0
nanoseq-jan-2~+01-22-00,166.58808075407018,0.0
nanoseq-jan-2~+01-23-00,166.5015266229211,0.0
nanoseq-jan-2~+02-00-00,168.41184176762812,0.0
nanoseq-jan-2~+02-01-00,172.19265138210145,0.0
nanoseq-jan-2~+02-02-00,176.53907019189586,0.0
nanoseq-jan-2~+02-03-00,180.43184157785055,0.0
nanoseq-jan-2~+02-04-00,183.39687506123983,0.0
nanoseq-jan-2~+02-05-00,185.5341085228835,0.0
nanoseq-jan-2~+02-06-00,187.6036696600142,0.0
nanoseq-jan-2~+02-07-00,190.26119104025622,0.0
nanoseq-jan-2~+02-08-00,192.41573207386912,0.0
nanoseq-jan-2~+02-09-00,193.32336339125547,0.0
nanoseq-jan-2~+02-10-00,192.62842372767483,0.0
nanoseq-jan-2~+02-11-00,190.69164308651648,0.0
nanoseq-jan-2~+02-12-00,188.20022677356138,0.0
nanoseq-jan-2~+02-13-00,185.68391834627147,0.0
nanoseq-jan-2~+02-14-00,183.85526181602933,0.0
nanoseq-jan-2~+02-15-00,182.96309529292444,0.0
nanoseq-jan-2~+02-16-00,181.8891534313326,0.0
nanoseq-jan-2~+02-17-00,180.52004121375413,0.0
nanoseq-jan-2~+02-18-00,179.17670980424998,0.0
nanoseq-jan-2~+02-19-00,177.16510578352546,0.0
nanoseq-jan-2~+02-20-00,173.34115726134684,0.0
nanoseq-jan-2~+02-21-00,169.6870374105622,0.0
nanoseq-jan-2~+02-22-00,166.88998801252674,0.0
nanoseq-jan-2~+02-23-00,165.73348125692763,0.0
nanoseq-jan-2~+03-00-00,167.1467675835657,0.0
nanoseq-jan-2~+03-01-00,171.2148251866017,0.0
nanoseq-jan-2~+03-02-00,176.35691135881132,0.0
nanoseq-jan-2~+03-03-00,181.27368844707024,0.0
nanoseq-jan-2~+03-04-00,185.1150547081441,0.0
nanoseq-jan-2~+03-05-00,187.44852552665725,0.0
nanoseq-jan-2~+03-06-00,188.93872029546353,0.0
nanoseq-jan-2~+03-07-00,190.25302993546637,0.0
nanoseq-jan-2~+03-08-00,190.8273186091617,0.0
nanoseq-jan-2~+03-09-00,190.69476104758814,0.0
nanoseq-jan-2~+03-10-00,189.7329692157143,0.0
nanoseq-jan-2~+03-11-00,187.8548770360337,0.0
nanoseq-jan-2~+03-12-00,186.27109865177266,0.0
nanoseq-jan-2~+03-13-00,184.72370251205365,0.0
nanoseq-jan-2~+03-14-00,183.19753539467393,0.0
nanoseq-jan-2~+03-15-00,182.47721699030646,0.0
nanoseq-jan-2~+03-16-00,182.36287097477327,0.0
nanoseq-jan-2~+03-17-00,182.18850984159374,0.0
nanoseq-jan-2~+03-18-00,182.07072415839667,0.0
nanoseq-jan-2~+03-19-00,181.37994439361603,0.0
nanoseq-jan-2~+03-20-00,179.85035537640874,0.0
nanoseq-jan-2~+03-21-00,177.3300696188225,0.0
nanoseq-jan-2~+03-22-00,174.301845915505,0.0
nanoseq-jan-2~+03-23-00,171.87142231750607,0.0
nanoseq-jan-2~+04-00-00,170.6883417306248,0.0
