trace,op_ems,emb_ems
rangeland-may-2,679.8403330182748,0.0
rangeland-may-2~+00-01-00,720.1097482050168,0.0
rangeland-may-2~+00-02-00,812.0185649418879,0.0
rangeland-may-2~+00-03-00,932.3615150734323,0.0
rangeland-may-2~+00-04-00,1059.7242192226051,0.0
rangeland-may-2~+00-05-00,1171.7777048377875,0.0
rangeland-may-2~+00-06-00,1259.8707385492737,0.0
rangeland-may-2~+00-07-00,1313.4961481564706,0.0
rangeland-may-2~+00-08-00,1306.5504935101897,0.0
rangeland-may-2~+00-09-00,1241.4355587057767,0.0
rangeland-may-2~+00-10-00,1150.392699091738,0.0
rangeland-may-2~+00-11-00,1063.1555427101102,0.0
rangeland-may-2~+00-12-00,1004.051185090495,0.0
rangeland-may-2~+00-13-00,971.5183141385753,0.0
rangeland-may-2~+00-14-00,975.5213622521235,0.0
rangeland-may-2~+00-15-00,996.9419499354882,0.0
rangeland-may-2~+00-16-00,1002.6175120854032,0.0
rangeland-may-2~+00-17-00,973.6895183394519,0.0
rangeland-may-2~+00-18-00,914.9124180974013,0.0
rangeland-may-2~+00-19-00,839.0359325843353,0.0
rangeland-may-2~+00-20-00,758.7352405706858,0.0
rangeland-may-2~+00-21-00,665.8811908604845,0.0
rangeland-may-2~+00-22-00,584.8083468459388,0.0
rangeland-may-2~+00-23-00,538.7542833336317,0.0
rangeland-may-2~+01-00-00,532.0316002906407,0.0
rangeland-may-2~+01-01-00,557.739388816171,0.0
rangeland-may-2~+01-02-00,619.9266316260229,0.0
rangeland-may-2~+01-03-00,722.1446671982551,0.0
rangeland-may-2~+01-04-00,849.6162909987482,0.0
rangeland-may-2~+01-05-00,970.6348241026778,0.0
rangeland-may-2~+01-06-00,1069.5697262328029,0.0
rangeland-may-2~+01-07-00,1136.9903091644253,0.0
rangeland-may-2~+01-08-00,1178.887053188003,0.0
rangeland-may-2~+01-09-00,1191.891364134902,0.0
rangeland-may-2~+01-10-00,1166.879526165898,0.0
rangeland-may-2~+01-11-00,1127.3759343995132,0.0
rangeland-may-2~+01-12-00,1104.7662884235276,0.0
rangeland-may-2~+01-13-00,1111.270596699408,0.0
rangeland-may-2~+01-14-00,1141.367970227433,0.0
rangeland-may-2~+01-15-00,1170.446538845215,0.0
rangeland-may-2~+01-16-00,1179.768793561063,0.0
rangeland-may-2~+01-17-00,1162.7259376119164,0.0
rangeland-may-2~+01-18-00,1117.226355940313,0.0
rangeland-may-2~+01-19-00,1060.7651872810743,0.0
rangeland-may-2~+01-20-00,994.6672846357176,0.0
rangeland-may-2~+01-21-00,924.3436155586389,0.0
rangeland-may-2~+01-22-00,858.7345799782564,0.0
rangeland-may-2~+01-23-00,821.033640572628,0.0
rangeland-may-2~+02-00-00,826.1400127489555,0.0
rangeland-may-2~+02-01-00,876.0895587110879,0.0
rangeland-may-2~+02-02-00,943.4904237179139,0.0
rangeland-may-2~+02-03-00,1030.7107202096422,0.0
rangeland-may-2~+02-04-00,1128.2525119996749,0.0
rangeland-may-2~+02-05-00,1215.0075181491088,0.0
rangeland-may-2~+02-06-00,1280.9720223787035,0.0
rangeland-may-2~+02-07-00,1320.4914081856082,0.0
rangeland-may-2~+02-08-00,1328.637369136252,0.0
rangeland-may-2~+02-09-00,1317.6824715978732,0.0
rangeland-may-2~+02-10-00,1285.997245355627,0.0
rangeland-may-2~+02-11-00,1248.4424512338865,0.0
rangeland-may-2~+02-12-00,1229.4155836589339,0.0
rangeland-may-2~+02-13-00,1222.996231882667,0.0
rangeland-may-2~+02-14-00,1237.9444699427836,0.0
rangeland-may-2~+02-15-00,1256.1631205403448,0.0
rangeland-may-2~+02-16-00,1260.0801827380592,0.0
rangeland-may-2~+02-17-00,1234.271963369236,0.0
rangeland-may-2~+02-18-00,1191.8743780857715,0.0
rangeland-may-2~+02-19-00,1131.8173395175857,0.0
rangeland-may-2~+02-20-00,1057.8364434697407,0.0
rangeland-may-2~+02-21-00,971.6179079987267,0.0
rangeland-may-2~+02-22-00,903.0584609187492,0.0
rangeland-may-2~+02-23-00,865.5641224949163,0.0
rangeland-may-2~+03-00-00,869.930508197504,0.0
rangeland-may-2~+03-01-00,901.2098640782358,0.0
rangeland-may-2~+03-02-00,964.569782933834,0.0
rangeland-may-2~+03-03-00,1059.7022796002184,0.0
rangeland-may-2~+03-04-00,1164.76153644305,0.0
rangeland-may-2~+03-05-00,1262.9820444864245,0.0
rangeland-may-2~+03-06-00,1349.448811045304,0.0
rangeland-may-2~+03-07-00,1410.0719678181827,0.0
rangeland-may-2~+03-08-00,1435.372549525598,0.0
rangeland-may-2~+03-09-00,1424.0130711210575,0.0
rangeland-may-2~+03-10-00,1375.042088310983,0.0
rangeland-may-2~+03-11-00,1310.6685431347648,0.0
rangeland-may-2~+03-12-00,1240.9781801177232,0.0
rangeland-may-2~+03-13-00,1173.3518696854082,0.0
rangeland-may-2~+03-14-00,1144.4050356337732,0.0
rangeland-may-2~+03-15-00,1143.3401379077995,0.0
rangeland-may-2~+03-16-00,1137.6685012937087,0.0
rangeland-may-2~+03-17-00,1117.645394221248,0.0
rangeland-may-2~+03-18-00,1081.9045794091467,0.0
rangeland-may-2~+03-19-00,1038.617769112667,0.0
rangeland-may-2~+03-20-00,991.6995850052663,0.0
rangeland-may-2~+03-21-00,931.59386620963,0.0
rangeland-may-2~+03-22-00,880.5403792995324,0.0
rangeland-may-2~+03-23-00,857.8738672472429,0.0
rangeland-may-2~+04-00-00,869.4581754503911,0.0
