trace,op_ems,emb_ems
rangeland-oct-1,4627.975966639813,0.0
rangeland-oct-1~+00-01-00,4616.1214983213085,0.0
rangeland-oct-1~+00-02-00,4621.625231710055,0.0
rangeland-oct-1~+00-03-00,4630.882874512612,0.0
rangeland-oct-1~+00-04-00,4661.907809260847,0.0
rangeland-oct-1~+00-05-00,4696.370728461022,0.0
rangeland-oct-1~+00-06-00,4737.1115249571585,0.0
rangeland-oct-1~+00-07-00,4780.584342811315,0.0
rangeland-oct-1~+00-08-00,4836.5321478782735,0.0
rangeland-oct-1~+00-09-00,4882.083325510495,0.0
rangeland-oct-1~+00-10-00,4913.71645784087,0.0
rangeland-oct-1~+00-11-00,4916.446886629301,0.0
rangeland-oct-1~+00-12-00,4912.88149096429,0.0
rangeland-oct-1~+00-13-00,4900.3571588326495,0.0
rangeland-oct-1~+00-14-00,4881.937737772777,0.0
rangeland-oct-1~+00-15-00,4860.3697785586,0.0
rangeland-oct-1~+00-16-00,4848.497241247455,0.0
rangeland-oct-1~+00-17-00,4835.767067649511,0.0
rangeland-oct-1~+00-18-00,4808.420041647305,0.0
rangeland-oct-1~+00-19-00,4763.2382269550135,0.0
rangeland-oct-1~+00-20-00,4696.91591058897,0.0
rangeland-oct-1~+00-21-00,4628.9486266523245,0.0
rangeland-oct-1~+00-22-00,4562.515641864957,0.0
rangeland-oct-1~+00-23-00,4502.543980372994,0.0
rangeland-oct-1~+01-00-00,4461.13609225136,0.0
rangeland-oct-1~+01-01-00,4481.3246227468935,0.0
rangeland-oct-1~+01-02-00,4519.289884299478,0.0
rangeland-oct-1~+01-03-00,4575.390733716945,0.0
rangeland-oct-1~+01-04-00,4624.336538817224,0.0
rangeland-oct-1~+01-05-00,4640.700584690537,0.0
rangeland-oct-1~+01-06-00,4676.631602047873,0.0
rangeland-oct-1~+01-07-00,4694.63501583825,0.0
rangeland-oct-1~+01-08-00,4697.475697812588,0.0
rangeland-oct-1~+01-09-00,4701.044210419883,0.0
rangeland-oct-1~+01-10-00,4714.4832651986635,0.0
rangeland-oct-1~+01-11-00,4700.951026905896,0.0
rangeland-oct-1~+01-12-00,4572.786033331994,0.0
rangeland-oct-1~+01-13-00,4416.036725855812,0.0
rangeland-oct-1~+01-14-00,4310.850008277271,0.0
rangeland-oct-1~+01-15-00,4357.782411478915,0.0
rangeland-oct-1~+01-16-00,4409.578551184045,0.0
rangeland-oct-1~+01-17-00,4294.4523563863495,0.0
rangeland-oct-1~+01-18-00,4309.250193492154,0.0
rangeland-oct-1~+01-19-00,4019.998285700597,0.0
rangeland-oct-1~+01-20-00,3964.8008812020335,0.0
rangeland-oct-1~+01-21-00,3480.737692176851,0.0
rangeland-oct-1~+01-22-00,3168.4802405874075,0.0
rangeland-oct-1~+01-23-00,2933.0114257288587,0.0
rangeland-oct-1~+02-00-00,2938.9535315117587,0.0
