trace,op_ems,emb_ems
mag-oct-1,2470.1307449979286,0.0
mag-oct-1~+00-01-00,2438.028016100219,0.0
mag-oct-1~+00-02-00,2377.4297279865605,0.0
mag-oct-1~+00-03-00,2294.879041957225,0.0
mag-oct-1~+00-04-00,2207.3982898396903,0.0
mag-oct-1~+00-05-00,2119.8296184043006,0.0
mag-oct-1~+00-06-00,2034.6845248226741,0.0
mag-oct-1~+00-07-00,1957.7290790598586,0.0
mag-oct-1~+00-08-00,1877.640099513671,0.0
mag-oct-1~+00-09-00,1801.6577633522945,0.0
mag-oct-1~+00-10-00,1738.5344232140646,0.0
mag-oct-1~+00-11-00,1685.7941911144262,0.0
mag-oct-1~+00-12-00,1617.8714652069038,0.0
mag-oct-1~+00-13-00,1531.0753789073199,0.0
mag-oct-1~+00-14-00,1441.9299003884564,0.0
mag-oct-1~+00-15-00,1381.6374662478665,0.0
mag-oct-1~+00-16-00,1355.0352645746766,0.0
mag-oct-1~+00-17-00,1362.5425235451423,0.0
mag-oct-1~+00-18-00,1388.5570981244232,0.0
mag-oct-1~+00-19-00,1426.206252530032,0.0
mag-oct-1~+00-20-00,1470.4032197035926,0.0
mag-oct-1~+00-21-00,1498.4213765570898,0.0
mag-oct-1~+00-22-00,1494.6338763962042,0.0
mag-oct-1~+00-23-00,1450.6203835009583,0.0
mag-oct-1~+01-00-00,1367.7517676560935,0.0
