trace,op_ems,emb_ems
montage-dec-2,143.59447000601116,0.0
montage-dec-2~+00-01-00,133.68871185072325,0.0
montage-dec-2~+00-02-00,138.84781975165532,0.0
montage-dec-2~+00-03-00,143.7540883853781,0.0
montage-dec-2~+00-04-00,147.52617213428513,0.0
montage-dec-2~+00-05-00,150.46006993028004,0.0
montage-dec-2~+00-06-00,140.38868025178832,0.0
montage-dec-2~+00-07-00,140.81236631431267,0.0
montage-dec-2~+00-08-00,141.09196842880075,0.0
montage-dec-2~+00-09-00,153.98231284130264,0.0
montage-dec-2~+00-10-00,154.08882001315436,0.0
montage-dec-2~+00-11-00,154.08882001315436,0.0
montage-dec-2~+00-12-00,154.08882001315436,0.0
montage-dec-2~+00-13-00,154.08882001315436,0.0
montage-dec-2~+00-14-00,154.00657771527293,0.0
montage-dec-2~+00-15-00,139.69247602964953,0.0
montage-dec-2~+00-16-00,139.69247602964953,0.0
montage-dec-2~+00-17-00,143.8036418695404,0.0
montage-dec-2~+00-18-00,143.62926493297985,0.0
montage-dec-2~+00-19-00,143.6437401374744,0.0
montage-dec-2~+00-20-00,144.61672976818446,0.0
montage-dec-2~+00-21-00,141.13710593429295,0.0
montage-dec-2~+00-22-00,144.94445557376838,0.0
montage-dec-2~+00-23-00,145.56130519147862,0.0
montage-dec-2~+01-00-00,145.65302518176935,0.0
