trace,op_ems,emb_ems
chipseq-nov-3,806.969703249837,0.0
chipseq-nov-3~+00-01-00,786.3401856000577,0.0
chipseq-nov-3~+00-02-00,800.2833044761946,0.0
chipseq-nov-3~+00-03-00,858.0703732387085,0.0
chipseq-nov-3~+00-04-00,929.1956746486165,0.0
chipseq-nov-3~+00-05-00,1007.447043200604,0.0
chipseq-nov-3~+00-06-00,1063.9973458785703,0.0
chipseq-nov-3~+00-07-00,1085.6440590692052,0.0
chipseq-nov-3~+00-08-00,1088.884372868685,0.0
chipseq-nov-3~+00-09-00,1053.580708235975,0.0
chipseq-nov-3~+00-10-00,994.5005458093357,0.0
chipseq-nov-3~+00-11-00,888.241437700877,0.0
chipseq-nov-3~+00-12-00,769.1181748521448,0.0
chipseq-nov-3~+00-13-00,667.2171183240266,0.0
chipseq-nov-3~+00-14-00,603.9608278274727,0.0
chipseq-nov-3~+00-15-00,584.2756785514839,0.0
chipseq-nov-3~+00-16-00,586.9979263321868,0.0
chipseq-nov-3~+00-17-00,597.8266557432951,0.0
chipseq-nov-3~+00-18-00,646.0192210043058,0.0
chipseq-nov-3~+00-19-00,753.3099024215512,0.0
chipseq-nov-3~+00-20-00,880.5589548379746,0.0
chipseq-nov-3~+00-21-00,984.4156346467698,0.0
chipseq-nov-3~+00-22-00,1029.862311266062,0.0
chipseq-nov-3~+00-23-00,993.5859803656764,0.0
chipseq-nov-3~+01-00-00,945.4912830038387,0.0
chipseq-nov-3~+01-01-00,931.146478828243,0.0
chipseq-nov-3~+01-02-00,962.5111217262076,0.0
chipseq-nov-3~+01-03-00,1021.3758528735093,0.0
chipseq-nov-3~+01-04-00,1110.8354632413307,0.0
chipseq-nov-3~+01-05-00,1203.6380569161536,0.0
chipseq-nov-3~+01-06-00,1259.485336410024,0.0
chipseq-nov-3~+01-07-00,1287.9675536129057,0.0
chipseq-nov-3~+01-08-00,1277.5570336518074,0.0
chipseq-nov-3~+01-09-00,1253.017250504619,0.0
chipseq-nov-3~+01-10-00,1221.5359651719746,0.0
chipseq-nov-3~+01-11-00,1170.9365964453523,0.0
chipseq-nov-3~+01-12-00,1107.0785229892435,0.0
chipseq-nov-3~+01-13-00,1047.6286446889226,0.0
chipseq-nov-3~+01-14-00,992.8909917666006,0.0
chipseq-nov-3~+01-15-00,976.6128269827425,0.0
chipseq-nov-3~+01-16-00,972.786926486913,0.0
chipseq-nov-3~+01-17-00,998.9902843410675,0.0
chipseq-nov-3~+01-18-00,1066.1404973318972,0.0
chipseq-nov-3~+01-19-00,1179.3879108766566,0.0
chipseq-nov-3~+01-20-00,1258.8187539183652,0.0
chipseq-nov-3~+01-21-00,1290.2179411406964,0.0
chipseq-nov-3~+01-22-00,1244.5405838118531,0.0
chipseq-nov-3~+01-23-00,1167.8152568689086,0.0
chipseq-nov-3~+02-00-00,1110.8886390192947,0.0
chipseq-nov-3~+02-01-00,1086.601620379408,0.0
chipseq-nov-3~+02-02-00,1090.4566271043154,0.0
chipseq-nov-3~+02-03-00,1124.3297957184354,0.0
chipseq-nov-3~+02-04-00,1187.5573048945516,0.0
chipseq-nov-3~+02-05-00,1275.5470694362289,0.0
chipseq-nov-3~+02-06-00,1340.1204122842842,0.0
chipseq-nov-3~+02-07-00,1379.6347155029775,0.0
chipseq-nov-3~+02-08-00,1394.2367157423678,0.0
