trace,op_ems,emb_ems
rangeland-may-2,2387.4559809178872,0.0
rangeland-may-2~+00-01-00,2402.5822766188708,0.0
rangeland-may-2~+00-02-00,2421.4889414976933,0.0
rangeland-may-2~+00-03-00,2464.6504054482257,0.0
rangeland-may-2~+00-04-00,2508.8064432278984,0.0
rangeland-may-2~+00-05-00,2544.7410497521455,0.0
rangeland-may-2~+00-06-00,2571.3437412117983,0.0
rangeland-may-2~+00-07-00,2589.5138202244616,0.0
rangeland-may-2~+00-08-00,2605.615596958025,0.0
rangeland-may-2~+00-09-00,2604.728791409275,0.0
rangeland-may-2~+00-10-00,2560.9946733100355,0.0
rangeland-may-2~+00-11-00,2516.8995333655416,0.0
rangeland-may-2~+00-12-00,2474.2157817820766,0.0
rangeland-may-2~+00-13-00,2433.2424151134005,0.0
rangeland-may-2~+00-14-00,2402.0796829996502,0.0
rangeland-may-2~+00-15-00,2370.976776452124,0.0
rangeland-may-2~+00-16-00,2353.9885794151232,0.0
rangeland-may-2~+00-17-00,2353.9885794151232,0.0
rangeland-may-2~+00-18-00,2353.9885794151232,0.0
rangeland-may-2~+00-19-00,2353.9885794151232,0.0
rangeland-may-2~+00-20-00,2353.9885794151232,0.0
rangeland-may-2~+00-21-00,2353.9885794151232,0.0
rangeland-may-2~+00-22-00,2356.3545078913608,0.0
rangeland-may-2~+00-23-00,2371.4280031209437,0.0
rangeland-may-2~+01-00-00,2386.5494862409714,0.0
rangeland-may-2~+01-01-00,2401.6497500198157,0.0
rangeland-may-2~+01-02-00,2420.665322731636,0.0
rangeland-may-2~+01-03-00,2462.8539177579137,0.0
rangeland-may-2~+01-04-00,2500.291014194533,0.0
rangeland-may-2~+01-05-00,2535.7044404993726,0.0
rangeland-may-2~+01-06-00,2562.019546648101,0.0
rangeland-may-2~+01-07-00,2574.187179971292,0.0
rangeland-may-2~+01-08-00,2593.284100397927,0.0
rangeland-may-2~+01-09-00,2595.2097101784716,0.0
rangeland-may-2~+01-10-00,2553.078831271814,0.0
rangeland-may-2~+01-11-00,2515.67783113118,0.0
rangeland-may-2~+01-12-00,2473.673050144634,0.0
rangeland-may-2~+01-13-00,2432.3528570516337,0.0
rangeland-may-2~+01-14-00,2411.4566099606145,0.0
rangeland-may-2~+01-15-00,2371.460854047933,0.0
rangeland-may-2~+01-16-00,2385.731202945709,0.0
rangeland-may-2~+01-17-00,2403.0362707785334,0.0
rangeland-may-2~+01-18-00,2403.241484414857,0.0
rangeland-may-2~+01-19-00,2403.2498272500625,0.0
rangeland-may-2~+01-20-00,2403.2219951104903,0.0
rangeland-may-2~+01-21-00,2403.2894683289987,0.0
rangeland-may-2~+01-22-00,2405.682212852022,0.0
rangeland-may-2~+01-23-00,2366.6738277562076,0.0
rangeland-may-2~+02-00-00,2372.209143972023,0.0
rangeland-may-2~+02-01-00,2377.474734154856,0.0
rangeland-may-2~+02-02-00,2389.1888832530663,0.0
rangeland-may-2~+02-03-00,2422.094356074083,0.0
rangeland-may-2~+02-04-00,2471.7352163444675,0.0
rangeland-may-2~+02-05-00,2539.8398907404066,0.0
rangeland-may-2~+02-06-00,2576.288179112778,0.0
rangeland-may-2~+02-07-00,2603.2099342422785,0.0
rangeland-may-2~+02-08-00,2640.7005621431604,0.0
rangeland-may-2~+02-09-00,2655.5043910907752,0.0
rangeland-may-2~+02-10-00,2618.809680377883,0.0
rangeland-may-2~+02-11-00,2557.845321090276,0.0
rangeland-may-2~+02-12-00,2493.1206593972247,0.0
rangeland-may-2~+02-13-00,2449.8615985405245,0.0
rangeland-may-2~+02-14-00,2418.9074968771474,0.0
rangeland-may-2~+02-15-00,2377.142499018322,0.0
rangeland-may-2~+02-16-00,2353.9885794151232,0.0
rangeland-may-2~+02-17-00,2353.9885794151232,0.0
rangeland-may-2~+02-18-00,2353.9885794151232,0.0
rangeland-may-2~+02-19-00,2353.9885794151232,0.0
rangeland-may-2~+02-20-00,2353.9885794151232,0.0
rangeland-may-2~+02-21-00,2353.9885794151232,0.0
rangeland-may-2~+02-22-00,2356.26943717875,0.0
rangeland-may-2~+02-23-00,2370.7466176579587,0.0
rangeland-may-2~+03-00-00,2383.1455332076525,0.0
rangeland-may-2~+03-01-00,2383.36779717956,0.0
rangeland-may-2~+03-02-00,2388.4053423403984,0.0
rangeland-may-2~+03-03-00,2426.3687485389296,0.0
rangeland-may-2~+03-04-00,2464.690434419122,0.0
rangeland-may-2~+03-05-00,2498.1217601383664,0.0
rangeland-may-2~+03-06-00,2525.8055567284346,0.0
rangeland-may-2~+03-07-00,2555.973967471201,0.0
rangeland-may-2~+03-08-00,2587.12467251371,0.0
rangeland-may-2~+03-09-00,2598.9815999359703,0.0
rangeland-may-2~+03-10-00,2560.815065648876,0.0
rangeland-may-2~+03-11-00,2522.539355465062,0.0
rangeland-may-2~+03-12-00,2479.1987953289977,0.0
rangeland-may-2~+03-13-00,2437.3459903991497,0.0
rangeland-may-2~+03-14-00,2402.571973913737,0.0
rangeland-may-2~+03-15-00,2371.2511582065235,0.0
rangeland-may-2~+03-16-00,2353.9885794151232,0.0
rangeland-may-2~+03-17-00,2353.9885794151232,0.0
rangeland-may-2~+03-18-00,2353.9885794151232,0.0
rangeland-may-2~+03-19-00,2353.9885794151232,0.0
rangeland-may-2~+03-20-00,2353.9885794151232,0.0
rangeland-may-2~+03-21-00,2353.9885794151232,0.0
rangeland-may-2~+03-22-00,2353.9885794151232,0.0
rangeland-may-2~+03-23-00,2356.434165795012,0.0
rangeland-may-2~+04-00-00,2369.602089040863,0.0
