trace,op_ems,emb_ems
rnaseq-mar-2,819.9610529805793,0.0
rnaseq-mar-2~+00-01-00,831.5502517433938,0.0
rnaseq-mar-2~+00-02-00,855.6094897588997,0.0
rnaseq-mar-2~+00-03-00,886.6514415248002,0.0
rnaseq-mar-2~+00-04-00,916.2762759025048,0.0
rnaseq-mar-2~+00-05-00,940.0048849789378,0.0
rnaseq-mar-2~+00-06-00,966.1426635117311,0.0
rnaseq-mar-2~+00-07-00,1000.3079204500382,0.0
rnaseq-mar-2~+00-08-00,1032.3993812001836,0.0
rnaseq-mar-2~+00-09-00,1038.5028037864527,0.0
rnaseq-mar-2~+00-10-00,1016.2037244466153,0.0
rnaseq-mar-2~+00-11-00,977.142638138464,0.0
rnaseq-mar-2~+00-12-00,912.5500782584588,0.0
rnaseq-mar-2~+00-13-00,837.9212255124762,0.0
rnaseq-mar-2~+00-14-00,782.2939186414744,0.0
rnaseq-mar-2~+00-15-00,760.9219912492115,0.0
rnaseq-mar-2~+00-16-00,750.5455014487125,0.0
rnaseq-mar-2~+00-17-00,744.5904760050099,0.0
rnaseq-mar-2~+00-18-00,764.373459330259,0.0
rnaseq-mar-2~+00-19-00,810.430711165176,0.0
rnaseq-mar-2~+00-20-00,860.2171195487085,0.0
rnaseq-mar-2~+00-21-00,868.0964902729402,0.0
rnaseq-mar-2~+00-22-00,824.2100001332519,0.0
rnaseq-mar-2~+00-23-00,740.6332139866133,0.0
rnaseq-mar-2~+01-00-00,546.2224730852915,0.0
rnaseq-mar-2~+01-01-00,419.8537202018327,0.0
rnaseq-mar-2~+01-02-00,474.0782592758808,0.0
rnaseq-mar-2~+01-03-00,659.3422584848454,0.0
rnaseq-mar-2~+01-04-00,672.4130939579263,0.0
rnaseq-mar-2~+01-05-00,703.877707269612,0.0
rnaseq-mar-2~+01-06-00,721.6063407536933,0.0
rnaseq-mar-2~+01-07-00,737.0269745146456,0.0
rnaseq-mar-2~+01-08-00,752.0697612188244,0.0
rnaseq-mar-2~+01-09-00,735.1266820479675,0.0
rnaseq-mar-2~+01-10-00,642.6194342906097,0.0
rnaseq-mar-2~+01-11-00,513.178635451848,0.0
rnaseq-mar-2~+01-12-00,401.4245663268495,0.0
rnaseq-mar-2~+01-13-00,342.28593249751145,0.0
rnaseq-mar-2~+01-14-00,324.6782869154956,0.0
rnaseq-mar-2~+01-15-00,316.40528122155047,0.0
rnaseq-mar-2~+01-16-00,311.3883326828312,0.0
rnaseq-mar-2~+01-17-00,316.17455056050676,0.0
rnaseq-mar-2~+01-18-00,329.1882628635101,0.0
rnaseq-mar-2~+01-19-00,344.4536143844909,0.0
rnaseq-mar-2~+01-20-00,360.6009512046333,0.0
rnaseq-mar-2~+01-21-00,358.80389094755526,0.0
rnaseq-mar-2~+01-22-00,336.6618566502126,0.0
rnaseq-mar-2~+01-23-00,302.71923975757556,0.0
rnaseq-mar-2~+02-00-00,285.05359483687977,0.0
rnaseq-mar-2~+02-01-00,279.59056551449106,0.0
rnaseq-mar-2~+02-02-00,285.56542395953846,0.0
rnaseq-mar-2~+02-03-00,292.5498837457431,0.0
rnaseq-mar-2~+02-04-00,310.3482909807427,0.0
rnaseq-mar-2~+02-05-00,351.8585312252667,0.0
rnaseq-mar-2~+02-06-00,429.7491890661695,0.0
rnaseq-mar-2~+02-07-00,530.3258733699874,0.0
