trace,op_ems,emb_ems
sarek-sep-1,3188.3137354855817,0.0
sarek-sep-1~+00-01-00,3222.018392670602,0.0
sarek-sep-1~+00-02-00,3269.221405350686,0.0
sarek-sep-1~+00-03-00,3331.5011147509085,0.0
sarek-sep-1~+00-04-00,3378.6921295007874,0.0
sarek-sep-1~+00-05-00,3431.272002165079,0.0
sarek-sep-1~+00-06-00,3436.3215644502143,0.0
sarek-sep-1~+00-07-00,3426.631655492157,0.0
sarek-sep-1~+00-08-00,3430.1585423585007,0.0
sarek-sep-1~+00-09-00,3450.5279906619385,0.0
sarek-sep-1~+00-10-00,3461.6165488847373,0.0
sarek-sep-1~+00-11-00,3473.592989474163,0.0
sarek-sep-1~+00-12-00,3489.584588981179,0.0
sarek-sep-1~+00-13-00,3443.3360230154562,0.0
sarek-sep-1~+00-14-00,3375.414095072897,0.0
sarek-sep-1~+00-15-00,3302.943619044885,0.0
sarek-sep-1~+00-16-00,3322.1731731846094,0.0
sarek-sep-1~+00-17-00,3316.531334895829,0.0
sarek-sep-1~+00-18-00,3397.988655989592,0.0
sarek-sep-1~+00-19-00,3487.038417812136,0.0
sarek-sep-1~+00-20-00,3499.5560485531396,0.0
sarek-sep-1~+00-21-00,3431.7521646553414,0.0
sarek-sep-1~+00-22-00,3351.649341416899,0.0
sarek-sep-1~+00-23-00,3311.4405163286074,0.0
sarek-sep-1~+01-00-00,3309.09623914682,0.0
sarek-sep-1~+01-01-00,3384.454156354445,0.0
sarek-sep-1~+01-02-00,3405.4039019999695,0.0
sarek-sep-1~+01-03-00,3425.9888400908876,0.0
sarek-sep-1~+01-04-00,3355.0647847171404,0.0
sarek-sep-1~+01-05-00,3262.224123532105,0.0
sarek-sep-1~+01-06-00,3180.0532416183905,0.0
sarek-sep-1~+01-07-00,3180.0532416183905,0.0
sarek-sep-1~+01-08-00,3180.0532416183905,0.0
sarek-sep-1~+01-09-00,3180.0532416183905,0.0
sarek-sep-1~+01-10-00,3193.080978994287,0.0
sarek-sep-1~+01-11-00,3220.863303034206,0.0
sarek-sep-1~+01-12-00,3273.8186639231963,0.0
sarek-sep-1~+01-13-00,3341.53618656871,0.0
sarek-sep-1~+01-14-00,3409.970321703695,0.0
sarek-sep-1~+01-15-00,3457.9148010090353,0.0
sarek-sep-1~+01-16-00,3495.687441045059,0.0
sarek-sep-1~+01-17-00,3498.9095511724254,0.0
sarek-sep-1~+01-18-00,3502.0542017809803,0.0
sarek-sep-1~+01-19-00,3505.5543657457306,0.0
sarek-sep-1~+01-20-00,3509.62764358446,0.0
sarek-sep-1~+01-21-00,3513.9919800941016,0.0
sarek-sep-1~+01-22-00,3529.6671264298766,0.0
sarek-sep-1~+01-23-00,3543.28551087672,0.0
sarek-sep-1~+02-00-00,3556.263755976276,0.0
sarek-sep-1~+02-01-00,3574.456008499036,0.0
sarek-sep-1~+02-02-00,3531.0665368460996,0.0
sarek-sep-1~+02-03-00,3452.2247774475477,0.0
sarek-sep-1~+02-04-00,3371.332997059928,0.0
sarek-sep-1~+02-05-00,3281.352054633236,0.0
sarek-sep-1~+02-06-00,3190.0222898529673,0.0
sarek-sep-1~+02-07-00,3180.0532416183905,0.0
sarek-sep-1~+02-08-00,3180.0532416183905,0.0
sarek-sep-1~+02-09-00,3180.0532416183905,0.0
sarek-sep-1~+02-10-00,3192.6536293267027,0.0
sarek-sep-1~+02-11-00,3197.4963631399523,0.0
sarek-sep-1~+02-12-00,3246.9611140875622,0.0
sarek-sep-1~+02-13-00,3302.2479392362175,0.0
sarek-sep-1~+02-14-00,3314.386607929112,0.0
sarek-sep-1~+02-15-00,3355.9011658010345,0.0
sarek-sep-1~+02-16-00,3358.44030481116,0.0
sarek-sep-1~+02-17-00,3350.3700270263835,0.0
sarek-sep-1~+02-18-00,3300.8068942470486,0.0
sarek-sep-1~+02-19-00,3354.8115637801397,0.0
sarek-sep-1~+02-20-00,3362.4663663295632,0.0
sarek-sep-1~+02-21-00,3436.0050556101564,0.0
sarek-sep-1~+02-22-00,3463.574771046564,0.0
sarek-sep-1~+02-23-00,3542.388804039141,0.0
sarek-sep-1~+03-00-00,3559.0029428085704,0.0
sarek-sep-1~+03-01-00,3574.0579767292547,0.0
sarek-sep-1~+03-02-00,3501.35475153458,0.0
sarek-sep-1~+03-03-00,3425.3699116115085,0.0
sarek-sep-1~+03-04-00,3347.0226896226304,0.0
sarek-sep-1~+03-05-00,3260.757741645506,0.0
sarek-sep-1~+03-06-00,3180.0532416183905,0.0
sarek-sep-1~+03-07-00,3180.0532416183905,0.0
sarek-sep-1~+03-08-00,3180.0532416183905,0.0
sarek-sep-1~+03-09-00,3180.0532416183905,0.0
sarek-sep-1~+03-10-00,3199.488552259897,0.0
sarek-sep-1~+03-11-00,3205.679342433005,0.0
sarek-sep-1~+03-12-00,3204.767636908283,0.0
sarek-sep-1~+03-13-00,3260.7949275938563,0.0
sarek-sep-1~+03-14-00,3314.0621787956215,0.0
sarek-sep-1~+03-15-00,3359.215079783433,0.0
sarek-sep-1~+03-16-00,3376.4212301903244,0.0
sarek-sep-1~+03-17-00,3385.0945838943667,0.0
sarek-sep-1~+03-18-00,3375.7063822663085,0.0
sarek-sep-1~+03-19-00,3312.2494277000114,0.0
sarek-sep-1~+03-20-00,3242.685082157588,0.0
sarek-sep-1~+03-21-00,3320.7774876379717,0.0
sarek-sep-1~+03-22-00,3388.775452461655,0.0
sarek-sep-1~+03-23-00,3408.140122301825,0.0
sarek-sep-1~+04-00-00,3495.5258663602986,0.0
