trace,op_ems,emb_ems
chipseq-oct-1,19230.11291677175,100.71517209432965
chipseq-oct-1~+00-01-00,20049.48243325091,100.71517209432965
chipseq-oct-1~+00-02-00,19984.550975346825,100.71517209432965
chipseq-oct-1~+00-03-00,19939.82751804737,100.71517209432965
chipseq-oct-1~+00-04-00,19876.45431047599,100.71517209432965
chipseq-oct-1~+00-05-00,19857.13828463146,100.71517209432965
chipseq-oct-1~+00-06-00,19962.560628503405,100.71517209432965
chipseq-oct-1~+00-07-00,19738.205436803222,100.71517209432965
chipseq-oct-1~+00-08-00,19753.680847204425,100.71517209432965
chipseq-oct-1~+00-09-00,19959.142131083052,100.71517209432965
chipseq-oct-1~+00-10-00,20109.755603319714,100.71517209432965
chipseq-oct-1~+00-11-00,20263.261937735417,100.71517209432965
chipseq-oct-1~+00-12-00,20429.31161251199,100.71517209432965
chipseq-oct-1~+00-13-00,20365.278312422768,100.71517209432965
chipseq-oct-1~+00-14-00,20060.29214081835,100.71517209432965
chipseq-oct-1~+00-15-00,20022.23417384907,100.71517209432965
chipseq-oct-1~+00-16-00,20044.800397216248,100.71517209432965
chipseq-oct-1~+00-17-00,20198.20386536311,100.71517209432965
chipseq-oct-1~+00-18-00,20473.44038675038,100.71517209432965
chipseq-oct-1~+00-19-00,20137.511892611816,100.71517209432965
chipseq-oct-1~+00-20-00,20099.106375864125,100.71517209432965
chipseq-oct-1~+00-21-00,19753.41444139702,100.71517209432965
chipseq-oct-1~+00-22-00,18991.036089840538,100.71517209432965
chipseq-oct-1~+00-23-00,17873.16833455518,100.71517209432965
chipseq-oct-1~+01-00-00,18939.73613879004,100.71517209432965
