trace,op_ems,emb_ems
nanoseq-dec-1,276.6203778904626,0.0
nanoseq-dec-1~+00-01-00,277.980408345887,0.0
nanoseq-dec-1~+00-02-00,281.34020816817207,0.0
nanoseq-dec-1~+00-03-00,284.92044909163485,0.0
nanoseq-dec-1~+00-04-00,284.258552761621,0.0
nanoseq-dec-1~+00-05-00,282.66315377570993,0.0
nanoseq-dec-1~+00-06-00,283.29903419777315,0.0
nanoseq-dec-1~+00-07-00,280.463962975299,0.0
nanoseq-dec-1~+00-08-00,279.3420714245101,0.0
nanoseq-dec-1~+00-09-00,279.6171751873776,0.0
nanoseq-dec-1~+00-10-00,240.35658361081096,0.0
nanoseq-dec-1~+00-11-00,217.18722200193622,0.0
nanoseq-dec-1~+00-12-00,216.25139577527494,0.0
nanoseq-dec-1~+00-13-00,212.89664945008923,0.0
nanoseq-dec-1~+00-14-00,216.5049857196031,0.0
nanoseq-dec-1~+00-15-00,257.03310630282476,0.0
nanoseq-dec-1~+00-16-00,251.27894083216484,0.0
nanoseq-dec-1~+00-17-00,254.74988918201223,0.0
nanoseq-dec-1~+00-18-00,253.0165620761224,0.0
nanoseq-dec-1~+00-19-00,269.08530488993244,0.0
nanoseq-dec-1~+00-20-00,278.59377580221144,0.0
nanoseq-dec-1~+00-21-00,275.20824154871286,0.0
nanoseq-dec-1~+00-22-00,273.9914011679506,0.0
nanoseq-dec-1~+00-23-00,275.20249875551644,0.0
nanoseq-dec-1~+01-00-00,276.59187442501224,0.0
