trace,op_ems,emb_ems
rnaseq-nov-3,2622.381649023666,0.0
rnaseq-nov-3~+00-01-00,2677.0738203273763,0.0
rnaseq-nov-3~+00-02-00,2714.7315858782035,0.0
rnaseq-nov-3~+00-03-00,2743.961379979738,0.0
rnaseq-nov-3~+00-04-00,2780.133929466295,0.0
rnaseq-nov-3~+00-05-00,2808.320446393741,0.0
rnaseq-nov-3~+00-06-00,2817.885746051522,0.0
rnaseq-nov-3~+00-07-00,2794.61933961678,0.0
rnaseq-nov-3~+00-08-00,2733.7688673973616,0.0
rnaseq-nov-3~+00-09-00,2552.9355313788433,0.0
rnaseq-nov-3~+00-10-00,2258.1500515001762,0.0
rnaseq-nov-3~+00-11-00,1931.2056714273008,0.0
rnaseq-nov-3~+00-12-00,1690.8532332744026,0.0
rnaseq-nov-3~+00-13-00,1518.2188738482223,0.0
rnaseq-nov-3~+00-14-00,1438.3010116740734,0.0
rnaseq-nov-3~+00-15-00,1439.7078742772273,0.0
rnaseq-nov-3~+00-16-00,1456.8063101847424,0.0
rnaseq-nov-3~+00-17-00,1490.5034815789497,0.0
rnaseq-nov-3~+00-18-00,1570.637354261902,0.0
rnaseq-nov-3~+00-19-00,1702.4471991004307,0.0
rnaseq-nov-3~+00-20-00,1804.6830237726758,0.0
rnaseq-nov-3~+00-21-00,1913.8835496859717,0.0
rnaseq-nov-3~+00-22-00,2021.605282089241,0.0
rnaseq-nov-3~+00-23-00,2135.3826950305966,0.0
rnaseq-nov-3~+01-00-00,2171.0080266180908,0.0
