trace,op_ems,emb_ems
sarek-aug-3,4691.247645576783,0.0
sarek-aug-3~+00-01-00,4777.516221961355,0.0
sarek-aug-3~+00-02-00,4824.228739712496,0.0
sarek-aug-3~+00-03-00,4837.019743458773,0.0
sarek-aug-3~+00-04-00,4858.582780494813,0.0
sarek-aug-3~+00-05-00,4844.677931027095,0.0
sarek-aug-3~+00-06-00,4844.480954337951,0.0
sarek-aug-3~+00-07-00,4876.8142316783,0.0
sarek-aug-3~+00-08-00,4903.271182720864,0.0
sarek-aug-3~+00-09-00,4880.785753110372,0.0
sarek-aug-3~+00-10-00,4762.341885792396,0.0
sarek-aug-3~+00-11-00,4589.934915980672,0.0
sarek-aug-3~+00-12-00,4301.596650569436,0.0
sarek-aug-3~+00-13-00,4035.159657704573,0.0
sarek-aug-3~+00-14-00,3756.9222734217255,0.0
sarek-aug-3~+00-15-00,3604.099986933121,0.0
sarek-aug-3~+00-16-00,3516.221583808937,0.0
sarek-aug-3~+00-17-00,3635.0593753950907,0.0
sarek-aug-3~+00-18-00,3803.6533241197785,0.0
sarek-aug-3~+00-19-00,4067.671962815967,0.0
sarek-aug-3~+00-20-00,4299.105374045565,0.0
sarek-aug-3~+00-21-00,4561.365792310357,0.0
sarek-aug-3~+00-22-00,4708.935843952667,0.0
sarek-aug-3~+00-23-00,4796.56159573271,0.0
sarek-aug-3~+01-00-00,4831.7660641493,0.0
