trace,op_ems,emb_ems
montage-jun-2,240.03576536737253,0.0
montage-jun-2~+00-01-00,248.1226591708001,0.0
montage-jun-2~+00-02-00,248.1226591708001,0.0
montage-jun-2~+00-03-00,249.69291247839902,0.0
montage-jun-2~+00-04-00,249.00279411093928,0.0
montage-jun-2~+00-05-00,249.330359018593,0.0
montage-jun-2~+00-06-00,248.4132009262694,0.0
montage-jun-2~+00-07-00,246.5994236753021,0.0
montage-jun-2~+00-08-00,258.0866795980954,0.0
montage-jun-2~+00-09-00,258.6984539201371,0.0
montage-jun-2~+00-10-00,259.9942838211475,0.0
montage-jun-2~+00-11-00,251.8761930858508,0.0
montage-jun-2~+00-12-00,258.81725142820045,0.0
montage-jun-2~+00-13-00,252.81330965004463,0.0
montage-jun-2~+00-14-00,184.49365874666952,0.0
montage-jun-2~+00-15-00,199.52243163760613,0.0
montage-jun-2~+00-16-00,211.81815664933015,0.0
montage-jun-2~+00-17-00,0.0,0.0
montage-jun-2~+00-18-00,0.0,0.0
montage-jun-2~+00-19-00,0.5338789402917381,0.0
montage-jun-2~+00-20-00,249.34582042181168,0.0
montage-jun-2~+00-21-00,68.59556212878014,0.0
montage-jun-2~+00-22-00,255.11835517429083,0.0
montage-jun-2~+00-23-00,241.11531232594015,0.0
montage-jun-2~+01-00-00,239.7850037743629,0.0
montage-jun-2~+01-01-00,236.5037876107077,0.0
montage-jun-2~+01-02-00,236.79153070749658,0.0
montage-jun-2~+01-03-00,236.79153070749658,0.0
montage-jun-2~+01-04-00,242.68775790610428,0.0
montage-jun-2~+01-05-00,239.47975000071682,0.0
montage-jun-2~+01-06-00,241.00582635481805,0.0
montage-jun-2~+01-07-00,246.08886688251482,0.0
montage-jun-2~+01-08-00,250.62345339114498,0.0
montage-jun-2~+01-09-00,250.16883846839167,0.0
montage-jun-2~+01-10-00,250.0403966480846,0.0
montage-jun-2~+01-11-00,252.65822340259862,0.0
montage-jun-2~+01-12-00,248.662473881143,0.0
montage-jun-2~+01-13-00,250.32185696316213,0.0
montage-jun-2~+01-14-00,257.6321889844729,0.0
montage-jun-2~+01-15-00,254.76902152918032,0.0
montage-jun-2~+01-16-00,249.91845895617968,0.0
montage-jun-2~+01-17-00,247.752000629432,0.0
montage-jun-2~+01-18-00,247.44730455194153,0.0
montage-jun-2~+01-19-00,240.69130470736,0.0
montage-jun-2~+01-20-00,245.54815629675545,0.0
montage-jun-2~+01-21-00,247.69018425925466,0.0
montage-jun-2~+01-22-00,246.0844933633637,0.0
montage-jun-2~+01-23-00,232.27727691596704,0.0
montage-jun-2~+02-00-00,232.45790975086518,0.0
montage-jun-2~+02-01-00,243.61926196102564,0.0
montage-jun-2~+02-02-00,241.9286944644992,0.0
montage-jun-2~+02-03-00,241.18916624481687,0.0
montage-jun-2~+02-04-00,238.23622677726402,0.0
montage-jun-2~+02-05-00,240.30995145635424,0.0
montage-jun-2~+02-06-00,240.98879524063693,0.0
montage-jun-2~+02-07-00,242.78314383661063,0.0
montage-jun-2~+02-08-00,244.27261372735992,0.0
montage-jun-2~+02-09-00,245.9519681523707,0.0
montage-jun-2~+02-10-00,246.66351990524728,0.0
montage-jun-2~+02-11-00,246.27589980485178,0.0
montage-jun-2~+02-12-00,248.82000429077004,0.0
montage-jun-2~+02-13-00,245.93737001130734,0.0
montage-jun-2~+02-14-00,248.39229965465478,0.0
montage-jun-2~+02-15-00,248.780808938709,0.0
montage-jun-2~+02-16-00,243.94522533739672,0.0
montage-jun-2~+02-17-00,244.4567303917451,0.0
montage-jun-2~+02-18-00,244.44292617058917,0.0
montage-jun-2~+02-19-00,245.65987950272284,0.0
montage-jun-2~+02-20-00,244.47574278330157,0.0
montage-jun-2~+02-21-00,244.78142898290292,0.0
montage-jun-2~+02-22-00,247.47590304232682,0.0
montage-jun-2~+02-23-00,246.7707930397208,0.0
montage-jun-2~+03-00-00,235.7746345633539,0.0
montage-jun-2~+03-01-00,236.29449723885512,0.0
montage-jun-2~+03-02-00,236.79153070749658,0.0
montage-jun-2~+03-03-00,236.3065694298173,0.0
montage-jun-2~+03-04-00,239.47077796930242,0.0
montage-jun-2~+03-05-00,237.26594671228014,0.0
montage-jun-2~+03-06-00,244.9679121824682,0.0
montage-jun-2~+03-07-00,243.3482880971503,0.0
montage-jun-2~+03-08-00,248.35975262596224,0.0
montage-jun-2~+03-09-00,250.88870426602676,0.0
montage-jun-2~+03-10-00,250.56251256362862,0.0
montage-jun-2~+03-11-00,252.46992892108483,0.0
montage-jun-2~+03-12-00,254.60021490664025,0.0
montage-jun-2~+03-13-00,252.75091028419584,0.0
montage-jun-2~+03-14-00,252.95246933953575,0.0
montage-jun-2~+03-15-00,253.23152503261502,0.0
montage-jun-2~+03-16-00,245.64075645250094,0.0
montage-jun-2~+03-17-00,247.8523771365471,0.0
montage-jun-2~+03-18-00,250.6060092669948,0.0
montage-jun-2~+03-19-00,249.53313315264887,0.0
montage-jun-2~+03-20-00,245.69853540690312,0.0
montage-jun-2~+03-21-00,254.5187161751412,0.0
montage-jun-2~+03-22-00,246.55738668745133,0.0
montage-jun-2~+03-23-00,244.80079874037378,0.0
montage-jun-2~+04-00-00,242.87778807175215,0.0
