trace,op_ems,emb_ems
rnaseq-oct-2,2369.6756258242485,0.0
rnaseq-oct-2~+00-01-00,2465.8387429412555,0.0
rnaseq-oct-2~+00-02-00,2472.121789519387,0.0
rnaseq-oct-2~+00-03-00,2473.3185425979123,0.0
rnaseq-oct-2~+00-04-00,2492.7242339969407,0.0
rnaseq-oct-2~+00-05-00,2503.212443621742,0.0
rnaseq-oct-2~+00-06-00,2485.334473608202,0.0
rnaseq-oct-2~+00-07-00,2481.0717393809173,0.0
rnaseq-oct-2~+00-08-00,2488.708914709909,0.0
rnaseq-oct-2~+00-09-00,2472.521362378782,0.0
rnaseq-oct-2~+00-10-00,2349.628837241932,0.0
rnaseq-oct-2~+00-11-00,2139.0519090615494,0.0
rnaseq-oct-2~+00-12-00,1921.1394358764583,0.0
rnaseq-oct-2~+00-13-00,1726.66860907206,0.0
rnaseq-oct-2~+00-14-00,1582.3873702165074,0.0
rnaseq-oct-2~+00-15-00,1539.6249219456067,0.0
rnaseq-oct-2~+00-16-00,1557.5391899873725,0.0
rnaseq-oct-2~+00-17-00,1556.0549539472236,0.0
rnaseq-oct-2~+00-18-00,1575.0866251499137,0.0
rnaseq-oct-2~+00-19-00,1652.275616748504,0.0
rnaseq-oct-2~+00-20-00,1779.6009408517266,0.0
rnaseq-oct-2~+00-21-00,1917.029148574824,0.0
rnaseq-oct-2~+00-22-00,2013.083401454246,0.0
rnaseq-oct-2~+00-23-00,2116.7502330578345,0.0
rnaseq-oct-2~+01-00-00,2271.3842928361264,0.0
rnaseq-oct-2~+01-01-00,2389.538547753974,0.0
rnaseq-oct-2~+01-02-00,2452.2152484956077,0.0
rnaseq-oct-2~+01-03-00,2467.5420544361605,0.0
rnaseq-oct-2~+01-04-00,2452.782050658758,0.0
rnaseq-oct-2~+01-05-00,2426.1914297720386,0.0
rnaseq-oct-2~+01-06-00,2409.244854997969,0.0
rnaseq-oct-2~+01-07-00,2421.162144289945,0.0
rnaseq-oct-2~+01-08-00,2458.921069475741,0.0
rnaseq-oct-2~+01-09-00,2524.2158680617663,0.0
rnaseq-oct-2~+01-10-00,2524.897891653325,0.0
rnaseq-oct-2~+01-11-00,2420.2380531028666,0.0
rnaseq-oct-2~+01-12-00,2182.4304785647073,0.0
rnaseq-oct-2~+01-13-00,1912.2221880927473,0.0
rnaseq-oct-2~+01-14-00,1718.5727671093134,0.0
rnaseq-oct-2~+01-15-00,1696.427649743819,0.0
rnaseq-oct-2~+01-16-00,1755.4272501035266,0.0
rnaseq-oct-2~+01-17-00,1806.2931650425878,0.0
rnaseq-oct-2~+01-18-00,1821.0135258904581,0.0
rnaseq-oct-2~+01-19-00,1826.42678217437,0.0
rnaseq-oct-2~+01-20-00,1890.3136592624937,0.0
rnaseq-oct-2~+01-21-00,2051.4338133426936,0.0
rnaseq-oct-2~+01-22-00,2292.8863540306393,0.0
rnaseq-oct-2~+01-23-00,2513.202811569383,0.0
rnaseq-oct-2~+02-00-00,2677.4974601443187,0.0
rnaseq-oct-2~+02-01-00,2736.2148151206,0.0
rnaseq-oct-2~+02-02-00,2763.3942490677405,0.0
rnaseq-oct-2~+02-03-00,2743.3211633946858,0.0
rnaseq-oct-2~+02-04-00,2737.5554797772484,0.0
rnaseq-oct-2~+02-05-00,2755.8485704858504,0.0
rnaseq-oct-2~+02-06-00,2791.8058944215245,0.0
