trace,op_ems,emb_ems
sarek-nov-1,6620.186954851595,0.0
sarek-nov-1~+00-01-00,6630.269666985205,0.0
sarek-nov-1~+00-02-00,6642.550693688865,0.0
sarek-nov-1~+00-03-00,6628.483568027879,0.0
sarek-nov-1~+00-04-00,6579.837427855228,0.0
sarek-nov-1~+00-05-00,6550.2936439323275,0.0
sarek-nov-1~+00-06-00,6537.196258103802,0.0
sarek-nov-1~+00-07-00,6566.289433664795,0.0
sarek-nov-1~+00-08-00,6617.400999273177,0.0
sarek-nov-1~+00-09-00,6709.576331030954,0.0
sarek-nov-1~+00-10-00,6782.873899796266,0.0
sarek-nov-1~+00-11-00,6818.717439161088,0.0
sarek-nov-1~+00-12-00,6878.023932093996,0.0
sarek-nov-1~+00-13-00,6889.200962672105,0.0
sarek-nov-1~+00-14-00,6915.3975325627325,0.0
sarek-nov-1~+00-15-00,6924.6848023374205,0.0
sarek-nov-1~+00-16-00,6910.213056722461,0.0
sarek-nov-1~+00-17-00,6796.550437620152,0.0
sarek-nov-1~+00-18-00,6722.903356794232,0.0
sarek-nov-1~+00-19-00,6648.46137294051,0.0
sarek-nov-1~+00-20-00,6611.695255461365,0.0
sarek-nov-1~+00-21-00,6567.740045501749,0.0
sarek-nov-1~+00-22-00,6541.553481130864,0.0
sarek-nov-1~+00-23-00,6565.91211159191,0.0
sarek-nov-1~+01-00-00,6608.910624226844,0.0
sarek-nov-1~+01-01-00,6624.242609399849,0.0
sarek-nov-1~+01-02-00,6653.821779608761,0.0
sarek-nov-1~+01-03-00,6744.038552426044,0.0
sarek-nov-1~+01-04-00,6820.486252309649,0.0
sarek-nov-1~+01-05-00,6938.8489503726905,0.0
sarek-nov-1~+01-06-00,6965.541667073623,0.0
sarek-nov-1~+01-07-00,6982.082363266592,0.0
sarek-nov-1~+01-08-00,6921.01691353425,0.0
sarek-nov-1~+01-09-00,6845.201133580108,0.0
sarek-nov-1~+01-10-00,6805.8424672733945,0.0
sarek-nov-1~+01-11-00,6621.42497884361,0.0
sarek-nov-1~+01-12-00,5282.921856008972,0.0
sarek-nov-1~+01-13-00,4088.8514544927702,0.0
sarek-nov-1~+01-14-00,3565.1137751455653,0.0
sarek-nov-1~+01-15-00,3186.2453145475038,0.0
sarek-nov-1~+01-16-00,3560.845966468744,0.0
sarek-nov-1~+01-17-00,5083.131750228872,0.0
sarek-nov-1~+01-18-00,6537.085970304695,0.0
sarek-nov-1~+01-19-00,6681.786317958364,0.0
sarek-nov-1~+01-20-00,6646.709212688007,0.0
sarek-nov-1~+01-21-00,6616.462843202726,0.0
sarek-nov-1~+01-22-00,6597.644604274894,0.0
sarek-nov-1~+01-23-00,6608.646923390223,0.0
sarek-nov-1~+02-00-00,6617.346868159779,0.0
sarek-nov-1~+02-01-00,6627.490493755333,0.0
sarek-nov-1~+02-02-00,6719.45019114015,0.0
sarek-nov-1~+02-03-00,6818.589255640558,0.0
sarek-nov-1~+02-04-00,6931.673742807141,0.0
sarek-nov-1~+02-05-00,6986.103271180022,0.0
sarek-nov-1~+02-06-00,6993.903183489605,0.0
sarek-nov-1~+02-07-00,6942.765862475374,0.0
sarek-nov-1~+02-08-00,6848.875110778265,0.0
sarek-nov-1~+02-09-00,6694.297352642579,0.0
sarek-nov-1~+02-10-00,6588.305618223178,0.0
sarek-nov-1~+02-11-00,6691.093793091586,0.0
sarek-nov-1~+02-12-00,6633.331803134903,0.0
sarek-nov-1~+02-13-00,6631.471795492336,0.0
sarek-nov-1~+02-14-00,6850.145264728456,0.0
sarek-nov-1~+02-15-00,6960.384482652752,0.0
sarek-nov-1~+02-16-00,6919.381372306643,0.0
sarek-nov-1~+02-17-00,6951.75662459277,0.0
sarek-nov-1~+02-18-00,6864.358056554211,0.0
sarek-nov-1~+02-19-00,6752.039610271773,0.0
sarek-nov-1~+02-20-00,6688.198031575817,0.0
sarek-nov-1~+02-21-00,6623.62518631437,0.0
sarek-nov-1~+02-22-00,6573.292551403277,0.0
sarek-nov-1~+02-23-00,6587.969990292046,0.0
sarek-nov-1~+03-00-00,6618.190162573705,0.0
sarek-nov-1~+03-01-00,6630.566791454006,0.0
sarek-nov-1~+03-02-00,6723.9486720081295,0.0
sarek-nov-1~+03-03-00,6823.319471981338,0.0
sarek-nov-1~+03-04-00,6936.511622808965,0.0
sarek-nov-1~+03-05-00,7067.86370727963,0.0
sarek-nov-1~+03-06-00,7143.451614457339,0.0
sarek-nov-1~+03-07-00,7094.079419833873,0.0
sarek-nov-1~+03-08-00,7033.287148505054,0.0
sarek-nov-1~+03-09-00,6954.523315734326,0.0
sarek-nov-1~+03-10-00,6888.51684963204,0.0
sarek-nov-1~+03-11-00,6871.227907889728,0.0
sarek-nov-1~+03-12-00,6846.151116372828,0.0
sarek-nov-1~+03-13-00,6900.002740497579,0.0
sarek-nov-1~+03-14-00,6942.349990278237,0.0
sarek-nov-1~+03-15-00,6975.713714554153,0.0
sarek-nov-1~+03-16-00,7049.9395989897785,0.0
sarek-nov-1~+03-17-00,7037.069875036987,0.0
sarek-nov-1~+03-18-00,6926.681660082069,0.0
sarek-nov-1~+03-19-00,6813.506016966092,0.0
sarek-nov-1~+03-20-00,6690.450554827028,0.0
sarek-nov-1~+03-21-00,6608.280125530167,0.0
sarek-nov-1~+03-22-00,6586.380210149727,0.0
sarek-nov-1~+03-23-00,6600.762349831713,0.0
sarek-nov-1~+04-00-00,6628.713146196718,0.0
