trace,op_ems,emb_ems
mag-oct-3,6276.2739333398695,0.0
mag-oct-3~+00-01-00,6221.055388155442,0.0
mag-oct-3~+00-02-00,6207.081001252596,0.0
mag-oct-3~+00-03-00,6178.447592051687,0.0
mag-oct-3~+00-04-00,6164.705147660179,0.0
mag-oct-3~+00-05-00,6163.949467639844,0.0
mag-oct-3~+00-06-00,6134.661452413521,0.0
mag-oct-3~+00-07-00,6105.872185351462,0.0
mag-oct-3~+00-08-00,6070.824282191757,0.0
mag-oct-3~+00-09-00,6089.098247170889,0.0
mag-oct-3~+00-10-00,6151.678670014333,0.0
mag-oct-3~+00-11-00,6224.304738121818,0.0
mag-oct-3~+00-12-00,6284.947075916427,0.0
mag-oct-3~+00-13-00,6321.32952347042,0.0
mag-oct-3~+00-14-00,6346.967429465021,0.0
mag-oct-3~+00-15-00,6355.021942244788,0.0
mag-oct-3~+00-16-00,6358.555690811027,0.0
mag-oct-3~+00-17-00,6379.305427195031,0.0
mag-oct-3~+00-18-00,6397.183178159417,0.0
mag-oct-3~+00-19-00,6425.895465177249,0.0
mag-oct-3~+00-20-00,6486.137569221088,0.0
mag-oct-3~+00-21-00,6518.587523438198,0.0
mag-oct-3~+00-22-00,6467.933166541961,0.0
mag-oct-3~+00-23-00,6388.073406331465,0.0
mag-oct-3~+01-00-00,6309.220180687662,0.0
