trace,op_ems,emb_ems
rnaseq-feb-1,1071.5876604578211,0.0
rnaseq-feb-1~+00-01-00,1118.3287889652545,0.0
rnaseq-feb-1~+00-02-00,1196.7177908736237,0.0
rnaseq-feb-1~+00-03-00,1208.7268138644183,0.0
rnaseq-feb-1~+00-04-00,1117.5783310284417,0.0
rnaseq-feb-1~+00-05-00,989.304546173692,0.0
rnaseq-feb-1~+00-06-00,947.9497205875209,0.0
rnaseq-feb-1~+00-07-00,943.1664255451541,0.0
rnaseq-feb-1~+00-08-00,930.9640122023267,0.0
rnaseq-feb-1~+00-09-00,917.5486712322311,0.0
rnaseq-feb-1~+00-10-00,923.2662363294163,0.0
rnaseq-feb-1~+00-11-00,955.4859675742425,0.0
rnaseq-feb-1~+00-12-00,1087.870912805668,0.0
rnaseq-feb-1~+00-13-00,1390.4382505518352,0.0
rnaseq-feb-1~+00-14-00,1744.4839612581245,0.0
rnaseq-feb-1~+00-15-00,1942.1372615123328,0.0
rnaseq-feb-1~+00-16-00,1972.2903850419525,0.0
rnaseq-feb-1~+00-17-00,1965.9496904271045,0.0
rnaseq-feb-1~+00-18-00,1936.4692327633998,0.0
rnaseq-feb-1~+00-19-00,1887.0945513554202,0.0
rnaseq-feb-1~+00-20-00,1821.3359372299215,0.0
rnaseq-feb-1~+00-21-00,1730.6419436305887,0.0
rnaseq-feb-1~+00-22-00,1640.3501428142226,0.0
rnaseq-feb-1~+00-23-00,1565.2269237151572,0.0
rnaseq-feb-1~+01-00-00,1513.1254650771239,0.0
