trace,op_ems,emb_ems
rnaseq-jan-3,779.8912976720768,0.0
rnaseq-jan-3~+00-01-00,848.220157112545,0.0
rnaseq-jan-3~+00-02-00,943.5376445003809,0.0
rnaseq-jan-3~+00-03-00,1023.2050081261734,0.0
rnaseq-jan-3~+00-04-00,1052.8719865707037,0.0
rnaseq-jan-3~+00-05-00,1037.5638157997828,0.0
rnaseq-jan-3~+00-06-00,1006.4364073175093,0.0
rnaseq-jan-3~+00-07-00,989.1190225310492,0.0
rnaseq-jan-3~+00-08-00,989.450405106802,0.0
rnaseq-jan-3~+00-09-00,992.4683465331408,0.0
rnaseq-jan-3~+00-10-00,990.1383494805025,0.0
rnaseq-jan-3~+00-11-00,1013.662247958484,0.0
rnaseq-jan-3~+00-12-00,1056.409745896633,0.0
rnaseq-jan-3~+00-13-00,1107.149009100396,0.0
rnaseq-jan-3~+00-14-00,1142.6377139832982,0.0
rnaseq-jan-3~+00-15-00,1177.5980394840153,0.0
rnaseq-jan-3~+00-16-00,1193.347711509337,0.0
rnaseq-jan-3~+00-17-00,1178.0767881682834,0.0
rnaseq-jan-3~+00-18-00,1108.956861334389,0.0
rnaseq-jan-3~+00-19-00,1024.9473835378762,0.0
rnaseq-jan-3~+00-20-00,977.8986079572653,0.0
rnaseq-jan-3~+00-21-00,970.6230791893657,0.0
rnaseq-jan-3~+00-22-00,974.8720909519079,0.0
rnaseq-jan-3~+00-23-00,982.7862664959066,0.0
rnaseq-jan-3~+01-00-00,1021.1080410773443,0.0
