trace,op_ems,emb_ems
chipseq-nov-1,3173.608079544738,0.0
chipseq-nov-1~+00-01-00,3191.2353402651925,0.0
chipseq-nov-1~+00-02-00,3257.9937150759088,0.0
chipseq-nov-1~+00-03-00,3339.79756841244,0.0
chipseq-nov-1~+00-04-00,3391.799864703865,0.0
chipseq-nov-1~+00-05-00,3412.7744731018747,0.0
chipseq-nov-1~+00-06-00,3390.791069013862,0.0
chipseq-nov-1~+00-07-00,3345.8751027325675,0.0
chipseq-nov-1~+00-08-00,3288.3702489242423,0.0
chipseq-nov-1~+00-09-00,3317.089929709002,0.0
chipseq-nov-1~+00-10-00,3308.098695295249,0.0
chipseq-nov-1~+00-11-00,3287.666602289164,0.0
chipseq-nov-1~+00-12-00,3302.244157087014,0.0
chipseq-nov-1~+00-13-00,3256.737618301093,0.0
chipseq-nov-1~+00-14-00,3262.74016234207,0.0
chipseq-nov-1~+00-15-00,3325.66437995766,0.0
chipseq-nov-1~+00-16-00,3388.3621573554015,0.0
chipseq-nov-1~+00-17-00,3441.581087986423,0.0
chipseq-nov-1~+00-18-00,3463.310751703755,0.0
chipseq-nov-1~+00-19-00,3446.2302654649684,0.0
chipseq-nov-1~+00-20-00,3425.4687263778715,0.0
chipseq-nov-1~+00-21-00,3418.5652740458345,0.0
chipseq-nov-1~+00-22-00,3416.486222051907,0.0
chipseq-nov-1~+00-23-00,3410.0515738017784,0.0
chipseq-nov-1~+01-00-00,3398.4392785383543,0.0
chipseq-nov-1~+01-01-00,3373.8681859734224,0.0
chipseq-nov-1~+01-02-00,3317.6703105147135,0.0
chipseq-nov-1~+01-03-00,2958.5694246974026,0.0
chipseq-nov-1~+01-04-00,2226.0943001059704,0.0
chipseq-nov-1~+01-05-00,1277.8133294293962,0.0
chipseq-nov-1~+01-06-00,565.929194174206,0.0
chipseq-nov-1~+01-07-00,151.5090252187519,0.0
chipseq-nov-1~+01-08-00,2.858530680985588,0.0
chipseq-nov-1~+01-09-00,2.858530680985588,0.0
chipseq-nov-1~+01-10-00,5.3527388707864,0.0
chipseq-nov-1~+01-11-00,749.6423438562636,0.0
chipseq-nov-1~+01-12-00,1667.0704040770074,0.0
chipseq-nov-1~+01-13-00,2494.46892856661,0.0
chipseq-nov-1~+01-14-00,3398.584064706496,0.0
chipseq-nov-1~+01-15-00,3477.243241919172,0.0
chipseq-nov-1~+01-16-00,3474.4335871974517,0.0
chipseq-nov-1~+01-17-00,3461.276135914887,0.0
chipseq-nov-1~+01-18-00,3471.912847534551,0.0
chipseq-nov-1~+01-19-00,3464.253446080109,0.0
chipseq-nov-1~+01-20-00,3420.777784384267,0.0
chipseq-nov-1~+01-21-00,3425.2915164339997,0.0
chipseq-nov-1~+01-22-00,3372.9075596696607,0.0
chipseq-nov-1~+01-23-00,3343.769101623435,0.0
chipseq-nov-1~+02-00-00,3339.553540648118,0.0
chipseq-nov-1~+02-01-00,3312.3277344163334,0.0
chipseq-nov-1~+02-02-00,3042.109599110739,0.0
chipseq-nov-1~+02-03-00,2456.9524193055004,0.0
chipseq-nov-1~+02-04-00,2309.952611267385,0.0
chipseq-nov-1~+02-05-00,1520.237700098686,0.0
chipseq-nov-1~+02-06-00,1234.025253907203,0.0
chipseq-nov-1~+02-07-00,1334.7289926297176,0.0
chipseq-nov-1~+02-08-00,712.4209301131177,0.0
chipseq-nov-1~+02-09-00,1409.7885790955265,0.0
chipseq-nov-1~+02-10-00,2092.8415198447806,0.0
chipseq-nov-1~+02-11-00,2811.6872108372118,0.0
chipseq-nov-1~+02-12-00,3233.4278276318073,0.0
chipseq-nov-1~+02-13-00,3287.487149425666,0.0
chipseq-nov-1~+02-14-00,3239.489849661398,0.0
chipseq-nov-1~+02-15-00,3253.805774366295,0.0
chipseq-nov-1~+02-16-00,3270.6838123026964,0.0
chipseq-nov-1~+02-17-00,3296.7267846604814,0.0
chipseq-nov-1~+02-18-00,3301.2101408029694,0.0
chipseq-nov-1~+02-19-00,3280.625086088996,0.0
chipseq-nov-1~+02-20-00,3263.013030997585,0.0
chipseq-nov-1~+02-21-00,3256.7799857319224,0.0
chipseq-nov-1~+02-22-00,3312.45410501255,0.0
chipseq-nov-1~+02-23-00,3372.2771596999046,0.0
chipseq-nov-1~+03-00-00,3410.892115737678,0.0
chipseq-nov-1~+03-01-00,3355.239843271832,0.0
chipseq-nov-1~+03-02-00,3370.723769929568,0.0
chipseq-nov-1~+03-03-00,3350.4336591775996,0.0
chipseq-nov-1~+03-04-00,3387.834401916016,0.0
chipseq-nov-1~+03-05-00,3423.035105010797,0.0
chipseq-nov-1~+03-06-00,3450.3951170848586,0.0
chipseq-nov-1~+03-07-00,3473.623834332785,0.0
chipseq-nov-1~+03-08-00,3486.638638625931,0.0
chipseq-nov-1~+03-09-00,3489.9415411488,0.0
chipseq-nov-1~+03-10-00,3452.595895837946,0.0
chipseq-nov-1~+03-11-00,3366.0673091660947,0.0
chipseq-nov-1~+03-12-00,3305.6203725450177,0.0
chipseq-nov-1~+03-13-00,3257.642566196674,0.0
chipseq-nov-1~+03-14-00,3322.1174027760553,0.0
chipseq-nov-1~+03-15-00,3397.0818380131604,0.0
chipseq-nov-1~+03-16-00,3474.175337506431,0.0
chipseq-nov-1~+03-17-00,3526.8109050709063,0.0
chipseq-nov-1~+03-18-00,3504.2899711947366,0.0
chipseq-nov-1~+03-19-00,3485.6509694491806,0.0
chipseq-nov-1~+03-20-00,3456.0551732913495,0.0
chipseq-nov-1~+03-21-00,3433.0396130070594,0.0
chipseq-nov-1~+03-22-00,3444.7359243082356,0.0
chipseq-nov-1~+03-23-00,3415.9036896568355,0.0
chipseq-nov-1~+04-00-00,3358.918901861547,0.0
