trace,op_ems,emb_ems
mag-aug-2,5846.02993378861,0.0
mag-aug-2~+00-01-00,5838.0202880305405,0.0
mag-aug-2~+00-02-00,5784.312081073265,0.0
mag-aug-2~+00-03-00,5687.595513648408,0.0
mag-aug-2~+00-04-00,5554.922596308485,0.0
mag-aug-2~+00-05-00,5401.640042436438,0.0
mag-aug-2~+00-06-00,5248.3321590338755,0.0
mag-aug-2~+00-07-00,5104.982636224073,0.0
mag-aug-2~+00-08-00,4973.752672956605,0.0
mag-aug-2~+00-09-00,4860.676437856362,0.0
mag-aug-2~+00-10-00,4775.194232515658,0.0
mag-aug-2~+00-11-00,4724.824606673219,0.0
mag-aug-2~+00-12-00,4714.087595906279,0.0
mag-aug-2~+00-13-00,4741.406398749861,0.0
mag-aug-2~+00-14-00,4803.553015582381,0.0
mag-aug-2~+00-15-00,4890.017720190172,0.0
mag-aug-2~+00-16-00,4993.786388757225,0.0
mag-aug-2~+00-17-00,5115.680209879745,0.0
mag-aug-2~+00-18-00,5256.3504001208385,0.0
mag-aug-2~+00-19-00,5405.2045808043085,0.0
mag-aug-2~+00-20-00,5546.737669186752,0.0
mag-aug-2~+00-21-00,5669.2958209786375,0.0
mag-aug-2~+00-22-00,5765.3585779792065,0.0
mag-aug-2~+00-23-00,5828.828955374789,0.0
mag-aug-2~+01-00-00,5856.968217803532,0.0
