trace,op_ems,emb_ems
rangeland-dec-2,3260.4932078486936,0.0
rangeland-dec-2~+00-01-00,3260.06186594859,0.0
rangeland-dec-2~+00-02-00,3259.6709563775853,0.0
rangeland-dec-2~+00-03-00,3259.0966799443418,0.0
rangeland-dec-2~+00-04-00,3258.7838711609857,0.0
rangeland-dec-2~+00-05-00,3258.5918923100603,0.0
rangeland-dec-2~+00-06-00,3258.589119501211,0.0
rangeland-dec-2~+00-07-00,3258.8633230479354,0.0
rangeland-dec-2~+00-08-00,3259.3511728159956,0.0
rangeland-dec-2~+00-09-00,3259.841503737336,0.0
rangeland-dec-2~+00-10-00,3260.3368092291394,0.0
rangeland-dec-2~+00-11-00,3260.8321666601564,0.0
rangeland-dec-2~+00-12-00,3261.178117187206,0.0
rangeland-dec-2~+00-13-00,3261.376153497913,0.0
rangeland-dec-2~+00-14-00,3261.340908756596,0.0
rangeland-dec-2~+00-15-00,3261.2771330872038,0.0
rangeland-dec-2~+00-16-00,3261.201192736088,0.0
rangeland-dec-2~+00-17-00,3261.1560256833463,0.0
rangeland-dec-2~+00-18-00,3261.07799354386,0.0
rangeland-dec-2~+00-19-00,3261.0848669276415,0.0
rangeland-dec-2~+00-20-00,3261.2299134776204,0.0
rangeland-dec-2~+00-21-00,3261.2926354392985,0.0
rangeland-dec-2~+00-22-00,3261.1082987844884,0.0
rangeland-dec-2~+00-23-00,3260.915697989469,0.0
rangeland-dec-2~+01-00-00,3260.6208197502983,0.0
