trace,op_ems,emb_ems
sarek-oct-1,4099.78639321773,0.0
sarek-oct-1~+00-01-00,4095.6481882328867,0.0
sarek-oct-1~+00-02-00,4090.8384345270842,0.0
sarek-oct-1~+00-03-00,4085.5637109925883,0.0
sarek-oct-1~+00-04-00,4080.689436118768,0.0
sarek-oct-1~+00-05-00,4075.347225145797,0.0
sarek-oct-1~+00-06-00,4069.297047742957,0.0
sarek-oct-1~+00-07-00,4066.6749764976025,0.0
sarek-oct-1~+00-08-00,4068.25408768971,0.0
sarek-oct-1~+00-09-00,4044.667760209678,0.0
sarek-oct-1~+00-10-00,3919.332932649305,0.0
sarek-oct-1~+00-11-00,3682.9075023828045,0.0
sarek-oct-1~+00-12-00,3368.864162396958,0.0
sarek-oct-1~+00-13-00,3006.0399253428286,0.0
sarek-oct-1~+00-14-00,2672.670941415243,0.0
sarek-oct-1~+00-15-00,2479.0105173340626,0.0
sarek-oct-1~+00-16-00,2465.2767566582875,0.0
sarek-oct-1~+00-17-00,2594.0673778883447,0.0
sarek-oct-1~+00-18-00,2838.34419382735,0.0
sarek-oct-1~+00-19-00,3158.7707082660045,0.0
sarek-oct-1~+00-20-00,3499.335444371442,0.0
sarek-oct-1~+00-21-00,3786.620863405986,0.0
sarek-oct-1~+00-22-00,3985.154909668643,0.0
sarek-oct-1~+00-23-00,4083.2327471521758,0.0
sarek-oct-1~+01-00-00,4099.782346444678,0.0
