trace,op_ems,emb_ems
chipseq-jan-3,3124.322922357792,0.0
chipseq-jan-3~+00-01-00,3123.6220166089192,0.0
chipseq-jan-3~+00-02-00,3123.2053051795397,0.0
chipseq-jan-3~+00-03-00,3120.222248774031,0.0
chipseq-jan-3~+00-04-00,3117.930312034786,0.0
chipseq-jan-3~+00-05-00,3116.614809982701,0.0
chipseq-jan-3~+00-06-00,3114.0570300007503,0.0
chipseq-jan-3~+00-07-00,3116.517359989678,0.0
chipseq-jan-3~+00-08-00,3116.7309066455487,0.0
chipseq-jan-3~+00-09-00,3120.604168420299,0.0
chipseq-jan-3~+00-10-00,3117.1274302985757,0.0
chipseq-jan-3~+00-11-00,3066.9273688769936,0.0
chipseq-jan-3~+00-12-00,2942.844875234681,0.0
chipseq-jan-3~+00-13-00,2741.4834710011573,0.0
chipseq-jan-3~+00-14-00,2487.2855648583177,0.0
chipseq-jan-3~+00-15-00,2277.1838647465097,0.0
chipseq-jan-3~+00-16-00,2164.702081775153,0.0
chipseq-jan-3~+00-17-00,2196.548017450321,0.0
chipseq-jan-3~+00-18-00,2345.3637372614835,0.0
chipseq-jan-3~+00-19-00,2594.926263205167,0.0
chipseq-jan-3~+00-20-00,2834.0456514186353,0.0
chipseq-jan-3~+00-21-00,3013.6557294218906,0.0
chipseq-jan-3~+00-22-00,3111.576704829852,0.0
chipseq-jan-3~+00-23-00,3124.4138264493386,0.0
chipseq-jan-3~+01-00-00,3120.5663778935223,0.0
chipseq-jan-3~+01-01-00,3116.8718839788035,0.0
chipseq-jan-3~+01-02-00,3112.5247210247967,0.0
chipseq-jan-3~+01-03-00,3109.706941037616,0.0
chipseq-jan-3~+01-04-00,3108.6335839214826,0.0
chipseq-jan-3~+01-05-00,3108.485716486647,0.0
chipseq-jan-3~+01-06-00,3108.347074378709,0.0
chipseq-jan-3~+01-07-00,3108.3477436539224,0.0
chipseq-jan-3~+01-08-00,3107.760599326486,0.0
chipseq-jan-3~+01-09-00,3109.3517397133974,0.0
chipseq-jan-3~+01-10-00,3103.6124204326,0.0
chipseq-jan-3~+01-11-00,3051.7701930216585,0.0
chipseq-jan-3~+01-12-00,2926.037161582689,0.0
chipseq-jan-3~+01-13-00,2729.190256128112,0.0
chipseq-jan-3~+01-14-00,2495.6527280824967,0.0
chipseq-jan-3~+01-15-00,2333.828426180031,0.0
chipseq-jan-3~+01-16-00,2281.555606117243,0.0
chipseq-jan-3~+01-17-00,2355.2042154719265,0.0
chipseq-jan-3~+01-18-00,2514.223383273335,0.0
chipseq-jan-3~+01-19-00,2723.685784496958,0.0
chipseq-jan-3~+01-20-00,2905.920930255926,0.0
chipseq-jan-3~+01-21-00,3044.0387388355884,0.0
chipseq-jan-3~+01-22-00,3116.148169126657,0.0
chipseq-jan-3~+01-23-00,3125.60018542311,0.0
chipseq-jan-3~+02-00-00,3124.8733849242603,0.0
chipseq-jan-3~+02-01-00,3123.008873746454,0.0
chipseq-jan-3~+02-02-00,3121.5646910834284,0.0
