trace,op_ems,emb_ems
montage-nov-1,182.23819024562496,0.0
montage-nov-1~+00-01-00,182.34615125880364,0.0
montage-nov-1~+00-02-00,182.26708679624963,0.0
montage-nov-1~+00-03-00,182.1998520278214,0.0
montage-nov-1~+00-04-00,182.178447691235,0.0
montage-nov-1~+00-05-00,182.14760168746966,0.0
montage-nov-1~+00-06-00,182.09938322868098,0.0
montage-nov-1~+00-07-00,182.14565223432896,0.0
montage-nov-1~+00-08-00,182.14565223432896,0.0
montage-nov-1~+00-09-00,182.14565223432896,0.0
montage-nov-1~+00-10-00,182.13647943518188,0.0
montage-nov-1~+00-11-00,182.09938322868098,0.0
montage-nov-1~+00-12-00,182.1670164427658,0.0
montage-nov-1~+00-13-00,182.18637978250567,0.0
montage-nov-1~+00-14-00,182.21960158402794,0.0
montage-nov-1~+00-15-00,182.24867247530196,0.0
montage-nov-1~+00-16-00,182.25361324750767,0.0
montage-nov-1~+00-17-00,182.2493457944814,0.0
montage-nov-1~+00-18-00,182.25539312996256,0.0
montage-nov-1~+00-19-00,182.27277565106476,0.0
montage-nov-1~+00-20-00,182.23819024562496,0.0
montage-nov-1~+00-21-00,182.23819024562496,0.0
montage-nov-1~+00-22-00,182.24585788918574,0.0
montage-nov-1~+00-23-00,182.25361324750767,0.0
montage-nov-1~+01-00-00,182.25361324750767,0.0
montage-nov-1~+01-01-00,182.24313101783068,0.0
montage-nov-1~+01-02-00,182.34143802454773,0.0
montage-nov-1~+01-03-00,182.25370096226888,0.0
montage-nov-1~+01-04-00,182.1660778264689,0.0
montage-nov-1~+01-05-00,182.17667366761674,0.0
montage-nov-1~+01-06-00,182.1240870897094,0.0
montage-nov-1~+01-07-00,182.14363227679067,0.0
montage-nov-1~+01-08-00,182.14565223432896,0.0
montage-nov-1~+01-09-00,182.11420554529803,0.0
montage-nov-1~+01-10-00,182.09938322868098,0.0
montage-nov-1~+01-11-00,182.09938322868098,0.0
montage-nov-1~+01-12-00,182.17632280857183,0.0
montage-nov-1~+01-13-00,182.16601600841733,0.0
montage-nov-1~+01-14-00,182.25465095175966,0.0
montage-nov-1~+01-15-00,182.24290347988088,0.0
montage-nov-1~+01-16-00,182.23819024562496,0.0
montage-nov-1~+01-17-00,182.34143802454773,0.0
montage-nov-1~+01-18-00,182.26628764585598,0.0
montage-nov-1~+01-19-00,182.34278466290658,0.0
montage-nov-1~+01-20-00,182.2732083774261,0.0
montage-nov-1~+01-21-00,182.26707273868058,0.0
montage-nov-1~+01-22-00,182.3214473977752,0.0
montage-nov-1~+01-23-00,182.23819024562496,0.0
montage-nov-1~+02-00-00,182.23819024562496,0.0
montage-nov-1~+02-01-00,182.31156585336382,0.0
montage-nov-1~+02-02-00,182.26708679624963,0.0
montage-nov-1~+02-03-00,182.1644418321087,0.0
montage-nov-1~+02-04-00,182.18650341860888,0.0
montage-nov-1~+02-05-00,182.15565741484355,0.0
montage-nov-1~+02-06-00,182.09938322868098,0.0
montage-nov-1~+02-07-00,182.1454271505263,0.0
montage-nov-1~+02-08-00,182.13306174835935,0.0
montage-nov-1~+02-09-00,182.14565223432896,0.0
montage-nov-1~+02-10-00,182.13356864326815,0.0
montage-nov-1~+02-11-00,182.09938322868098,0.0
montage-nov-1~+02-12-00,182.14567917763446,0.0
montage-nov-1~+02-13-00,182.17478727673745,0.0
montage-nov-1~+02-14-00,182.2992047428426,0.0
montage-nov-1~+02-15-00,182.27457770686166,0.0
montage-nov-1~+02-16-00,182.284459251273,0.0
montage-nov-1~+02-17-00,182.284459251273,0.0
montage-nov-1~+02-18-00,182.284459251273,0.0
montage-nov-1~+02-19-00,182.26457252634705,0.0
montage-nov-1~+02-20-00,182.25361324750767,0.0
montage-nov-1~+02-21-00,182.25094819420426,0.0
montage-nov-1~+02-22-00,182.25361324750767,0.0
montage-nov-1~+02-23-00,182.25361324750767,0.0
montage-nov-1~+03-00-00,182.25361324750767,0.0
montage-nov-1~+03-01-00,182.23819024562496,0.0
montage-nov-1~+03-02-00,182.3078130410001,0.0
montage-nov-1~+03-03-00,182.21317729433846,0.0
montage-nov-1~+03-04-00,182.178447691235,0.0
montage-nov-1~+03-05-00,182.156910578794,0.0
montage-nov-1~+03-06-00,182.09938322868098,0.0
montage-nov-1~+03-07-00,182.14363227679067,0.0
montage-nov-1~+03-08-00,182.14565223432896,0.0
montage-nov-1~+03-09-00,182.14565223432896,0.0
montage-nov-1~+03-10-00,182.14565223432896,0.0
montage-nov-1~+03-11-00,182.11420554529803,0.0
montage-nov-1~+03-12-00,182.09938322868098,0.0
montage-nov-1~+03-13-00,182.13846911054878,0.0
montage-nov-1~+03-14-00,182.1469988726878,0.0
montage-nov-1~+03-15-00,182.20734424185966,0.0
montage-nov-1~+03-16-00,182.19318016357457,0.0
montage-nov-1~+03-17-00,182.20734424185966,0.0
montage-nov-1~+03-18-00,182.16720131325366,0.0
montage-nov-1~+03-19-00,182.20734424185966,0.0
montage-nov-1~+03-20-00,182.17667366761674,0.0
montage-nov-1~+03-21-00,182.15488406212097,0.0
montage-nov-1~+03-22-00,182.1920089547382,0.0
montage-nov-1~+03-23-00,182.23482364972787,0.0
montage-nov-1~+04-00-00,182.25498895868824,0.0
