trace,op_ems,emb_ems
sarek-mar-1,4131.282327870413,0.0
sarek-mar-1~+00-01-00,4131.4088230099505,0.0
sarek-mar-1~+00-02-00,4132.375146451779,0.0
sarek-mar-1~+00-03-00,4136.175455160714,0.0
sarek-mar-1~+00-04-00,4140.264322974846,0.0
sarek-mar-1~+00-05-00,4143.551681154324,0.0
sarek-mar-1~+00-06-00,4145.34028756657,0.0
sarek-mar-1~+00-07-00,4149.278556159063,0.0
sarek-mar-1~+00-08-00,4146.6220832974295,0.0
sarek-mar-1~+00-09-00,4127.7880257731595,0.0
sarek-mar-1~+00-10-00,4095.8640036985935,0.0
sarek-mar-1~+00-11-00,4050.609037241219,0.0
sarek-mar-1~+00-12-00,3982.300704991138,0.0
sarek-mar-1~+00-13-00,3918.8098374679957,0.0
sarek-mar-1~+00-14-00,3865.025447011172,0.0
sarek-mar-1~+00-15-00,3839.600783941457,0.0
sarek-mar-1~+00-16-00,3853.128540946186,0.0
sarek-mar-1~+00-17-00,3906.0026336899036,0.0
sarek-mar-1~+00-18-00,3971.24999108517,0.0
sarek-mar-1~+00-19-00,4047.2520812951757,0.0
sarek-mar-1~+00-20-00,4103.903093012505,0.0
sarek-mar-1~+00-21-00,4133.051947983781,0.0
sarek-mar-1~+00-22-00,4143.697435770575,0.0
sarek-mar-1~+00-23-00,4141.876878333773,0.0
sarek-mar-1~+01-00-00,4133.5991289674275,0.0
sarek-mar-1~+01-01-00,4125.315548835726,0.0
sarek-mar-1~+01-02-00,4116.451214498023,0.0
sarek-mar-1~+01-03-00,4112.983707406314,0.0
sarek-mar-1~+01-04-00,4112.330347936373,0.0
sarek-mar-1~+01-05-00,4112.039101283643,0.0
sarek-mar-1~+01-06-00,4110.750478819811,0.0
sarek-mar-1~+01-07-00,4111.071959866783,0.0
sarek-mar-1~+01-08-00,4094.988479776859,0.0
sarek-mar-1~+01-09-00,4011.569978356143,0.0
sarek-mar-1~+01-10-00,3836.2669093056766,0.0
sarek-mar-1~+01-11-00,3579.319922217921,0.0
sarek-mar-1~+01-12-00,3256.910058940359,0.0
sarek-mar-1~+01-13-00,2907.1289519618476,0.0
sarek-mar-1~+01-14-00,2619.804234637306,0.0
sarek-mar-1~+01-15-00,2457.512271001895,0.0
sarek-mar-1~+01-16-00,2418.5361621968286,0.0
sarek-mar-1~+01-17-00,2517.9621473047205,0.0
sarek-mar-1~+01-18-00,2771.3736881407867,0.0
sarek-mar-1~+01-19-00,3121.1749248474225,0.0
sarek-mar-1~+01-20-00,3476.7379855017894,0.0
sarek-mar-1~+01-21-00,3793.1503415201687,0.0
sarek-mar-1~+01-22-00,4012.6064345016866,0.0
sarek-mar-1~+01-23-00,4101.229226092679,0.0
sarek-mar-1~+02-00-00,4113.042765945481,0.0
sarek-mar-1~+02-01-00,4112.7842198076705,0.0
sarek-mar-1~+02-02-00,4116.4248831884615,0.0
sarek-mar-1~+02-03-00,4124.5741920863275,0.0
sarek-mar-1~+02-04-00,4135.7248870156,0.0
sarek-mar-1~+02-05-00,4145.508421618288,0.0
sarek-mar-1~+02-06-00,4152.581254497806,0.0
sarek-mar-1~+02-07-00,4155.3987817565785,0.0
sarek-mar-1~+02-08-00,4141.413449229994,0.0
sarek-mar-1~+02-09-00,4056.3246270248346,0.0
sarek-mar-1~+02-10-00,3872.53250837802,0.0
sarek-mar-1~+02-11-00,3600.786589298379,0.0
sarek-mar-1~+02-12-00,3249.2377107216294,0.0
sarek-mar-1~+02-13-00,2868.5663591506673,0.0
sarek-mar-1~+02-14-00,2550.7220415876554,0.0
sarek-mar-1~+02-15-00,2373.747149758383,0.0
sarek-mar-1~+02-16-00,2342.328681493811,0.0
sarek-mar-1~+02-17-00,2467.659752445231,0.0
sarek-mar-1~+02-18-00,2744.42328744471,0.0
sarek-mar-1~+02-19-00,3119.2619636471427,0.0
sarek-mar-1~+02-20-00,3484.411771403589,0.0
sarek-mar-1~+02-21-00,3796.9735976689353,0.0
sarek-mar-1~+02-22-00,4012.3589546207677,0.0
sarek-mar-1~+02-23-00,4102.347202399282,0.0
sarek-mar-1~+03-00-00,4114.77498979215,0.0
sarek-mar-1~+03-01-00,4117.7400821673,0.0
sarek-mar-1~+03-02-00,4121.932481829319,0.0
sarek-mar-1~+03-03-00,4129.463530944098,0.0
sarek-mar-1~+03-04-00,4137.559193008716,0.0
sarek-mar-1~+03-05-00,4143.480470114865,0.0
sarek-mar-1~+03-06-00,4146.873118197386,0.0
sarek-mar-1~+03-07-00,4147.441208890424,0.0
sarek-mar-1~+03-08-00,4127.743898494022,0.0
sarek-mar-1~+03-09-00,4031.2270987865836,0.0
sarek-mar-1~+03-10-00,3825.724163470086,0.0
sarek-mar-1~+03-11-00,3524.118410163287,0.0
sarek-mar-1~+03-12-00,3141.073403617781,0.0
sarek-mar-1~+03-13-00,2724.959248152803,0.0
sarek-mar-1~+03-14-00,2373.106166009765,0.0
sarek-mar-1~+03-15-00,2175.57750502318,0.0
sarek-mar-1~+03-16-00,2135.4235071315425,0.0
sarek-mar-1~+03-17-00,2265.1350324643045,0.0
sarek-mar-1~+03-18-00,2568.8395459496387,0.0
sarek-mar-1~+03-19-00,2987.2755310177645,0.0
sarek-mar-1~+03-20-00,3398.2928559464817,0.0
sarek-mar-1~+03-21-00,3748.939883869031,0.0
sarek-mar-1~+03-22-00,3984.7621529497646,0.0
sarek-mar-1~+03-23-00,4079.509837602224,0.0
sarek-mar-1~+04-00-00,4090.766477258494,0.0
