trace,op_ems,emb_ems
mag-feb-1,7657.7321243229,0.0
mag-feb-1~+00-01-00,7728.903953282352,0.0
mag-feb-1~+00-02-00,7793.544567102119,0.0
mag-feb-1~+00-03-00,7852.567704150752,0.0
mag-feb-1~+00-04-00,7910.984529120038,0.0
mag-feb-1~+00-05-00,7972.2618814205,0.0
mag-feb-1~+00-06-00,8020.73556755919,0.0
mag-feb-1~+00-07-00,8043.006821084018,0.0
mag-feb-1~+00-08-00,8040.258379970186,0.0
mag-feb-1~+00-09-00,8013.155349403447,0.0
mag-feb-1~+00-10-00,7970.320087813585,0.0
mag-feb-1~+00-11-00,7918.793108368727,0.0
mag-feb-1~+00-12-00,7862.791875204358,0.0
mag-feb-1~+00-13-00,7805.2542110960985,0.0
mag-feb-1~+00-14-00,7742.5300720062,0.0
mag-feb-1~+00-15-00,7667.93812485942,0.0
mag-feb-1~+00-16-00,7581.980465706258,0.0
mag-feb-1~+00-17-00,7489.405074614914,0.0
mag-feb-1~+00-18-00,7406.317139682477,0.0
mag-feb-1~+00-19-00,7357.400375298121,0.0
mag-feb-1~+00-20-00,7342.200865695781,0.0
mag-feb-1~+00-21-00,7354.832291712622,0.0
mag-feb-1~+00-22-00,7397.309213077055,0.0
mag-feb-1~+00-23-00,7450.336731328642,0.0
mag-feb-1~+01-00-00,7507.552031953115,0.0
