trace,op_ems,emb_ems
mag-mar-1,10949.225687718306,0.0
mag-mar-1~+00-01-00,10949.217601807857,0.0
mag-mar-1~+00-02-00,10948.020851568495,0.0
mag-mar-1~+00-03-00,10946.222424279815,0.0
mag-mar-1~+00-04-00,10820.595176129515,0.0
mag-mar-1~+00-05-00,10629.40382909183,0.0
mag-mar-1~+00-06-00,10437.36410531598,0.0
mag-mar-1~+00-07-00,10245.223634366326,0.0
mag-mar-1~+00-08-00,10227.799433142005,0.0
mag-mar-1~+00-09-00,10348.547864663946,0.0
mag-mar-1~+00-10-00,10424.135307482784,0.0
mag-mar-1~+00-11-00,10455.10585184322,0.0
mag-mar-1~+00-12-00,10430.69165286093,0.0
mag-mar-1~+00-13-00,10341.218157977783,0.0
mag-mar-1~+00-14-00,10301.888651832105,0.0
mag-mar-1~+00-15-00,10293.685240829507,0.0
mag-mar-1~+00-16-00,10358.127376261908,0.0
mag-mar-1~+00-17-00,10519.424993087381,0.0
mag-mar-1~+00-18-00,10673.892935671975,0.0
mag-mar-1~+00-19-00,10840.498692907157,0.0
mag-mar-1~+00-20-00,10944.431795200915,0.0
mag-mar-1~+00-21-00,10944.431795200915,0.0
mag-mar-1~+00-22-00,10944.431795200915,0.0
mag-mar-1~+00-23-00,10944.431795200915,0.0
mag-mar-1~+01-00-00,10944.431795200915,0.0
