trace,op_ems,emb_ems
rangeland-feb-1,5607.089868058184,0.0
rangeland-feb-1~+00-01-00,5607.089868058184,0.0
rangeland-feb-1~+00-02-00,5607.089868058184,0.0
rangeland-feb-1~+00-03-00,5607.089868058184,0.0
rangeland-feb-1~+00-04-00,5607.089868058184,0.0
rangeland-feb-1~+00-05-00,5607.089868058184,0.0
rangeland-feb-1~+00-06-00,5607.089868058184,0.0
rangeland-feb-1~+00-07-00,5607.089868058184,0.0
rangeland-feb-1~+00-08-00,5607.089868058184,0.0
rangeland-feb-1~+00-09-00,5496.773470508437,0.0
rangeland-feb-1~+00-10-00,5348.336330881506,0.0
rangeland-feb-1~+00-11-00,5199.289563006578,0.0
rangeland-feb-1~+00-12-00,5160.573404317249,0.0
rangeland-feb-1~+00-13-00,5159.986551100871,0.0
rangeland-feb-1~+00-14-00,5159.812302896497,0.0
rangeland-feb-1~+00-15-00,5166.30841571209,0.0
rangeland-feb-1~+00-16-00,5315.332408555399,0.0
rangeland-feb-1~+00-17-00,5464.553424634703,0.0
rangeland-feb-1~+00-18-00,5607.089868058184,0.0
rangeland-feb-1~+00-19-00,5607.089868058184,0.0
rangeland-feb-1~+00-20-00,5607.089868058184,0.0
rangeland-feb-1~+00-21-00,5607.089868058184,0.0
rangeland-feb-1~+00-22-00,5607.089868058184,0.0
rangeland-feb-1~+00-23-00,5607.089868058184,0.0
rangeland-feb-1~+01-00-00,5607.089868058184,0.0
