trace,op_ems,emb_ems
mag-jun-3,21524.753652509247,170.30505238040828
mag-jun-3~+00-01-00,21621.106711522265,170.30505238040828
mag-jun-3~+00-02-00,21673.001490604387,170.30505238040828
mag-jun-3~+00-03-00,21669.402452683622,170.30505238040828
mag-jun-3~+00-04-00,21612.486016743267,170.30505238040828
mag-jun-3~+00-05-00,21532.00600757226,170.30505238040828
mag-jun-3~+00-06-00,21473.404936091698,170.30505238040828
mag-jun-3~+00-07-00,21462.544298182795,170.30505238040828
mag-jun-3~+00-08-00,21520.302201154693,170.30505238040828
mag-jun-3~+00-09-00,21558.005474397472,170.30505238040828
mag-jun-3~+00-10-00,21509.808806238852,170.30505238040828
mag-jun-3~+00-11-00,21409.065565220157,170.30505238040828
mag-jun-3~+00-12-00,21242.56802247114,170.30505238040828
mag-jun-3~+00-13-00,21014.66590996362,170.30505238040828
mag-jun-3~+00-14-00,20826.505071268508,170.30505238040828
mag-jun-3~+00-15-00,20724.07352365648,170.30505238040828
mag-jun-3~+00-16-00,20667.192320949962,170.30505238040828
mag-jun-3~+00-17-00,20638.97147254439,170.30505238040828
mag-jun-3~+00-18-00,20662.73602205364,170.30505238040828
mag-jun-3~+00-19-00,20689.362739244883,170.30505238040828
mag-jun-3~+00-20-00,20651.059208261024,170.30505238040828
mag-jun-3~+00-21-00,20563.089944470183,170.30505238040828
mag-jun-3~+00-22-00,20457.917473667225,170.30505238040828
mag-jun-3~+00-23-00,20399.69943119647,170.30505238040828
mag-jun-3~+01-00-00,20447.03653382873,170.30505238040828
mag-jun-3~+01-01-00,20534.835565216228,170.30505238040828
mag-jun-3~+01-02-00,20627.536590021955,170.30505238040828
mag-jun-3~+01-03-00,20717.951824454307,170.30505238040828
mag-jun-3~+01-04-00,20784.441653888323,170.30505238040828
mag-jun-3~+01-05-00,20868.07545967155,170.30505238040828
mag-jun-3~+01-06-00,20938.159087631477,170.30505238040828
mag-jun-3~+01-07-00,21019.311582254315,170.30505238040828
mag-jun-3~+01-08-00,21161.944862479537,170.30505238040828
mag-jun-3~+01-09-00,21334.29996857675,170.30505238040828
mag-jun-3~+01-10-00,21501.828572267717,170.30505238040828
mag-jun-3~+01-11-00,21606.66071350792,170.30505238040828
mag-jun-3~+01-12-00,21627.924544616457,170.30505238040828
mag-jun-3~+01-13-00,21611.87415942499,170.30505238040828
mag-jun-3~+01-14-00,21581.813847323952,170.30505238040828
mag-jun-3~+01-15-00,21567.906497053584,170.30505238040828
mag-jun-3~+01-16-00,21583.598335304272,170.30505238040828
mag-jun-3~+01-17-00,21648.767359433816,170.30505238040828
mag-jun-3~+01-18-00,21739.394430672513,170.30505238040828
mag-jun-3~+01-19-00,21808.882252249976,170.30505238040828
mag-jun-3~+01-20-00,21858.20840745862,170.30505238040828
mag-jun-3~+01-21-00,21898.348217372244,170.30505238040828
mag-jun-3~+01-22-00,21929.19246332281,170.30505238040828
mag-jun-3~+01-23-00,21961.583932017296,170.30505238040828
mag-jun-3~+02-00-00,22021.050120223972,170.30505238040828
mag-jun-3~+02-01-00,22139.065539552223,170.30505238040828
mag-jun-3~+02-02-00,22286.223554673717,170.30505238040828
mag-jun-3~+02-03-00,22453.701960263363,170.30505238040828
mag-jun-3~+02-04-00,22635.221358300074,170.30505238040828
mag-jun-3~+02-05-00,22783.344347842405,170.30505238040828
mag-jun-3~+02-06-00,22886.857721068955,170.30505238040828
mag-jun-3~+02-07-00,22993.38727982293,170.30505238040828
mag-jun-3~+02-08-00,23104.7719130487,170.30505238040828
mag-jun-3~+02-09-00,23193.727609580346,170.30505238040828
mag-jun-3~+02-10-00,23207.852695078294,170.30505238040828
mag-jun-3~+02-11-00,23152.877346879184,170.30505238040828
mag-jun-3~+02-12-00,23088.861170018463,170.30505238040828
mag-jun-3~+02-13-00,23012.816268791157,170.30505238040828
