trace,op_ems,emb_ems
montage-may-1,217.48842633695324,0.0
montage-may-1~+00-01-00,213.3881151612955,0.0
montage-may-1~+00-02-00,211.85945550445626,0.0
montage-may-1~+00-03-00,209.79167027716272,0.0
montage-may-1~+00-04-00,210.76665616601576,0.0
montage-may-1~+00-05-00,215.32227198762564,0.0
montage-may-1~+00-06-00,223.83623601024556,0.0
montage-may-1~+00-07-00,229.49634800814079,0.0
montage-may-1~+00-08-00,229.34720702306686,0.0
montage-may-1~+00-09-00,228.86764538057938,0.0
montage-may-1~+00-10-00,228.57992308716507,0.0
montage-may-1~+00-11-00,228.83764621536338,0.0
montage-may-1~+00-12-00,227.59479095522573,0.0
montage-may-1~+00-13-00,228.0805349295877,0.0
montage-may-1~+00-14-00,225.68927363186776,0.0
montage-may-1~+00-15-00,224.06691728358138,0.0
montage-may-1~+00-16-00,225.5294666968873,0.0
montage-may-1~+00-17-00,226.45134146578928,0.0
montage-may-1~+00-18-00,227.80719234495479,0.0
montage-may-1~+00-19-00,232.5335739713572,0.0
montage-may-1~+00-20-00,235.50732431032375,0.0
montage-may-1~+00-21-00,233.64327956723628,0.0
montage-may-1~+00-22-00,230.75917914661662,0.0
montage-may-1~+00-23-00,226.51495096855422,0.0
montage-may-1~+01-00-00,222.2038035610015,0.0
montage-may-1~+01-01-00,220.28239630506783,0.0
montage-may-1~+01-02-00,218.3757928372251,0.0
montage-may-1~+01-03-00,216.1462129586163,0.0
montage-may-1~+01-04-00,217.80418708543974,0.0
montage-may-1~+01-05-00,222.9440702057651,0.0
montage-may-1~+01-06-00,229.48019064104164,0.0
montage-may-1~+01-07-00,235.0261003616825,0.0
montage-may-1~+01-08-00,233.38336654537503,0.0
montage-may-1~+01-09-00,236.37032362347406,0.0
montage-may-1~+01-10-00,240.49399598454602,0.0
montage-may-1~+01-11-00,241.88548833017734,0.0
montage-may-1~+01-12-00,241.4561976927672,0.0
montage-may-1~+01-13-00,240.34799503914468,0.0
montage-may-1~+01-14-00,239.51149178950348,0.0
montage-may-1~+01-15-00,236.1945520972248,0.0
montage-may-1~+01-16-00,234.99120718640503,0.0
montage-may-1~+01-17-00,233.46681712630522,0.0
montage-may-1~+01-18-00,233.71809624883454,0.0
montage-may-1~+01-19-00,235.1178894795724,0.0
montage-may-1~+01-20-00,235.10633532258925,0.0
montage-may-1~+01-21-00,230.3195953453386,0.0
montage-may-1~+01-22-00,225.1032963744966,0.0
montage-may-1~+01-23-00,221.659159843808,0.0
montage-may-1~+02-00-00,219.7401467788253,0.0
montage-may-1~+02-01-00,216.70015264031707,0.0
montage-may-1~+02-02-00,213.73929911503535,0.0
montage-may-1~+02-03-00,210.04638420258578,0.0
montage-may-1~+02-04-00,210.71614049268598,0.0
montage-may-1~+02-05-00,213.7327455179311,0.0
montage-may-1~+02-06-00,220.08931780749268,0.0
montage-may-1~+02-07-00,226.15164821762002,0.0
montage-may-1~+02-08-00,222.88727901551673,0.0
montage-may-1~+02-09-00,224.39111643645833,0.0
montage-may-1~+02-10-00,227.3741839853942,0.0
montage-may-1~+02-11-00,231.317943018757,0.0
montage-may-1~+02-12-00,230.61719552565793,0.0
montage-may-1~+02-13-00,229.40013085127202,0.0
montage-may-1~+02-14-00,228.11072958974515,0.0
montage-may-1~+02-15-00,229.63467280426443,0.0
montage-may-1~+02-16-00,229.4759410914621,0.0
montage-may-1~+02-17-00,230.66529788253462,0.0
montage-may-1~+02-18-00,233.62063478188603,0.0
montage-may-1~+02-19-00,234.0749680363663,0.0
montage-may-1~+02-20-00,231.2443815695451,0.0
montage-may-1~+02-21-00,230.24952939378912,0.0
montage-may-1~+02-22-00,228.31752480926866,0.0
montage-may-1~+02-23-00,223.26895967417283,0.0
montage-may-1~+03-00-00,220.2459318887207,0.0
montage-may-1~+03-01-00,218.79155768520172,0.0
montage-may-1~+03-02-00,216.1360961641878,0.0
montage-may-1~+03-03-00,215.10714947595568,0.0
montage-may-1~+03-04-00,217.67349018694074,0.0
montage-may-1~+03-05-00,220.84918634625356,0.0
montage-may-1~+03-06-00,224.93634723762744,0.0
montage-may-1~+03-07-00,226.79120712845176,0.0
montage-may-1~+03-08-00,226.19129032549296,0.0
montage-may-1~+03-09-00,231.4672722172347,0.0
montage-may-1~+03-10-00,236.51561697115807,0.0
montage-may-1~+03-11-00,239.06326740650687,0.0
montage-may-1~+03-12-00,241.74493843100439,0.0
montage-may-1~+03-13-00,242.20718978390374,0.0
montage-may-1~+03-14-00,242.14813431794389,0.0
montage-may-1~+03-15-00,242.0048948654477,0.0
montage-may-1~+03-16-00,241.56928073611027,0.0
montage-may-1~+03-17-00,241.02290277318102,0.0
montage-may-1~+03-18-00,240.74521865222667,0.0
montage-may-1~+03-19-00,240.7401437102991,0.0
montage-may-1~+03-20-00,240.9453009107488,0.0
montage-may-1~+03-21-00,237.00702693469876,0.0
montage-may-1~+03-22-00,232.57027669607677,0.0
montage-may-1~+03-23-00,229.22827162045695,0.0
montage-may-1~+04-00-00,226.57097658542767,0.0
