trace,op_ems,emb_ems
nanoseq-apr-2,226.51606648807615,0.0
nanoseq-apr-2~+00-01-00,226.3502560380141,0.0
nanoseq-apr-2~+00-02-00,226.31152737732472,0.0
nanoseq-apr-2~+00-03-00,226.52395132483474,0.0
nanoseq-apr-2~+00-04-00,226.8870868528788,0.0
nanoseq-apr-2~+00-05-00,227.50220617252853,0.0
nanoseq-apr-2~+00-06-00,227.64226126398174,0.0
nanoseq-apr-2~+00-07-00,227.5701274518126,0.0
nanoseq-apr-2~+00-08-00,227.9836519111999,0.0
nanoseq-apr-2~+00-09-00,229.410601868525,0.0
nanoseq-apr-2~+00-10-00,231.10919619567417,0.0
nanoseq-apr-2~+00-11-00,233.5034197891876,0.0
nanoseq-apr-2~+00-12-00,235.88357411415126,0.0
nanoseq-apr-2~+00-13-00,236.64876737493228,0.0
nanoseq-apr-2~+00-14-00,235.94724003485936,0.0
nanoseq-apr-2~+00-15-00,233.94122454931824,0.0
nanoseq-apr-2~+00-16-00,230.77410226700954,0.0
nanoseq-apr-2~+00-17-00,227.12179055682702,0.0
nanoseq-apr-2~+00-18-00,224.1755265907392,0.0
nanoseq-apr-2~+00-19-00,221.6922630485356,0.0
nanoseq-apr-2~+00-20-00,220.0159828871523,0.0
nanoseq-apr-2~+00-21-00,219.5490536121962,0.0
nanoseq-apr-2~+00-22-00,219.96092129462136,0.0
nanoseq-apr-2~+00-23-00,221.10139991980918,0.0
nanoseq-apr-2~+01-00-00,222.03454557434975,0.0
nanoseq-apr-2~+01-01-00,223.13656305981596,0.0
nanoseq-apr-2~+01-02-00,224.33170773636772,0.0
nanoseq-apr-2~+01-03-00,225.0382838789767,0.0
nanoseq-apr-2~+01-04-00,225.5301107780201,0.0
nanoseq-apr-2~+01-05-00,226.46519628899964,0.0
nanoseq-apr-2~+01-06-00,227.18064335798823,0.0
nanoseq-apr-2~+01-07-00,227.5662084533559,0.0
nanoseq-apr-2~+01-08-00,228.4827910176632,0.0
nanoseq-apr-2~+01-09-00,230.01502650422103,0.0
nanoseq-apr-2~+01-10-00,231.05925146399846,0.0
nanoseq-apr-2~+01-11-00,232.13999858485036,0.0
nanoseq-apr-2~+01-12-00,233.5551125875927,0.0
nanoseq-apr-2~+01-13-00,234.86893453549595,0.0
nanoseq-apr-2~+01-14-00,236.10811254521215,0.0
nanoseq-apr-2~+01-15-00,237.54154144822132,0.0
nanoseq-apr-2~+01-16-00,238.10986919404638,0.0
nanoseq-apr-2~+01-17-00,237.09419938131416,0.0
nanoseq-apr-2~+01-18-00,233.988364226481,0.0
nanoseq-apr-2~+01-19-00,228.97006866767586,0.0
nanoseq-apr-2~+01-20-00,223.29886663191022,0.0
nanoseq-apr-2~+01-21-00,218.5253892306414,0.0
nanoseq-apr-2~+01-22-00,215.35289006627335,0.0
nanoseq-apr-2~+01-23-00,213.7647339069414,0.0
nanoseq-apr-2~+02-00-00,213.4220770972891,0.0
nanoseq-apr-2~+02-01-00,213.9136105903158,0.0
nanoseq-apr-2~+02-02-00,215.8707045921043,0.0
nanoseq-apr-2~+02-03-00,218.82595335755505,0.0
nanoseq-apr-2~+02-04-00,222.2764425146022,0.0
nanoseq-apr-2~+02-05-00,226.19085607660136,0.0
nanoseq-apr-2~+02-06-00,229.3760551309953,0.0
nanoseq-apr-2~+02-07-00,230.43929340661174,0.0
nanoseq-apr-2~+02-08-00,230.12718263598163,0.0
nanoseq-apr-2~+02-09-00,229.44910659766506,0.0
nanoseq-apr-2~+02-10-00,228.2492410642366,0.0
nanoseq-apr-2~+02-11-00,227.61916314099372,0.0
nanoseq-apr-2~+02-12-00,227.41959859374973,0.0
nanoseq-apr-2~+02-13-00,228.18781187213406,0.0
nanoseq-apr-2~+02-14-00,229.70111025106797,0.0
nanoseq-apr-2~+02-15-00,230.9285303181931,0.0
nanoseq-apr-2~+02-16-00,230.98428519851433,0.0
nanoseq-apr-2~+02-17-00,229.4979636057805,0.0
nanoseq-apr-2~+02-18-00,226.03083162931932,0.0
nanoseq-apr-2~+02-19-00,221.05328399334007,0.0
nanoseq-apr-2~+02-20-00,216.0918012903266,0.0
nanoseq-apr-2~+02-21-00,212.85440754590002,0.0
nanoseq-apr-2~+02-22-00,211.57775165319276,0.0
nanoseq-apr-2~+02-23-00,212.26008942029785,0.0
nanoseq-apr-2~+03-00-00,214.06645529811837,0.0
nanoseq-apr-2~+03-01-00,216.05724177196433,0.0
nanoseq-apr-2~+03-02-00,218.5373307694018,0.0
nanoseq-apr-2~+03-03-00,221.65310645512253,0.0
nanoseq-apr-2~+03-04-00,224.4905082485999,0.0
nanoseq-apr-2~+03-05-00,226.8960323793035,0.0
nanoseq-apr-2~+03-06-00,228.82837282032312,0.0
nanoseq-apr-2~+03-07-00,229.47553965777504,0.0
nanoseq-apr-2~+03-08-00,229.1311034670194,0.0
nanoseq-apr-2~+03-09-00,228.9984877429825,0.0
nanoseq-apr-2~+03-10-00,228.62395424155864,0.0
nanoseq-apr-2~+03-11-00,228.46356052127206,0.0
nanoseq-apr-2~+03-12-00,228.47039765725424,0.0
nanoseq-apr-2~+03-13-00,229.40422124404935,0.0
nanoseq-apr-2~+03-14-00,231.01049891325124,0.0
nanoseq-apr-2~+03-15-00,232.76125109171076,0.0
nanoseq-apr-2~+03-16-00,233.8307674435792,0.0
nanoseq-apr-2~+03-17-00,233.62035624961464,0.0
nanoseq-apr-2~+03-18-00,231.81174876923518,0.0
nanoseq-apr-2~+03-19-00,228.80693540767345,0.0
nanoseq-apr-2~+03-20-00,225.6665440151215,0.0
nanoseq-apr-2~+03-21-00,223.73850692931876,0.0
nanoseq-apr-2~+03-22-00,222.88761054952698,0.0
nanoseq-apr-2~+03-23-00,223.07133571203445,0.0
nanoseq-apr-2~+04-00-00,223.87661624940938,0.0
