Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
gb,jan,chipseq,1587.96,13324,1.83,1412.47,20.30,0.00,26.23,1412.47,26.23,1412.47,26.23,1412.47
gb,jan,mag,4324.06,45476,12.47,3276.50,18.43,0.00,23.53,1183.50,23.53,1183.50,23.53,3276.50
gb,jan,montage,94.97,1900,4.50,0.00,16.40,0.00,29.20,0.00,29.20,0.00,29.20,0.00
gb,jan,nanoseq,83.66,20032,0.90,1042.14,22.07,0.00,25.30,1591.29,25.30,1591.29,25.30,1042.14
gb,jan,rangeland,2363.85,24799,3.30,221.33,22.90,0.00,25.70,556.63,25.70,556.63,25.70,221.33
gb,jan,rnaseq,1126.38,11011,2.73,2693.34,19.33,0.00,26.50,2693.34,26.70,2693.34,26.70,2693.34
gb,jan,sarek,2080.65,18265,0.97,2778.42,20.83,0.00,25.30,4790.54,25.30,4790.54,25.30,2778.42
gb,feb,chipseq,932.79,13324,16.93,0.00,29.03,792.14,43.07,0.00,43.07,0.00,43.07,0.00
gb,feb,mag,2717.09,45476,26.20,3445.50,30.40,3574.76,30.40,3574.76,32.00,3580.99,41.47,3445.50
gb,feb,montage,65.41,1900,33.40,0.00,33.40,0.00,52.83,0.00,52.83,0.00,52.83,0.00
gb,feb,nanoseq,44.78,20032,4.97,0.00,27.13,973.06,35.53,0.00,35.53,0.00,35.53,0.00
gb,feb,rangeland,1290.33,24799,1.27,272.81,29.40,421.33,35.30,0.00,35.30,0.00,36.90,272.81
gb,feb,rnaseq,692.44,11011,22.23,0.00,28.30,1624.34,46.10,0.00,46.10,0.00,46.10,0.00
gb,feb,sarek,1169.57,18265,8.83,0.00,27.73,1277.41,38.40,0.00,38.40,0.00,39.17,0.00
gb,mar,chipseq,1474.39,13324,0.00,0.00,2.43,792.14,36.57,0.00,72.47,0.00,81.83,0.00
gb,mar,mag,4570.74,45476,11.40,3586.76,15.07,3328.52,32.23,2058.75,67.77,3457.50,78.63,3586.76
gb,mar,montage,79.84,1900,83.93,0.00,83.93,0.00,83.93,0.00,83.93,0.00,83.93,0.00
gb,mar,nanoseq,80.57,20032,0.00,0.00,7.20,973.06,36.50,0.00,68.00,0.00,80.77,0.00
gb,mar,rangeland,2293.53,24799,0.00,0.00,9.47,421.33,31.80,0.33,67.37,0.33,80.43,0.00
gb,mar,rnaseq,1030.15,11011,0.00,0.00,0.47,1624.34,35.00,0.00,72.97,0.00,82.00,0.00
gb,mar,sarek,1974.44,18265,0.00,0.00,5.00,1277.41,34.27,0.00,70.33,0.00,81.23,0.00
gb,apr,chipseq,798.06,13324,19.13,0.00,30.00,792.14,72.10,0.00,77.63,0.00,78.90,0.00
gb,apr,mag,2464.70,45476,34.60,3586.76,54.13,1842.88,75.57,0.00,79.50,1183.50,81.87,3586.76
gb,apr,montage,15.34,1900,32.37,0.00,32.37,0.00,32.37,0.00,38.73,0.00,50.20,0.00
gb,apr,nanoseq,38.24,20032,6.47,0.00,32.17,973.06,72.10,0.00,75.83,686.13,77.77,0.00
gb,apr,rangeland,1070.24,24799,3.17,0.00,33.43,421.33,72.00,0.00,75.63,585.63,78.40,0.00
gb,apr,rnaseq,581.21,11011,22.30,0.00,27.43,1624.34,71.70,0.00,78.47,0.00,79.90,0.00
gb,apr,sarek,999.06,18265,9.93,0.00,31.33,1277.41,72.13,0.00,76.90,3528.77,78.33,0.00
gb,may,chipseq,710.18,13324,28.83,0.00,28.83,0.00,40.53,0.00,40.53,0.00,40.53,0.00
gb,may,mag,1816.38,45476,16.87,1183.50,24.87,3457.50,24.87,3457.50,24.87,3457.50,24.87,1183.50
gb,may,montage,49.87,1900,20.97,0.00,20.97,0.00,20.97,0.00,20.97,0.00,20.97,0.00
gb,may,nanoseq,33.27,20032,16.70,0.00,19.43,686.13,29.33,973.06,29.33,973.06,29.33,0.00
gb,may,rangeland,914.19,24799,9.70,0.00,19.60,323.05,25.90,421.33,25.90,421.33,25.90,0.00
gb,may,rnaseq,522.58,11011,32.73,0.00,32.73,0.00,42.63,0.00,42.63,0.00,42.63,0.00
gb,may,sarek,879.51,18265,21.90,0.00,23.33,3528.77,33.07,1271.42,33.07,1271.42,33.07,0.00
gb,jun,chipseq,376.40,13324,41.93,0.00,41.93,0.00,41.93,0.00,41.93,0.00,41.93,0.00
gb,jun,mag,1043.53,45476,6.53,300.76,9.63,1534.99,9.70,1534.99,9.70,1534.99,29.00,300.76
gb,jun,montage,30.41,1900,2.27,0.00,2.27,0.00,2.27,0.00,2.27,0.00,48.13,0.00
